ID,noweight,agestrat,gradestrat,gender,educ,ethnic,region,demo_wt,sege_sum,sege_sum_w,rlne_sum,rlne_sum_w,rhme_sum,rhme_sum_w,snwe_sum,snwe_sum_w,lswe_sum,lswe_sum_w,lske_sum,lske_sum_w,ORF_noNeg,ORF_noNeg_w
201001,,5:0-5:7,K_Spring,female,HS_grad,asian,south,0.650816958692015,16,10,58,38,17,11,15,10,16,10,26,17,96,62
201008,,7:0-7:5,1_Spring,male,HS_grad,asian,south,0.6942531922098782,8,6,96,67,26,18,20,14,30,21,28,19,131,91
201010,,8:0-9:3,2_Spring,male,BA_plus,white,south,1.2191004677227895,21,26,59,72,20,24,28,34,37,45,33,40,171,208
203001,,7:0-7:5,K_Spring,male,BA_plus,white,midwest,1.049041269631973,18,19,74,78,23,24,23,24,32,34,28,29,164,172
203002,1,7:0-7:5,1_Spring,male,some_college,white,midwest,1.1861957494499935,14,14,87,87,12,12,18,18,31,31,22,22,129,129
203003,,8:0-9:3,2_Spring,female,BA_plus,white,midwest,0.9834075756585001,21,21,109,107,29,29,30,30,38,37,33,32,236,232
203004,,8:0-9:3,2_Spring,female,BA_plus,hispanic,midwest,0.6910304053443409,24,17,78,54,28,19,29,20,37,26,33,23,233,161
204001,,8:0-9:3,2_Spring,female,BA_plus,white,south,1.1428269508100501,24,27,78,89,29,33,27,31,37,42,33,38,188,215
204006,,8:0-9:3,2_Spring,female,BA_plus,white,south,1.1428269508100501,16,18,102,117,25,29,23,26,35,40,32,37,188,215
205001,,8:0-9:3,2_Spring,female,BA_plus,asian,south,0.5366670799661823,18,10,66,35,24,13,21,11,36,19,32,17,160,86
205004,,5:8-5:11,K_Spring,female,BA_plus,asian,south,0.5366670799661823,18,10,65,35,18,10,19,10,21,11,25,13,113,61
205008,1,8:0-9:3,2_Spring,male,BA_plus,white,south,1.2191004677227895,24,24,75,75,24,24,19,19,32,32,30,30,137,137
205009,,7:6-7:11,1_Spring,male,BA_plus,asian,south,0.5724848261011477,16,9,79,45,19,11,16,9,34,19,30,17,160,92
205013,,6:8-6:11,K_Spring,male,BA_plus,white,south,1.2191004677227895,13,16,61,74,28,34,15,18,23,28,26,32,125,152
205014,1,7:6-7:11,1_Spring,male,HS_grad,black,south,0.9925515547671899,17,17,49,49,10,10,9,9,14,14,19,19,100,100
205028,1,6:8-6:11,1_Spring,male,BA_plus,hispanic,south,0.8566493803973911,16,16,50,50,29,29,23,23,37,37,33,33,208,208
205029,,5:8-5:11,K_Spring,female,BA_plus,white,south,1.1428269508100501,18,21,90,103,20,23,21,24,36,41,33,38,194,222
205036,,7:0-7:5,2_Fall,male,BA_plus,white,south,1.2191004677227895,17,21,48,59,20,24,20,24,33,40,30,37,140,171
206001,,6:0-6:3,K_Spring,female,BA_plus,asian,northeast,0.4816375903202682,20,10,63,30,24,12,16,8,18,9,25,12,123,59
206002,,7:6-7:11,2_Spring,female,BA_plus,asian,northeast,0.4816375903202682,23,11,102,49,27,13,20,10,37,18,33,16,227,109
206005,,7:0-7:5,1_Fall,male,BA_plus,white,northeast,1.0940947070375846,20,22,92,101,27,30,30,33,37,40,32,35,212,232
206011,,8:0-9:3,2_Spring,female,BA_plus,white,northeast,1.0256422264169756,20,21,88,90,30,31,28,29,36,37,33,34,243,249
207001,,6:4-6:7,K_Spring,male,some_college,black,midwest,0.7963720957540652,10,8,40,32,12,10,15,12,17,14,18,14,138,110
