gender,educ,ethnic,region,demo_wt
male,no_HS,hispanic,northeast,1.4478544362980434
male,no_HS,hispanic,midwest,1.3882336202950007
male,no_HS,hispanic,west,1.287218903857975
male,no_HS,other,south,1.9307772677099297
male,HS_grad,hispanic,northeast,0.93233594784279
male,HS_grad,hispanic,south,1.0388599659415687
male,HS_grad,hispanic,midwest,0.8939435317229179
male,HS_grad,hispanic,west,0.828895796927016
male,HS_grad,asian,northeast,0.6230649261907223
male,HS_grad,asian,south,0.6942531922098782
male,HS_grad,asian,west,0.5539375583737713
male,HS_grad,black,northeast,0.8907759707132195
male,HS_grad,black,south,0.9925515547671899
male,HS_grad,black,midwest,0.8540949419313374
male,HS_grad,white,northeast,1.3268102634506693
male,HS_grad,white,south,1.4784049336384766
male,HS_grad,white,midwest,1.2721738935194475
male,HS_grad,white,west,1.179604254494896
male,HS_grad,other,northeast,1.1158225255778174
male,HS_grad,other,south,1.243310797573223
male,some_college,hispanic,northeast,0.8693252895883623
male,some_college,hispanic,south,0.9686500266599091
male,some_college,hispanic,midwest,0.8335275727475308
male,some_college,hispanic,west,0.7728760007263586
male,some_college,asian,south,0.647333033507858
male,some_college,asian,midwest,0.557032898702993
male,some_college,asian,west,0.5165004411353536
male,some_college,black,northeast,0.8305740870448542
male,some_college,black,south,0.925471306534734
male,some_college,black,midwest,0.7963720957540652
male,some_college,white,south,1.3784889449321591
male,some_college,white,midwest,1.1861957494499935
male,some_college,white,west,1.0998823037029912
male,some_college,other,south,1.1592833266265206
male,some_college,other,west,0.9249803711680811
male,BA_plus,hispanic,northeast,0.7688091159792204
male,BA_plus,hispanic,south,0.8566493803973911
male,BA_plus,hispanic,midwest,0.737150528143238
male,BA_plus,hispanic,west,0.683511824625908
male,BA_plus,asian,south,0.5724848261011477
male,BA_plus,asian,midwest,0.49262568977600346
male,BA_plus,asian,west,0.45677981798985356
male,BA_plus,black,south,0.8184632214921685
male,BA_plus,white,northeast,1.0940947070375846
male,BA_plus,white,south,1.2191004677227895
male,BA_plus,white,midwest,1.049041269631973
male,BA_plus,white,west,0.9727078594383105
female,no_HS,hispanic,northeast,1.3572688342430745
female,no_HS,hispanic,midwest,1.3013782188577496
female,no_HS,hispanic,west,1.206683529265588
female,no_HS,black,northeast,1.2967669713251675
female,no_HS,white,northeast,1.9315336104996916
female,no_HS,other,west,1.4441625535448297
female,HS_grad,hispanic,northeast,0.8740039698238034
female,HS_grad,hispanic,south,0.9738632693770732
female,HS_grad,hispanic,midwest,0.8380135908434216
female,HS_grad,hispanic,west,0.7770355940481605
female,HS_grad,asian,northeast,0.5840826155085569
female,HS_grad,asian,south,0.650816958692015
female,HS_grad,asian,west,0.5192802295925387
female,HS_grad,black,northeast,0.8350442095774292
female,HS_grad,black,south,0.9304521627944229
female,HS_grad,black,midwest,0.8006581442897353
female,HS_grad,white,northeast,1.243797839332469
female,HS_grad,white,south,1.3859079272839576
female,HS_grad,white,midwest,1.1925798161219108
female,HS_grad,white,west,1.1058018342369336
female,HS_grad,other,south,1.1655225515202685
female,HS_grad,other,west,0.9299585852297062
female,some_college,hispanic,northeast,0.8149355990471494
female,some_college,hispanic,south,0.9080460435206213
female,some_college,hispanic,midwest,0.781377580929424
female,some_college,hispanic,west,0.7245206991957412
female,some_college,asian,south,0.6068323788147587
female,some_college,asian,midwest,0.5221819086943206
female,some_college,asian,west,0.48418538083030527
female,some_college,black,northeast,0.7786088812617454
female,some_college,black,south,0.8675688175929586
female,some_college,black,midwest,0.7465467514755953
female,some_college,black,west,0.6922243324642586
female,some_college,white,south,1.2922432230748726
female,some_college,white,midwest,1.1119809296275578
female,some_college,white,west,1.031067719741574
female,some_college,other,south,1.0867522934908571
female,some_college,other,west,0.8671085977973213
female,BA_plus,hispanic,northeast,0.7207082607479491
female,BA_plus,hispanic,south,0.803052763273555
female,BA_plus,hispanic,midwest,0.6910304053443409
female,BA_plus,asian,northeast,0.4816375903202682
female,BA_plus,asian,south,0.5366670799661823
female,BA_plus,asian,midwest,0.46180436300630207
female,BA_plus,black,northeast,0.6885818379675331
female,BA_plus,white,northeast,1.0256422264169756
female,BA_plus,white,south,1.1428269508100501
female,BA_plus,white,midwest,0.9834075756585001
female,BA_plus,white,west,0.9118499963397846
female,BA_plus,other,south,0.9610960132572699
female,BA_plus,other,midwest,0.827027311267421
female,BA_plus,other,west,0.7668487302908259
