gender,educ,ethnic,region,demo_wt,n_input
male,no_HS,hispanic,northeast,1.6497572871017634,3
male,no_HS,hispanic,midwest,1.5070898687004668,1
male,no_HS,hispanic,west,1.3582191532624992,2
male,no_HS,other,south,2.102460461366585,1
male,HS_grad,hispanic,northeast,0.9528442360692296,2
male,HS_grad,hispanic,south,1.0099674294386634,2
male,HS_grad,hispanic,midwest,0.8704443410292948,2
male,HS_grad,hispanic,west,0.7844616305823731,5
male,HS_grad,asian,northeast,0.6477245160807169,2
male,HS_grad,asian,south,0.686555724143473,1
male,HS_grad,asian,west,0.533261377692734,1
male,HS_grad,black,northeast,0.9132736349838475,7
male,HS_grad,black,south,0.9680245632841558,5
male,HS_grad,black,midwest,0.8342957193742065,8
male,HS_grad,white,northeast,1.3939444024662697,1
male,HS_grad,white,south,1.4775116347946144,5
male,HS_grad,white,midwest,1.273399125382409,1
male,HS_grad,white,west,1.147612440214639,4
male,HS_grad,other,northeast,1.1456296257864755,2
male,HS_grad,other,south,1.2143103399748953,2
male,some_college,hispanic,northeast,0.9057890382235928,1
male,some_college,hispanic,south,0.9600912635230916,2
male,some_college,hispanic,midwest,0.8274583742466066,4
male,some_college,hispanic,west,0.7457218283859078,6
male,some_college,asian,south,0.652650900869422,1
male,some_college,asian,midwest,0.5624897068662954,1
male,some_college,asian,west,0.5069268324639323,1
male,some_college,black,northeast,0.8681725891312221,2
male,some_college,black,south,0.920219701145637,1
male,some_college,black,midwest,0.7930949137746769,9
male,some_college,white,south,1.4045462962191306,13
male,some_college,white,midwest,1.2105136657100941,7
male,some_college,white,west,1.0909388220300087,4
male,some_college,other,south,1.1543429170420147,2
male,some_college,other,west,0.8966009205438306,1
male,BA_plus,hispanic,northeast,0.7862690675321926,1
male,BA_plus,hispanic,south,0.8334060478326991,5
male,BA_plus,hispanic,midwest,0.7182742304063768,1
male,BA_plus,hispanic,west,0.647322921674233,5
male,BA_plus,asian,south,0.5665328167991954,3
male,BA_plus,asian,midwest,0.4882685025440166,1
male,BA_plus,asian,west,0.4400372173305932,2
male,BA_plus,black,south,0.7987955868438414,1
male,BA_plus,white,northeast,1.150256593921656,1
male,BA_plus,white,south,1.2192146957307326,21
male,BA_plus,white,midwest,1.0507849079731348,12
male,BA_plus,white,west,0.9469881110666128,7
female,no_HS,hispanic,northeast,1.547354968366174,5
female,no_HS,hispanic,midwest,1.4135430795427946,1
female,no_HS,hispanic,west,1.2739129394136077,11
female,no_HS,black,northeast,1.4830949730039806,1
female,no_HS,white,northeast,2.2636719782032535,1
female,no_HS,other,west,1.5316589520293058,1
female,HS_grad,hispanic,northeast,0.8937001062446872,5
female,HS_grad,hispanic,south,0.9472775977703749,1
female,HS_grad,hispanic,midwest,0.816414866785685,1
female,HS_grad,hispanic,west,0.7357692013633704,4
female,HS_grad,asian,northeast,0.6075195157045242,1
female,HS_grad,asian,south,0.6439404263398837,2
female,HS_grad,asian,west,0.5001612350264131,1
female,HS_grad,black,northeast,0.8565856975559599,3
female,HS_grad,black,south,0.9079381732143483,4
female,HS_grad,black,midwest,0.7825100313563148,7
female,HS_grad,white,northeast,1.3074206816031795,2
female,HS_grad,white,south,1.3858008003920705,4
female,HS_grad,white,midwest,1.1943577875234865,2
female,HS_grad,white,west,1.0763788255450297,4
female,HS_grad,other,south,1.1389367105021122,2
female,HS_grad,other,west,0.8846346159372572,1
female,some_college,hispanic,northeast,0.8495656782635808,1
female,some_college,hispanic,south,0.9004973024288124,4
female,some_college,hispanic,midwest,0.7760970880486283,1
female,some_college,hispanic,west,0.699434022927801,10
female,some_college,asian,south,0.6121401141637548,2
female,some_college,asian,midwest,0.5275753284311497,2
female,some_college,asian,west,0.47546130509245516,1
female,some_college,black,northeast,0.8142841251221319,2
female,some_college,black,south,0.863100613459091,1
female,some_college,black,midwest,0.7438666068092297,1
female,some_college,black,west,0.6703872767135451,1
female,some_college,white,south,1.317364503704065,10
female,some_college,white,midwest,1.135375700144505,3
female,some_college,white,west,1.0232230035590375,11
female,some_college,other,south,1.0826915339899241,2
female,some_college,other,west,0.840947877540488,1
female,BA_plus,hispanic,northeast,0.7374644486377288,1
female,BA_plus,hispanic,south,0.7816755827433411,4
female,BA_plus,hispanic,midwest,0.6736901286983921,3
female,BA_plus,asian,northeast,0.5013136303276122,3
female,BA_plus,asian,south,0.5313674779135221,4
female,BA_plus,asian,midwest,0.457961119017377,2
female,BA_plus,black,northeast,0.7068383395560611,2
female,BA_plus,white,northeast,1.078858853611985,4
female,BA_plus,white,south,1.143536647295701,16
female,BA_plus,white,midwest,0.9855614888010669,9
female,BA_plus,white,west,0.8882074776083315,8
female,BA_plus,other,south,0.9398290627636388,1
female,BA_plus,other,midwest,0.8099953180392707,2
female,BA_plus,other,west,0.7299837772531279,1
