ID,DRIW_age,DRIW_age_ss,DRIQ_age,DRIQ_age_ss
201001,213,109,,
201008,202,103,,
201010,,,180,88
201017,,,242,126
201020,,,204,102
201021,,,208,104
201022,,,228,117
201023,,,233,120
201024,,,190,94
201027,,,215,109
201028,,,213,107
201032,,,240,125
202001,,,240,125
202002,,,237,123
202003,,,209,105
202004,,,219,111
203001,225,115,,
203002,184,92,,
203003,,,244,127
203004,,,229,118
203006,,,193,95
203007,,,229,118
203008,,,175,85
203009,,,229,118
203010,,,231,119
203011,,,199,99
203012,,,240,125
203013,,,234,121
203015,,,197,98
203016,,,239,124
203017,,,200,100
203018,,,226,116
203028,,,172,84
204001,,,199,99
204004,,,213,107
204005,,,219,111
204006,,,196,97
204007,,,210,106
204010,,,213,107
204011,,,204,102
204012,,,234,121
204013,,,219,111
204014,,,245,128
204017,,,201,100
205001,,,204,102
205004,210,107,,
205008,,,180,88
205009,194,98,,
205010,,,234,121
205012,,,226,116
205013,178,88,,
205014,156,73,,
205016,,,223,114
205017,,,260,130
205019,,,204,102
205021,,,217,110
205028,241,123,,
205029,254,129,,
205030,,,242,126
205031,,,224,114
205032,,,231,119
205035,,,253,130
205036,,,167,81
205037,,,226,116
205039,,,193,95
205040,,,192,95
206001,207,105,,
206002,,,232,119
206004,,,230,118
206005,260,130,,
206007,,,213,107
206008,,,204,102
206009,,,203,101
206010,,,201,100
206011,,,238,123
207001,199,101,,
207002,227,116,,
207004,196,99,,
207006,245,125,,
207007,208,106,,
207009,,,191,94
207010,,,202,101
207011,,,207,104
207012,,,204,102
207013,,,173,84
207014,,,226,116
207015,,,217,110
207016,,,223,114
207017,,,177,86
207018,,,233,120
207019,,,239,124
207020,,,238,123
207021,,,217,110
207022,242,123,,
207023,260,130,,
207024,260,130,,
207025,206,105,,
207026,244,124,,
207027,241,123,,
207028,138,59,,
207029,233,119,,
207030,183,91,,
207031,234,119,,
207032,230,117,,
208001,214,109,,
208011,232,118,,
208013,,,191,94
208015,,,186,91
208017,,,235,121
208019,,,216,109
208023,,,167,81
208024,,,198,98
209007,,,239,124
209015,,,173,84
209019,177,88,,
210001,254,129,,
210007,,,201,100
210008,,,212,107
210009,,,215,109
210010,,,205,103
210011,,,210,106
210012,,,206,103
210016,210,107,,
210018,219,112,,
210019,,,214,108
210025,,,243,127
210030,,,203,101
210031,,,178,87
210032,,,187,92
210034,,,197,98
210035,,,204,102
210036,,,212,107
210037,,,203,101
210039,202,103,,
210040,,,220,112
210041,,,243,127
210042,,,198,98
210043,,,207,104
210044,190,96,,
210046,,,186,91
210047,,,177,86
210048,,,163,79
211002,,,229,118
211006,,,218,111
211007,,,224,114
211008,227,116,,
211009,,,187,92
211010,,,190,94
211014,,,211,106
211016,,,225,115
211017,,,194,96
211018,,,170,82
211020,,,204,102
211021,,,191,94
211024,,,198,98
211027,,,191,94
211028,,,217,110
211029,,,178,87
211030,,,197,98
211032,,,250,130
211033,,,213,107
211034,,,197,98
211036,,,166,80
211038,,,199,99
211039,,,202,101
211041,,,184,90
211042,,,219,111
211043,188,94,,
211049,,,196,97
211050,,,181,89
211051,,,191,94
211052,,,160,77
211056,213,109,,
211057,,,192,95
211062,,,186,91
211063,,,200,100
211064,,,205,103
211065,,,199,99
211066,,,187,92
211067,,,169,82
211068,,,190,94
211069,,,241,125
211071,,,187,92
211072,143,63,,
211073,237,121,,
211075,,,198,98
212001,158,75,,
212003,,,211,106
212004,,,191,94
212006,,,200,100
212007,,,184,90
212008,,,203,101
212009,,,195,97
212010,,,185,91
212011,,,201,100
212012,,,188,93
212013,,,213,107
212014,,,227,116
212015,,,240,125
212016,,,221,112
212017,,,247,129
212018,,,193,95
212019,,,222,113
212020,,,220,112
212021,,,184,90
212022,,,149,71
212023,,,187,92
212024,,,231,119
212025,,,226,116
212026,,,244,127
212027,,,241,125
212028,,,220,112
212029,,,195,97
213002,,,187,92
213003,178,88,,
213005,,,199,99
213008,,,224,114
213009,208,106,,
213010,195,99,,
