ID,DRIW_grade,DRIW_grade_ss,DRIQ_grade,DRIQ_grade_ss
201001,216,106,,
201008,204,99,,
201010,,,191,94
201017,,,236,122
201020,,,201,100
201021,,,204,102
201022,,,234,121
201023,,,232,120
201024,,,187,92
201027,,,223,114
201028,,,205,103
201032,,,222,113
202001,,,228,117
202002,,,227,116
202003,,,194,96
202004,,,212,107
203001,260,130,,
203002,194,94,,
203003,,,243,127
203004,,,223,114
203006,,,196,97
203007,,,235,122
203008,,,176,86
203009,,,227,116
203010,,,231,119
203011,,,198,98
203012,,,241,126
203013,,,233,120
203015,,,199,99
203016,,,244,128
203017,,,205,103
203018,,,228,117
203028,,,168,82
204001,,,203,101
204004,,,216,109
204005,,,221,113
204006,,,199,99
204007,,,215,109
204010,,,213,108
204011,,,205,103
204012,,,236,122
204013,,,224,115
204014,,,247,130
204017,,,199,99
205001,,,207,104
205004,225,111,,
205008,,,183,90
205009,204,99,,
205010,,,233,120
205012,,,227,116
205013,222,109,,
205014,169,81,,
205016,,,227,116
205017,,,260,130
205019,,,207,104
205021,,,219,111
205028,236,118,,
205029,259,130,,
205030,,,235,122
205031,,,229,118
205032,,,232,120
205035,,,253,130
205036,,,151,74
205037,,,223,114
205039,,,197,98
205040,,,196,97
206001,232,115,,
206002,,,221,113
206004,,,231,119
206005,260,130,,
206007,,,221,113
206008,,,206,103
206009,,,208,104
206010,,,211,106
206011,,,233,120
207001,234,116,,
207002,241,120,,
207004,191,92,,
207006,247,124,,
207007,203,99,,
207009,,,188,93
207010,,,198,98
207011,,,209,105
207012,,,209,105
207013,,,177,87
207014,,,226,116
207015,,,224,115
207016,,,232,120
207017,,,181,89
207018,,,242,127
207019,,,240,125
207020,,,239,125
207021,,,224,115
207022,259,130,,
207023,254,128,,
207024,259,130,,
207025,208,102,,
207026,240,120,,
207027,240,120,,
207028,137,64,,
207029,222,109,,
207030,177,85,,
207031,221,109,,
207032,227,112,,
208001,254,128,,
208011,213,104,,
208013,,,182,89
208015,,,191,94
208017,,,235,122
208019,,,228,117
208023,,,157,77
208024,,,197,98
209007,,,228,117
209015,,,166,81
209019,200,97,,
210001,253,127,,
210007,,,199,99
210008,,,214,108
210009,,,218,111
210010,,,209,105
210011,,,219,111
210012,,,208,104
210016,249,125,,
210018,214,105,,
210019,,,212,107
210025,,,238,124
210030,,,202,101
210031,,,177,87
210032,,,185,91
210034,,,195,97
210035,,,205,103
210036,,,214,108
210037,,,188,93
210039,194,94,,
210040,,,219,111
210041,,,245,129
210042,,,192,95
210043,,,198,98
210044,206,101,,
210046,,,183,90
210047,,,176,86
210048,,,159,78
211002,,,235,122
211006,,,217,110
211007,,,205,103
211008,259,130,,
211009,,,185,91
211010,,,197,98
211014,,,214,108
211016,,,227,116
211017,,,196,97
211018,,,163,80
211020,,,210,106
211021,,,186,92
211024,,,201,100
211027,,,197,98
211028,,,229,118
211029,,,181,89
211030,,,198,98
211032,,,243,127
211033,,,216,109
211034,,,187,92
211036,,,163,80
211038,,,198,98
211039,,,201,100
211041,,,185,91
211042,,,222,113
211043,167,80,,
211049,,,194,96
211050,,,176,86
211051,,,187,92
211052,,,154,75
211056,219,108,,
211057,,,185,91
211062,,,187,92
211063,,,202,101
211064,,,209,105
211065,,,199,99
211066,,,189,93
211067,,,172,84
211068,,,194,96
211069,,,243,127
211071,,,190,94
211072,148,70,,
211073,240,120,,
211075,,,197,98
212001,157,74,,
212003,,,208,104
212004,,,200,100
212006,,,197,98
212007,,,185,91
212008,,,208,104
212009,,,196,97
212010,,,183,90
212011,,,204,102
212012,,,194,96
212013,,,217,110
212014,,,229,118
212015,,,240,125
212016,,,219,111
212017,,,246,129
212018,,,191,94
212019,,,214,108
212020,,,210,106
212021,,,184,91
212022,,,141,69
212023,,,184,91
212024,,,222,113
212025,,,209,105
212026,,,239,125
212027,,,225,115
212028,,,205,103
212029,,,190,94
213002,,,183,90
213003,204,99,,
213005,,,209,105
213008,,,226,116
213009,198,96,,
213010,183,88,,
213013,,,168,82
213016,188,91,,
213017,,,219,111
213018,,,225,115
213019,195,94,,
214001,,,234,121
214002,234,116,,
214003,226,112,,
214004,,,208,104
214005,,,205,103
214006,,,230,118
214012,,,210,106
214013,,,232,120
214015,,,239,125
214016,219,108,,
214017,,,233,120
214018,,,197,98
214021,,,249,130
214024,,,208,104
214025,260,130,,
214027,,,225,115
214028,,,214,108
214029,,,218,111
214031,,,218,111
214032,,,230,118
214033,228,113,,
214034,,,237,123
214035,,,187,92
214039,,,215,109
214040,,,236,122
214041,,,181,89
214046,,,228,117
214051,,,240,125
214052,,,213,108
214053,,,206,103
214054,193,93,,
214055,210,103,,
214056,,,197,98
214057,186,90,,
214058,,,198,98
214059,251,126,,
214060,,,243,127
214062,212,104,,
214064,211,103,,
214065,169,81,,
214066,176,84,,
214067,,,224,115
214068,,,218,111
214069,,,210,106
214071,215,106,,
214072,,,229,118
214073,155,73,,
214074,,,181,89
214075,,,158,77
215002,233,116,,
216004,,,240,125
216005,,,231,119
217001,222,109,,
217003,175,84,,
217005,179,86,,
217006,190,92,,
217007,199,97,,
217008,,,230,118
217011,,,190,94
217012,,,166,81
217013,,,177,87
217015,,,217,110
217016,,,212,107
217017,,,227,116
217019,,,206,103
217020,,,170,83
217021,,,194,96
217022,,,238,124
218001,223,110,,
218003,,,186,92
218004,,,191,94
218005,,,229,118
218006,,,224,115
218007,,,245,129
218009,,,230,118
218010,,,198,98
218011,,,222,113
218012,,,224,115
218013,,,203,101
218014,,,189,93
219006,,,186,92
219007,,,185,91
219008,,,212,107
220003,215,106,,
220004,230,114,,
220007,179,86,,
220008,186,90,,
220010,166,79,,
220011,,,204,102
220015,,,227,116
220016,,,213,108
220017,,,201,100
220018,,,174,85
220019,,,182,89
220020,,,164,80
220021,,,178,87
221001,,,185,91
221002,,,182,89
221003,,,194,96
221004,,,192,95
221005,,,162,79
221006,,,218,111
221007,,,163,80
221008,,,145,71
221009,,,212,107
221011,,,185,91
221012,,,215,109
221013,,,188,93
221014,,,179,88
221015,,,178,87
221016,,,161,79
221017,,,157,77
221018,,,158,77
221019,,,193,96
222023,,,234,121
222026,,,207,104
222028,,,216,109
222029,,,233,120
223002,,,185,91
223003,,,232,120
223005,,,199,99
223006,,,185,91
223007,,,225,115
223008,,,154,75
223009,,,162,79
223010,,,211,106
223011,,,209,105
223012,,,174,85
223013,,,223,114
223014,,,198,98
223015,,,220,112
223016,,,180,88
223017,,,192,95
223018,,,171,84
223019,,,205,103
223020,,,150,73
223021,,,198,98
223023,,,207,104
223024,,,188,93
223027,,,218,111
223028,,,200,100
223029,,,208,104
223030,,,188,93
223031,,,181,89
223032,,,173,85
223033,,,205,103
223034,,,172,84
223036,,,176,86
223037,,,191,94
223042,,,190,94
223047,,,203,101
223048,,,178,87
223049,,,202,101
223051,,,194,96
223052,,,170,83
223053,,,211,106
223054,,,180,88
223055,,,201,100
223056,,,209,105
223058,,,163,80
223061,,,170,83
223062,,,197,98
223063,,,198,98
223064,,,207,104
223065,,,148,72
223066,,,172,84
223067,,,176,86
223068,,,189,93
223069,,,162,79
223070,,,180,88
223071,,,154,75
223072,,,135,67
223073,,,174,85
223074,,,191,94
223075,,,173,85
225001,215,106,,
225002,212,104,,
225003,224,111,,
225004,223,110,,
225005,,,210,106
225006,,,200,100
225008,194,94,,
225009,,,187,92
225010,,,212,107
226001,223,110,,
226002,222,109,,
226003,204,99,,
226004,213,104,,
226005,212,104,,
226006,222,109,,
226007,219,108,,
226008,192,93,,
226010,226,112,,
226011,186,90,,
226013,,,229,118
226014,,,204,102
226015,,,208,104
226019,,,226,116
226020,,,192,95
226022,,,207,104
226023,,,202,101
226024,,,160,78
226025,,,182,89
226026,,,216,109
226027,,,203,101
226028,,,189,93
226029,,,236,122
226030,,,220,112
226032,,,244,128
226034,,,195,97
226036,,,216,109
226037,,,217,110
226038,,,207,104
226040,,,245,129
226041,,,256,130
226043,,,217,110
226044,,,251,130
226045,,,211,106
226046,,,200,100
226048,,,196,97
226049,,,208,104
226050,,,245,129
226053,170,81,,
226054,204,99,,
226055,,,159,78
226056,249,125,,
226057,219,108,,
226058,204,99,,
226059,,,225,115
226060,192,93,,
227005,,,204,102
227006,,,217,110
227007,,,216,109
227008,,,223,114
227011,,,218,111
227012,,,150,73
227016,,,191,94
227017,,,197,98
227021,,,247,130
227026,,,194,96
228004,,,203,101
228006,,,209,105
228007,,,180,88
228009,,,199,99
228010,,,175,86
231014,172,82,,
231043,,,171,84
232001,,,186,92
232002,,,184,91
232003,209,102,,
232004,,,210,106
232005,194,94,,
232006,203,99,,
232008,,,213,108
232009,,,189,93
232010,,,187,92
232011,,,211,106
232012,,,248,130
232013,,,217,110
232014,,,184,91
232017,,,199,99
232018,,,208,104
232022,,,191,94
232023,,,182,89
232024,,,206,103
232025,225,111,,
232026,216,106,,
232027,,,221,113
232028,,,200,100
232029,,,208,104
232030,234,116,,
232032,,,204,102
232050,,,214,108
232051,,,231,119
232052,,,204,102
232053,,,162,79
232054,177,85,,
232055,204,99,,
232056,168,80,,
232058,,,193,96
232059,,,205,103
232060,,,223,114
232063,,,214,108
232064,,,210,106
232065,,,215,109
232066,,,194,96
232069,,,174,85
232071,,,210,106
232072,,,229,118
232075,,,200,100
234001,,,190,94
234004,,,208,104
234007,,,219,111
234010,,,185,91
234011,,,242,127
234012,,,205,103
234017,,,234,121
234018,,,199,99
234019,,,206,103
234020,,,200,100
234021,,,203,101
234023,229,113,,
234024,166,79,,
234025,214,105,,
234026,225,111,,
234028,204,99,,
234029,207,101,,
234030,201,98,,
234031,171,82,,
234032,214,105,,
234033,194,94,,
234034,194,94,,
234035,196,95,,
234038,,,221,113
234040,,,211,106
234041,,,232,120
234042,,,207,104
234043,,,200,100
234045,,,233,120
234046,,,214,108
234047,,,191,94
234048,,,239,125
234049,,,194,96
234050,,,227,116
234051,,,189,93
235001,,,220,112
235003,239,119,,
235004,231,115,,
235005,,,203,101
235026,,,224,115
236001,218,107,,
236003,238,119,,
236004,257,130,,
236005,213,104,,
236006,,,196,97
236007,,,260,130
236008,,,242,127
236010,,,198,98
236013,,,245,129
236015,,,212,107
236016,,,224,115
236019,,,208,104
236024,,,189,93
236025,,,209,105
236026,,,214,108
236027,,,185,91
236029,,,235,122
236031,,,230,118
236041,,,226,116
236043,,,215,109
236044,,,211,106
236045,248,124,,
236047,179,86,,
236048,222,109,,
238002,246,123,,
239001,,,218,111
239011,,,183,90
239017,,,247,130
239019,,,230,118
239020,,,208,104
239021,201,98,,
239022,,,178,87
240002,242,121,,
240003,229,113,,
240004,,,218,111
240008,212,104,,
240009,,,213,108
240011,,,192,95
240013,,,202,101
240014,,,197,98
240015,,,225,115
240016,,,189,93
240020,185,89,,
240021,222,109,,
240022,191,92,,
240023,221,109,,
240025,187,90,,
240027,,,206,103
240028,,,225,115
240029,,,244,128
240030,,,204,102
240031,,,224,115
240032,,,231,119
240034,,,195,97
240035,,,169,83
240036,194,94,,
240037,205,100,,
240038,201,98,,
240039,183,88,,
240040,218,107,,
241001,,,207,104
241003,,,164,80
241007,210,103,,
241008,,,190,94
241009,,,201,100
241014,,,221,113
241016,,,196,97
241017,,,219,111
241018,196,95,,
241019,199,97,,
241020,,,219,111
241021,220,108,,
241022,,,211,106
241023,260,130,,
241025,241,120,,
241027,234,116,,
241028,,,222,113
241029,217,107,,
243005,,,176,86
243007,,,180,88
243011,,,230,118
