raw,DRIW_grade_ss,DRIQ_grade_ss
80,58,51
81,58,51
82,58,51
83,58,51
84,58,51
85,58,51
86,58,51
87,58,51
88,58,51
89,58,51
90,58,51
91,58,51
92,58,51
93,58,51
94,58,51
95,58,51
96,58,51
97,58,51
98,58,51
99,58,51
100,58,51
101,58,51
102,58,51
103,58,51
104,58,51
105,58,51
106,58,51
107,58,51
108,58,51
109,58,51
110,58,51
111,58,51
112,58,51
113,58,51
114,58,51
115,58,51
116,58,52
117,58,52
118,58,53
119,58,53
120,58,54
121,58,54
122,58,54
123,58,56
124,58,56
125,58,57
126,58,57
127,58,57
128,58,59
129,58,59
130,58,59
131,58,61
132,58,61
133,62,62
134,62,62
135,63,63
136,64,63
137,64,64
138,64,65
139,64,65
140,64,66
141,64,66
142,64,67
143,64,68
144,64,68
145,64,69
146,64,69
147,64,70
148,70,70
149,70,71
150,70,72
151,71,72
152,71,73
153,71,73
154,71,74
155,73,74
156,73,75
157,74,76
158,74,76
159,74,77
160,76,77
161,76,78
162,77,79
163,77,79
164,78,80
165,78,80
166,79,81
167,80,81
168,80,82
169,81,83
170,81,83
171,82,84
172,82,84
173,83,85
174,83,85
175,84,86
176,84,87
177,85,87
178,85,88
179,86,88
180,86,89
181,87,89
182,87,90
183,88,91
184,88,91
185,89,92
186,90,92
187,90,93
188,91,94
189,91,94
190,92,95
191,92,95
192,93,96
193,93,96
194,94,97
195,94,98
196,95,98
197,96,99
198,96,99
199,97,100
200,97,100
201,98,101
202,98,102
203,99,102
204,99,103
205,100,103
206,101,104
207,101,105
208,102,105
209,102,106
210,103,106
211,103,107
212,104,107
213,104,108
214,105,109
215,106,109
216,106,110
217,107,110
218,107,111
219,108,111
220,108,112
221,109,113
222,109,113
223,110,114
224,111,114
225,111,115
226,112,115
227,112,116
228,113,117
229,113,117
230,114,118
231,115,118
232,115,119
233,116,120
234,116,120
235,116,121
236,118,121
237,118,122
238,119,122
239,119,123
240,120,124
241,120,124
242,121,125
243,121,125
244,122,126
245,122,126
246,123,127
247,124,128
248,124,128
249,125,129
250,126,129
251,126,130
252,126,130
253,127,130
254,128,130
255,128,130
256,129,130
257,130,130
258,130,130
259,130,130
260,130,130
