ss,DRIQ_age_raw,DRIW_age_raw
130,248--260,257--260
129,246--247,254--256
128,245,252--253
127,243--244,249--251
126,242,248
125,240--241,245--247
124,239,243--244
123,237--238,241--242
122,236,239--240
121,234--235,237--238
120,233,235--236
119,231--232,233--234
118,229--230,232
117,228,229--231
116,226--227,227--228
115,225,225--226
114,223--224,223--224
113,222,221--222
112,220--221,219--220
111,218--219,217--218
110,217,215--216
109,215--216,213--214
108,214,211--212
107,212--213,209--210
106,210--211,208
105,209,206--207
104,207--208,204--205
103,205--206,202--203
102,204,201
101,202--203,199--200
100,200--201,197--198
99,199,195--196
98,197--198,194
97,195--196,192--193
96,194,190--191
95,192--193,189
94,190--191,187--188
93,188--189,185--186
92,187,184
91,185--186,182--183
90,183--184,181
89,181--182,179--180
88,180,177--178
87,178--179,176
86,176--177,174--175
85,174--175,173
84,172--173,171--172
83,171,170
82,169--170,168--169
81,167--168,167
80,165--166,166
79,163--164,164--165
78,161--162,163
77,159--160,161--162
76,158,160
75,156--157,158--159
74,154--155,-
73,152--153,156--157
72,150--151,154--155
71,148--149,153
70,146--147,-
69,144--145,150--152
68,142--143,-
67,140--141,-
66,138--139,-
65,136--137,-
64,134--135,-
63,132--133,143--149
62,131,141--142
61,128--130,-
60,126--127,-
59,124--125,80--140
58,122--123,-
57,80--121,-
56,-,-
55,-,-
54,-,-
53,-,-
52,-,-
51,-,-
50,-,-
49,-,-
48,-,-
47,-,-
46,-,-
45,-,-
44,-,-
43,-,-
42,-,-
41,-,-
40,-,-
