raw,6.0-6.3,6.4-6.7,6.8-6.11,7.0-7.3,7.4-7.7,7.8-7.11,8.0-8.5,8.6-8.11,9.0-9.5,9.6-9.11,10.0-10.5,10.6-10.11,11.0-11.5,11.6-11.11,12.0-12.5,12.6-12.11,13.0-13.11,14.0-14.11,15.0-16.11,17.0-18.11
0,76,74,72,70,68,66,64,61,59,57,56,54,53,51,50,49,48,47,46,46
1,78,75,73,71,69,67,65,62,60,58,56,55,53,52,51,50,49,47,46,47
2,79,76,74,72,70,68,66,63,61,59,57,56,54,53,52,51,49,48,47,47
3,80,77,75,73,71,69,67,64,62,60,58,57,55,54,53,52,50,49,48,48
4,81,78,76,74,72,70,68,65,63,61,59,58,56,55,53,52,51,50,49,49
5,82,80,77,75,73,71,69,66,64,62,60,58,57,55,54,53,52,50,49,50
6,83,81,78,76,74,72,70,67,65,63,61,59,58,56,55,54,53,51,50,50
7,84,82,79,77,75,73,71,68,66,64,62,60,59,57,56,55,53,52,51,51
8,85,83,81,78,76,74,72,69,67,65,63,61,60,58,57,56,54,53,52,52
9,87,84,82,79,77,75,73,70,68,66,64,62,60,59,58,57,55,54,52,53
10,88,85,83,81,78,76,74,71,69,67,65,63,61,60,59,57,56,54,53,53
11,89,86,84,82,80,78,75,73,70,68,66,64,62,61,59,58,57,55,54,54
12,90,88,85,83,81,79,76,74,71,69,67,65,63,62,60,59,58,56,55,55
13,91,89,86,84,82,80,77,75,72,70,68,66,64,63,61,60,59,57,56,56
14,93,90,87,85,83,81,78,76,73,71,69,67,65,64,62,61,59,58,56,57
15,94,91,89,86,84,82,80,77,74,72,70,68,66,65,63,62,60,59,57,57
16,95,92,90,88,85,83,81,78,75,73,71,69,67,66,64,63,61,60,58,58
17,96,94,91,89,86,84,82,79,77,74,72,70,68,67,65,64,62,61,59,59
18,97,95,92,90,88,86,83,80,78,75,73,71,69,68,66,65,63,61,60,60
19,99,96,94,91,89,87,84,81,79,76,74,72,70,69,67,66,64,62,61,61
20,100,97,95,92,90,88,85,83,80,78,75,73,71,70,68,67,65,63,62,62
21,101,99,96,94,91,89,87,84,81,79,76,74,72,71,69,68,66,64,63,63
22,103,100,97,95,93,91,88,85,82,80,78,76,74,72,70,69,67,65,64,64
23,104,101,99,96,94,92,89,86,84,81,79,77,75,73,71,70,68,66,65,65
24,105,103,100,98,95,93,91,88,85,82,80,78,76,74,73,71,69,67,66,66
25,107,104,101,99,97,94,92,89,86,84,81,79,77,75,74,72,70,68,67,67
26,108,105,103,100,98,96,93,90,88,85,83,80,78,77,75,73,72,70,68,68
27,109,107,104,102,99,97,95,92,89,86,84,82,80,78,76,75,73,71,69,69
28,111,108,106,103,101,99,96,93,90,88,85,83,81,79,77,76,74,72,70,70
29,112,109,107,105,102,100,98,95,92,89,87,84,82,80,79,77,75,73,71,71
30,114,111,108,106,104,102,99,96,93,91,88,86,84,82,80,79,76,74,72,72
31,115,112,110,108,105,103,101,98,95,92,90,87,85,83,82,80,78,76,74,73
32,117,114,112,109,107,105,102,99,96,94,91,89,87,85,83,81,79,77,75,75
33,118,116,113,111,109,106,104,101,98,95,93,91,88,86,85,83,81,79,76,76
34,120,117,115,112,110,108,106,103,100,97,95,92,90,88,86,85,82,80,78,77
35,121,119,116,114,112,110,107,104,102,99,97,94,92,90,88,86,84,82,80,79
36,123,120,118,116,114,112,109,106,104,101,98,96,94,92,90,88,86,83,81,81
37,124,122,120,118,116,114,111,108,106,103,101,98,96,94,92,90,88,85,83,82
38,126,124,122,119,117,116,113,110,108,105,103,100,98,96,94,92,90,87,85,84
39,128,126,123,121,119,118,115,113,110,108,105,103,101,99,97,95,92,90,87,86
40,130,127,125,123,122,120,118,115,113,110,108,106,103,101,99,97,95,92,90,89
41,130,129,127,126,124,122,120,118,115,113,111,109,107,105,103,101,98,95,93,91
42,130,130,129,128,126,124,123,120,118,116,114,112,110,108,106,105,102,99,96,95
43,130,130,130,130,128,127,125,123,122,120,118,117,115,113,111,110,107,104,101,99
44,130,130,130,130,130,130,128,127,126,124,123,122,121,120,118,117,115,111,108,106
45,130,130,130,130,130,130,130,130,130,130,129,129,129,129,128,127,125,121,117,117
