ID,age_combined,Gender,HighestEducation,Ethnicity
354001,7,1,3,7
354002,7,1,3,7
354003,7,1,3,7
354004,7,2,3,7
354005,8,2,2,7
354006,8,2,2,7
354007,8,2,2,7
354008,9,1,3,7
354009,9,1,3,7
354010,9,1,3,7
354011,10,1,3,7
354012,10,1,3,7
354014,10,2,4,7
354015,13,2,3,3
354016,13,2,3,7
354017,13,1,2,7
354018,13,1,3,7
354019,14,1,3,7
354021,15,1,3,7
354022,15,1,2,7
354023,15,1,3,7
354024,15,1,2,7
354025,16,1,3,7
354026,16,1,2,7
354027,17,2,3,7
354028,17,2,3,7
354029,17,1,3,7
354030,17,1,3,7
354031,17,1,2,7
354032,17,1,3,7
354033,17,1,3,7
354034,18,1,2,7
354037,9,2,2,7
354038,9,2,2,7
354042,23,1,2,7
354043,24,1,3,7
354044,24,1,2,7
354045,24,1,2,7
354046,23,1,2,7
354047,23,1,2,7
360001,9,2,4,3
360002,10,1,4,3
360003,9,2,4,3
360004,10,2,4,3
360005,12,1,4,3
360006,10,2,4,3
360007,8,1,4,3
360008,8,1,4,3
360009,9,1,4,3
360010,9,2,3,3
360011,9,1,4,3
360012,8,1,4,3
360013,9,2,3,3
360014,8,2,4,3
360015,8,1,4,3
360017,10,2,4,3
360018,11,2,4,3
360019,7,2,4,3
360020,10,2,4,3
360023,11,2,4,2
360024,9,2,4,3
360026,9,2,4,3
360028,9,1,4,3
360029,8,2,4,3
360030,7,1,4,3
360031,9,2,4,3
360032,9,1,4,3
360033,11,2,4,3
360034,9,2,4,3
360035,7,1,4,3
360036,12,2,4,3
360037,10,2,4,3
360038,7,2,4,3
360039,9,1,4,3
360040,11,1,4,3
360041,7,1,4,2
360042,6,2,4,3
360043,8,2,4,3
360044,9,2,4,2
360045,8,1,4,3
360046,8,2,4,3
361002,10,2,4,3
361003,8,2,3,3
361005,11,1,4,3
361006,10,2,1,3
361007,9,1,4,6
361009,8,1,4,3
361013,12,2,4,3
361019,14,1,4,3
361020,13,2,4,7
361021,16,1,4,3
361025,14,2,4,3
361026,15,1,4,3
361028,17,1,2,3
362001,15,2,4,3
362002,8,2,4,3
362003,7,2,4,3
362004,8,1,4,3
362005,11,2,4,3
362006,8,2,4,3
362007,13,2,4,3
362008,8,1,4,3
362009,12,1,4,3
362010,8,2,3,3
363001,7,1,3,5
363002,7,2,2,5
363003,6,1,2,5
363004,7,2,2,4
363005,6,2,3,4
363006,6,1,2,4
363007,6,2,3,5
363008,7,2,2,5
363009,7,2,3,5
