ID,age,gender,ethnicity,SES
201001,5,2,3,2
201003,5,2,3,4
201004,6,2,3,4
201005,6,2,3,4
201006,6,1,3,4
201007,5,1,3,4
201008,7,1,3,2
201009,6,1,3,3
201011,6,2,3,4
201012,7,1,3,4
201013,6,2,3,4
201014,6,2,3,4
201015,8,1,3,4
201016,8,2,3,4
201017,8,1,3,2
201019,10,2,3,4
201021,8,1,3,3
201024,11,2,3,3
201025,11,2,3,4
201026,13,2,3,4
201027,15,2,3,2
201031,15,1,3,4
201034,66,1,3,3
201035,68,1,3,4
201036,68,2,3,4
201037,31,2,3,3
201038,40,1,3,4
201039,89,2,3,2
201043,41,2,3,4
201044,35,1,3,4
201045,38,2,7,4
201048,34,2,3,4
201051,27,2,3,3
203004,7,2,7,4
203011,10,1,3,4
205001,8,2,3,4
205002,17,1,3,4
205003,7,2,3,4
205004,5,2,3,4
205005,20,2,3,4
205006,37,2,3,4
205007,17,2,3,4
205009,7,1,3,4
205010,12,2,6,4
206001,6,2,3,4
206002,7,2,3,4
206019,43,1,3,4
208001,6,1,2,2
208002,21,2,3,2
208003,20,1,2,4
208004,19,2,2,3
208005,20,1,2,3
208006,20,1,2,2
208007,21,2,4,2
208008,21,1,2,2
208009,21,1,3,1
208010,45,2,2,4
208011,6,1,2,2
208012,21,1,3,2
208013,7,2,2,2
208018,19,2,2,3
208019,10,1,2,1
208020,19,2,2,4
209001,65,2,3,4
209002,23,2,3,4
211001,54,1,3,4
211002,10,1,7,4
211003,7,2,3,4
211004,17,2,3,4
212003,9,2,2,2
212006,11,1,2,2
212007,13,2,2,2
212011,15,1,2,2
212012,16,1,2,2
212015,16,2,2,2
212020,16,1,2,2
212021,18,1,2,2
212022,17,1,2,2
212025,18,2,2,2
212026,18,2,2,2
212033,29,2,2,2
212035,41,2,2,2
212037,45,1,2,2
212038,45,2,2,2
212042,56,2,2,2
212043,56,1,2,2
212044,57,2,2,2
212045,62,2,2,2
212048,66,1,2,2
212049,70,2,2,1
212050,73,1,2,1
214001,8,2,7,4
214002,6,2,7,4
214003,7,1,3,4
214004,8,2,3,4
214005,7,2,3,4
214006,8,1,3,4
214007,6,1,3,4
214008,7,2,3,4
214009,10,2,3,4
215001,7,2,3,4
215002,5,2,3,4
215003,6,1,3,4
216001,6,2,1,4
216002,6,1,2,4
216003,68,2,3,4
216004,9,2,3,4
216006,76,1,3,4
217022,14,1,3,3
217023,30,2,3,4
217024,32,2,3,4
217025,34,2,3,2
217026,34,1,3,2
217027,54,2,3,4
218001,6,2,7,3
218002,7,2,1,4
218003,9,1,7,1
218004,9,1,7,1
218005,9,1,1,1
218006,11,1,3,3
218007,12,2,3,2
218008,14,1,1,4
218009,16,2,7,1
218010,16,2,3,1
218011,17,2,3,2
218012,16,1,3,2
218013,17,2,2,4
218014,18,1,7,1
218015,20,2,7,3
218016,19,2,7,2
218017,30,2,7,3
218018,36,2,3,3
218019,37,2,3,3
218020,38,2,3,3
218022,42,2,1,4
218023,43,2,7,3
218024,43,2,1,3
218025,50,1,2,4
218026,50,2,3,2
218027,53,2,7,4
218028,54,1,1,4
218029,64,2,7,4
218030,67,2,3,3
218031,73,2,3,4
218032,74,1,3,4
218033,79,2,3,3
218034,79,2,3,4
218035,82,2,3,3
218036,82,2,3,3
218037,82,2,3,3
218038,83,2,3,2
218040,89,1,3,3
219001,6,2,7,4
219002,40,1,7,4
219003,35,1,7,4
219004,32,1,7,4
219005,63,2,7,2
219006,8,1,7,3
219007,12,1,7,3
219008,11,1,7,3
219009,39,1,7,3
219010,39,2,7,3
220001,6,1,2,2
220002,5,1,3,4
220003,5,1,2,2
220004,6,1,2,2
220005,6,1,2,3
220006,6,1,2,2
220007,6,2,2,2
220008,7,2,2,2
220009,7,1,2,4
220010,6,1,2,3
220011,7,1,2,3
220012,8,1,2,3
220013,7,1,2,3
220014,7,1,2,3
220015,7,1,2,3
220016,9,1,2,3
220017,8,1,2,3
220018,9,1,2,3
220019,9,1,2,3
220020,9,1,2,2
220021,9,1,2,3
221001,16,2,2,3
221002,14,2,2,2
221003,16,2,2,2
221004,15,1,5,2
221005,15,1,2,2
221006,18,2,2,2
221007,15,1,2,2
221008,15,2,2,2
221009,16,2,2,2
221010,19,2,2,2
221011,17,2,2,1
221012,15,2,2,2
221013,16,2,2,2
221014,15,2,2,2
221015,18,2,2,2
221016,15,2,2,2
221017,16,2,2,2
221018,16,2,2,2
221019,18,2,2,2
222001,7,1,6,4
222002,6,1,6,4
222003,26,1,3,2
222004,21,2,3,4
222005,21,2,3,4
222006,7,1,6,4
222007,21,2,3,4
222008,19,2,3,4
222009,21,2,7,2
222010,19,2,3,1
222011,24,2,3,4
222012,21,2,3,4
222013,26,2,7,2
222014,19,2,3,2
222015,19,2,3,4
222016,22,2,3,4
222017,20,2,3,3
222018,20,2,3,4
222019,41,1,3,4
222020,21,2,3,4
222021,21,2,2,3
222022,21,2,3,4
222023,8,2,3,4
222024,24,2,2,4
222025,49,2,3,2
222026,16,1,3,2
222027,6,2,2,4
222028,10,2,3,4
222029,8,2,3,4
223001,6,2,7,2
223002,9,1,7,2
223003,8,1,7,2
223004,8,1,7,1
223005,9,2,7,4
223006,9,1,7,1
223007,10,1,7,3
223008,10,1,7,1
223009,11,1,7,1
223010,12,2,7,2
223011,12,2,7,1
223012,10,1,7,1
223013,10,1,7,2
223014,12,2,7,4
223015,11,2,7,4
223016,11,1,7,1
223017,13,2,7,2
223018,14,2,7,2
223019,15,2,7,2
223020,14,2,7,1
223021,14,1,7,3
223022,8,1,7,1
223023,14,1,7,4
223024,15,2,7,2
223027,17,2,7,2
223028,12,2,7,2
223029,8,2,7,3
223030,17,1,7,4
223031,16,3,7,2
223032,18,1,7,2
223033,9,2,7,3
223034,14,2,7,3
223035,19,2,7,2
223036,11,2,7,1
223037,8,2,7,2
223038,20,1,7,2
223039,20,2,7,4
223040,21,2,7,2
223041,44,2,7,2
223042,15,1,7,2
223043,50,2,7,2
223045,53,2,7,4
223046,54,1,7,2
223047,14,2,7,2
223048,11,2,7,2
223049,10,1,7,2
223050,41,1,7,3
223051,8,1,3,1
223052,17,2,7,1
223053,15,2,7,1
223054,13,1,7,1
223055,12,2,7,2
223056,10,2,7,2
223057,7,1,7,3
223058,11,1,7,3
223061,18,2,7,2
223062,14,1,7,2
223063,12,1,7,2
223064,16,1,3,3
223065,15,1,7,3
223066,11,1,7,3
223067,9,1,7,3
223068,14,2,7,2
223069,11,2,7,2
223070,11,2,7,1
223071,8,2,7,1
223072,8,2,7,2
223073,10,2,3,1
223074,8,2,7,1
223075,13,2,7,2
224001,41,2,3,4
224002,8,2,3,4
224003,5,2,3,4
224006,49,1,3,4
224007,64,2,3,4
224008,6,2,2,4
224009,8,2,3,4
224012,22,2,3,4
225001,5,1,7,4
225002,5,1,7,4
225003,5,1,7,4
225004,5,1,7,4
225005,8,1,7,2
225006,9,2,7,4
225007,6,2,7,4
225008,7,1,7,1
225009,10,2,7,1
225010,13,2,7,1
226001,5,1,3,3
226002,5,1,6,2
226003,6,2,7,1
226004,5,1,2,2
226005,6,2,3,4
226006,5,2,7,4
226007,14,1,2,3
226007,6,2,3,4
226008,7,1,2,2
226009,8,1,3,2
226010,5,2,6,4
226011,6,1,2,2
226012,8,1,2,4
226013,9,2,2,2
226014,9,2,6,2
226015,9,2,6,3
226016,8,1,3,4
226017,8,1,2,4
226018,9,1,3,4
226019,9,1,2,4
226020,14,2,3,3
226021,14,1,3,4
226022,13,2,2,4
226023,12,2,7,3
226024,12,1,2,3
226025,14,2,3,4
226026,10,2,3,4
226027,9,2,3,3
226028,9,1,3,3
226029,10,2,7,2
226030,10,1,3,4
226031,10,1,3,4
226032,9,2,3,4
226033,10,1,2,4
226034,10,1,3,3
226035,11,2,7,4
226036,10,2,3,3
226037,10,1,2,4
226038,11,1,3,3
226039,9,1,3,4
226040,10,1,3,4
226041,10,2,3,4
226042,9,1,3,4
226043,9,2,3,4
226044,10,1,3,4
226045,8,1,3,4
226046,10,2,3,4
226047,9,2,3,4
226048,12,2,3,4
226049,12,2,3,4
226050,15,1,3,2
226051,15,2,3,4
226052,9,2,3,3
226053,5,1,3,4
226054,5,2,3,4
226055,8,1,2,3
226056,6,2,3,4
226057,5,2,3,4
226058,5,2,3,4
226059,7,2,3,3
226060,5,1,3,4
227001,8,1,3,4
227002,7,1,3,4
227003,9,1,6,4
227004,10,1,3,2
227005,10,1,2,4
227006,9,2,3,4
227007,12,2,3,4
227008,11,2,3,4
227009,12,1,3,4
227010,11,2,3,4
227011,10,2,3,4
227012,8,1,3,4
227013,15,1,3,4
227014,15,2,3,4
227015,14,1,3,4
227016,16,1,3,4
227017,17,2,3,4
227019,40,1,3,4
227020,13,1,3,4
227021,13,1,3,4
227022,45,2,3,4
227023,47,1,3,4
227024,47,2,3,4
227025,47,2,3,4
227026,14,1,3,4
227028,50,2,3,4
227029,74,2,3,2
227030,75,1,3,3
228001,49,1,3,4
228002,74,2,3,4
228003,77,1,3,4
228004,17,2,3,2
228005,47,2,3,3
228006,18,1,3,2
228007,12,1,3,1
228008,20,1,3,3
228009,18,2,3,2
228010,18,1,3,2
228011,20,2,7,4
230001,18,2,3,2
230003,17,2,3,2
230004,14,2,7,3
230005,14,2,3,4
230006,16,1,3,4
230007,16,2,3,2
230008,14,2,3,4
230009,17,2,3,4
230010,48,2,3,4
230011,14,2,3,2
230012,14,2,3,4
230013,16,1,3,4
230014,17,2,2,3
230015,14,1,3,2
230016,14,2,2,3
230017,7,2,3,2
230018,9,2,3,2
230019,46,2,3,2
231001,6,1,7,3
231002,6,2,3,4
231003,6,2,3,4
231004,6,2,3,4
231007,6,2,2,3
231008,6,2,3,4
231011,7,2,3,4
231012,7,2,2,3
231014,6,1,2,4
231017,7,2,3,3
231018,8,1,3,4
231019,9,1,6,4
231020,9,1,3,4
231022,9,2,2,4
231023,9,2,3,4
231024,9,1,3,4
231025,9,1,3,4
231026,9,2,3,4
231027,9,1,3,4
231029,10,1,6,4
231030,11,1,3,4
231031,12,1,2,4
231032,12,2,3,4
231033,14,2,3,4
231034,13,2,3,4
231035,13,1,2,4
231036,14,1,3,4
231037,14,2,3,4
231038,13,1,3,4
231039,13,1,3,4
231040,13,1,2,4
231041,13,1,2,4
231042,14,1,2,4
231043,14,1,3,4
231044,14,1,2,4
231045,16,1,3,4
231046,16,1,3,4
231047,17,2,3,4
231048,18,1,2,4
231049,20,2,3,4
231050,18,2,3,4
232001,12,2,7,3
232002,10,2,7,3
232003,6,2,7,3
232004,8,1,7,3
232005,5,1,3,4
232006,6,2,3,3
232007,9,2,3,3
232008,10,2,3,3
232009,11,1,6,3
232010,17,1,7,4
232011,17,2,3,4
232012,15,2,7,4
232013,16,1,3,4
232014,12,2,7,1
232015,48,2,3,4
232016,6,1,1,4
232017,11,1,3,4
232018,17,1,2,4
232019,27,2,7,2
232020,34,2,3,3
232021,6,2,3,4
232022,12,1,3,3
232023,9,2,3,4
232024,12,1,3,4
232025,5,2,3,4
232026,7,2,3,4
232027,9,2,3,4
232028,9,2,3,4
232029,10,2,7,3
232030,7,2,7,3
232031,20,2,7,4
232032,18,2,6,3
232033,59,1,3,4
232034,55,1,7,2
232035,58,2,3,4
232036,55,1,3,4
232037,46,2,3,4
232038,57,1,3,4
232039,52,2,3,4
232040,27,1,3,4
232041,43,2,1,4
232042,58,1,3,4
232043,52,2,7,3
232044,63,2,3,4
232045,56,2,3,4
232046,41,2,3,4
232047,59,2,7,4
232048,21,2,3,3
232049,40,2,3,4
232050,17,2,3,4
232051,12,2,7,4
232052,10,1,7,4
232053,11,1,3,3
232054,6,1,5,3
232055,5,1,3,4
232056,6,1,7,2
232057,23,2,3,3
232058,17,2,3,2
232059,15,1,7,2
232060,17,2,7,2
232061,10,2,3,4
232062,7,1,3,4
232063,14,2,6,4
232064,13,2,7,4
232065,7,2,7,3
232066,15,2,7,3
232067,14,1,7,3
232068,38,2,3,1
232069,12,1,7,2
232070,29,1,3,3
232071,17,2,3,2
232072,15,1,3,2
232073,15,1,2,4
232074,13,1,2,4
232075,9,2,3,3
233001,19,2,2,1
233002,19,2,2,2
233003,19,2,2,2
233004,19,2,2,2
233005,19,2,2,2
233006,20,2,2,1
233007,20,2,2,2
233008,20,2,2,2
233009,20,2,2,2
233010,20,2,2,2
233011,21,2,2,2
233012,21,2,2,2
233013,21,2,2,2
233014,19,1,2,2
233015,19,1,2,2
233016,20,1,2,2
233017,20,1,2,2
233018,21,1,2,1
233019,21,1,2,1
233020,21,1,2,1
234001,7,2,7,2
234002,7,1,2,3
234003,7,2,2,3
234004,7,1,2,2
234005,7,1,2,4
234006,7,1,2,4
234007,7,2,7,1
234008,7,2,7,3
234009,7,1,2,3
234010,8,2,3,2
234011,7,1,7,1
234012,8,1,2,2
234013,7,2,7,3
234014,8,1,7,4
234015,7,1,7,3
234016,8,2,7,4
234017,8,2,7,3
234018,8,2,2,2
234019,8,2,2,2
234020,8,1,7,2
234021,8,1,2,2
