ID,age_combined,Gender,HighestEducation,Ethnicity
201016,8,2,4,1
201017,8,1,2,1
201019,10,2,4,1
201020,9,2,4,3
201021,8,1,3,1
201022,11,2,4,3
201023,11,2,4,3
201024,11,2,3,1
201025,11,2,4,1
201026,13,2,4,1
201027,15,2,2,1
201028,16,1,4,3
201029,19,2,3,3
201030,18,2,2,3
201031,15,1,4,1
201032,16,2,4,3
201033,23,2,4,3
201034,23,1,3,1
201035,23,1,4,1
201036,23,2,4,1
201037,20,2,3,1
201038,21,1,4,1
201039,24,2,2,1
201040,23,2,4,3
201041,20,1,4,3
201042,20,2,4,3
201043,21,2,4,1
201044,20,1,4,1
201045,20,2,4,7
201046,20,2,4,3
201047,21,2,4,3
201048,20,2,4,1
201049,18,1,4,3
201050,20,2,4,3
201051,20,2,3,1
202001,18,2,4,2
202002,18,2,3,2
202003,17,1,2,2
202004,18,2,2,3
203006,10,1,4,3
203007,10,1,4,3
203008,11,1,3,3
203009,10,2,4,3
203010,11,1,4,3
203011,10,1,4,1
203012,11,1,4,7
203013,10,2,4,7
203015,12,1,4,3
203016,13,1,4,3
203017,15,2,3,3
203018,17,2,3,3
203019,19,1,3,3
203020,19,1,4,3
203021,19,1,2,3
203022,19,2,4,3
203023,21,1,3,3
203024,21,1,3,3
203025,23,2,4,3
203026,24,1,2,3
203027,24,2,3,3
203028,11,1,3,3
204002,20,2,4,3
204003,19,1,2,3
204004,9,1,4,3
204005,12,1,4,3
204007,12,2,4,3
204008,20,1,3,3
204009,23,2,2,3
204010,14,1,4,7
204011,12,1,4,7
204012,11,1,4,7
204013,11,2,3,7
204014,12,2,3,7
204015,20,2,3,7
204016,20,1,3,2
204017,13,1,2,7
204018,22,2,2,7
205002,17,1,4,1
205005,19,2,4,1
205006,20,2,4,1
205007,17,2,4,1
205010,12,2,4,7
205011,21,2,4,3
205012,10,1,4,3
205015,22,2,4,3
205016,13,2,4,3
205017,8,2,4,3
205019,10,1,4,6
205020,12,2,4,2
205021,12,2,4,3
205022,22,2,4,3
205023,9,1,4,3
205024,20,2,4,7
205025,21,2,4,3
205026,19,2,4,3
205027,11,1,4,2
205030,16,1,4,3
205031,14,1,4,3
205032,17,2,4,3
205034,21,2,3,3
205035,14,1,4,3
205037,15,2,4,3
205038,16,1,4,1
205039,13,2,4,2
205040,12,1,4,7
206004,12,1,4,3
206006,20,1,3,3
206007,14,2,3,3
206008,12,1,4,3
206009,12,2,4,3
206010,9,2,4,3
206012,20,2,4,3
206013,20,2,4,3
206014,20,2,3,3
206015,20,2,4,3
206016,23,1,3,3
206017,20,2,4,3
206018,20,2,4,6
206019,21,1,4,1
206021,22,2,4,3
207009,8,2,4,2
207010,8,1,3,2
207011,10,2,2,2
207012,11,1,4,6
207013,11,2,2,2
207014,12,1,2,2
207015,13,1,2,2
207016,13,2,1,7
207017,13,1,3,2
207018,13,2,2,2
207019,12,1,1,2
207020,12,2,1,7
207021,14,1,2,2
208002,19,2,2,1
208003,19,1,4,2
208004,19,2,3,2
208005,19,1,3,2
208006,19,1,2,2
208007,19,2,2,5
208008,19,1,2,2
208009,19,1,1,1
208010,21,2,4,2
208012,19,1,2,1
208013,7,2,2,2
208015,15,1,2,2
208016,9,2,4,2
208017,13,1,4,7
208018,19,2,3,2
208019,10,1,1,2
208020,19,2,4,2
208021,12,2,4,2
208022,10,2,4,2
208023,9,2,3,2
208024,10,2,3,2
208025,19,2,1,2
208026,17,2,4,2
208027,21,2,2,7
208028,20,1,2,7
209001,23,2,4,1
209002,19,2,4,1
209003,19,1,3,3
209004,19,2,3,3
209005,19,2,3,3
209006,19,2,4,3
209007,16,2,4,1
209008,17,2,4,1
209009,24,1,4,3
209010,24,1,4,3
209011,19,2,4,7
209012,19,2,4,7
209013,23,2,4,3
209014,23,2,4,3
209015,14,2,4,3
209016,22,1,3,3
209017,23,2,4,3
209018,20,1,4,3
209020,24,2,2,3
209021,24,2,2,3
210002,20,2,3,7
210003,20,1,1,7
210004,20,2,2,7
210005,23,1,4,7
210006,22,2,3,7
210007,10,2,4,7
210008,8,2,4,7
210009,8,1,4,7
210010,14,2,4,7
210011,15,2,4,7
210012,17,1,4,7
210013,21,2,4,7
210014,19,1,2,7
210015,20,1,2,7
210019,10,2,4,7
210020,19,1,3,7
210021,20,2,4,7
210022,20,1,4,7
210023,21,2,4,7
