raw,5.0-5.3,5.4-5.7,5.8-5.11,6.0-6.5,6.6-6.11,7.0-7.5,7.6-7.11,8.0-8.5,8.6-9.3
1,75,70,65,61,56,51,48,44,40
2,81,76,71,66,61,56,52,49,45
3,87,81,76,71,66,61,57,53,49
4,92,86,81,76,70,65,61,57,53
5,97,91,86,80,74,69,65,61,57
6,101,95,90,84,78,73,69,65,60
7,106,100,94,88,82,77,72,69,64
8,110,104,98,92,86,81,76,72,68
9,114,107,102,96,89,84,80,76,72
10,118,111,105,99,93,87,83,79,75
11,121,115,109,103,96,91,86,83,79
12,125,118,112,106,99,94,90,86,83
13,128,121,115,109,102,97,93,89,87
14,130,124,118,112,105,100,96,93,91
15,130,127,121,115,108,103,99,96,95
16,130,130,124,118,111,106,102,100,100
17,130,130,127,121,114,109,105,103,105
18,130,130,130,123,117,112,108,106,111
19,130,130,130,126,119,114,111,110,118
20,130,130,130,128,122,117,114,113,130
21,130,130,130,130,125,120,117,117,130
22,130,130,130,130,127,123,120,121,130
23,130,130,130,130,130,125,123,124,130
24,130,130,130,130,130,128,126,128,130
25,130,130,130,130,130,130,129,130,130
26,130,130,130,130,130,130,130,130,130
27,130,130,130,130,130,130,130,130,130
28,130,130,130,130,130,130,130,130,130
29,130,130,130,130,130,130,130,130,130
30,130,130,130,130,130,130,130,130,130
31,130,130,130,130,130,130,130,130,130
32,130,130,130,130,130,130,130,130,130
