raw,5.0-5.3,5.4-5.7,5.8-5.11,6.0-6.5,6.6-6.11,7.0-7.5,7.6-7.11,8.0-8.5,8.6-9.3
1,68,49,40,40,40,40,40,40,40
2,72,57,40,40,40,40,40,40,40
3,76,64,41,40,40,40,40,40,40
4,80,69,52,40,40,40,40,40,40
5,84,73,59,40,40,40,40,40,40
6,87,78,65,40,40,40,40,40,40
7,90,81,70,48,40,40,40,40,40
8,93,85,75,56,40,40,40,40,40
9,95,88,79,63,40,40,40,40,40
10,98,91,82,68,40,40,40,40,40
11,100,93,85,73,47,40,40,40,40
12,102,96,89,77,56,40,40,40,40
13,105,98,91,81,62,40,40,40,40
14,107,101,94,84,68,40,40,40,40
15,109,103,97,87,73,46,40,40,40
16,111,105,99,90,77,55,40,40,40
17,112,107,101,93,81,62,40,40,40
18,114,109,104,96,84,67,40,40,40
19,116,111,106,98,87,72,45,40,40
20,118,113,108,100,90,76,55,40,40
21,119,115,110,103,93,80,61,40,40
22,121,116,112,105,95,84,67,40,40
23,122,118,113,107,98,87,72,44,40
24,124,120,115,109,100,90,76,54,40
25,125,121,117,111,103,93,80,61,40
26,127,123,119,113,105,95,83,67,40
27,128,124,120,114,107,98,87,72,40
28,130,126,122,116,109,100,90,76,40
29,130,127,123,118,111,102,92,80,50
30,130,129,125,120,113,105,95,83,58
31,130,130,126,121,114,107,98,86,64
32,130,130,128,123,116,109,100,89,69
33,130,130,129,124,118,111,102,92,74
34,130,130,130,126,119,112,104,95,78
35,130,130,130,127,121,114,106,97,82
36,130,130,130,129,123,116,108,100,85
37,130,130,130,130,124,118,110,102,88
38,130,130,130,130,126,119,112,104,91
