raw,5.0-5.3,5.4-5.7,5.8-5.11,6.0-6.5,6.6-6.11,7.0-7.5,7.6-7.11,8.0-8.5,8.6-9.3
1,84,79,74,66,55,40,40,40,45
2,86,81,76,69,58,43,40,40,45
3,87,83,78,71,60,47,40,40,45
4,89,85,80,73,63,50,40,40,45
5,91,86,81,75,65,54,40,40,45
6,92,88,83,77,68,57,40,40,45
7,94,90,85,79,70,60,45,40,45
8,96,92,87,81,72,63,50,40,45
9,97,93,89,83,75,66,54,40,45
10,99,95,91,85,77,68,58,40,45
11,101,97,93,87,80,71,62,47,45
12,102,99,95,89,82,74,65,54,45
13,104,101,97,92,84,77,69,59,45
14,106,103,99,94,87,80,72,64,45
15,108,105,102,96,89,82,75,69,58
16,110,107,104,99,92,85,79,73,70
17,112,110,107,102,95,88,83,78,82
18,115,112,109,105,98,92,86,83,96
19,117,115,112,108,101,95,90,88,107
20,120,118,116,111,105,99,95,94,114
21,123,122,120,116,109,103,100,101,119
22,126,128,127,122,115,109,106,109,122
23,130,130,130,130,124,115,113,117,125
24,130,130,130,130,130,126,121,123,128
25,130,130,130,130,130,130,128,127,130
