raw,K-Fall,K-Spring,1-Fall,1-Spring,2-Fall,2-Spring
1,72,65,56,72,44,40
2,74,67,59,74,47,40
3,77,70,61,77,49,41
4,80,73,64,80,52,44
5,83,76,67,83,55,47
6,86,79,70,86,58,50
7,89,82,73,89,61,53
8,92,85,76,92,64,56
9,94,88,79,94,67,59
10,97,90,82,97,70,62
11,100,93,84,100,72,64
12,103,96,87,103,75,67
13,106,99,90,106,78,70
14,109,102,93,109,81,73
15,112,105,96,112,84,76
16,114,108,99,114,87,79
17,117,110,102,117,90,82
18,120,113,104,120,92,84
19,123,116,107,123,95,87
20,126,119,110,126,98,90
21,129,122,113,129,101,93
22,130,125,116,130,104,96
23,130,128,119,130,107,99
24,130,130,122,130,110,102
25,130,130,125,130,112,104
26,130,130,127,130,115,107
27,130,130,130,130,118,110
28,130,130,130,130,121,113
29,130,130,130,130,124,116
30,130,130,130,130,127,119
31,130,130,130,130,130,122
32,130,130,130,130,130,125
