gender,educ,ethnic,region,demo_wt,n_input,n_census
female,no_HS,hispanic,midwest,1.3672418683496588,1,1.04
female,no_HS,hispanic,west,1.230815545003153,11,1.19
female,no_HS,asian,northeast,,,0.15
female,no_HS,asian,south,,,0.36
female,no_HS,asian,midwest,,,0.2
female,no_HS,asian,west,,,0.23
female,no_HS,black,northeast,1.4607942024438196,1,0.41
female,no_HS,black,south,,,1
female,no_HS,black,midwest,,,0.55
female,no_HS,black,west,,,0.63
female,no_HS,white,northeast,2.2608865894826655,1,1.53
female,no_HS,white,south,,,3.73
female,no_HS,white,midwest,,,2.05
female,no_HS,white,west,,,2.36
female,no_HS,other,northeast,,,0.19
female,no_HS,other,south,,,0.45
female,no_HS,other,midwest,,,0.25
female,no_HS,other,west,1.5054750693721222,1,0.29
female,HS_grad,hispanic,northeast,0.8986370749528358,5,1.76
female,HS_grad,hispanic,south,0.9184451186597246,1,4.29
female,HS_grad,hispanic,midwest,0.8077016542808969,1,2.36
female,HS_grad,hispanic,west,0.7271074524755926,4,2.71
female,HS_grad,asian,northeast,0.5955196015966191,1,0.33
female,HS_grad,asian,south,0.6086462337215557,2,0.81
female,HS_grad,asian,midwest,,,0.45
female,HS_grad,asian,west,0.48184829280377006,1,0.51
female,HS_grad,black,northeast,0.8629679365378177,3,0.93
female,HS_grad,black,south,0.8819897497714659,4,2.28
female,HS_grad,black,midwest,0.7756419686663273,7,1.25
female,HS_grad,black,west,,,1.44
female,HS_grad,white,northeast,1.335624574363627,1,3.47
female,HS_grad,white,south,1.3650648352680395,4,8.48
female,HS_grad,white,midwest,1.2004692531390824,2,4.65
female,HS_grad,white,west,1.0806838586982452,4,5.36
female,HS_grad,other,northeast,,,0.42
female,HS_grad,other,south,1.1233984120059137,2,1.03
female,HS_grad,other,midwest,,,0.57
female,HS_grad,other,west,0.8893632737258577,1,0.65
female,some_college,hispanic,northeast,0.8695110727074995,1,2.04
female,some_college,hispanic,south,0.8886771118259256,4,4.98
female,some_college,hispanic,midwest,0.7815229878850306,1,2.73
female,some_college,hispanic,west,0.703540949508289,10,3.15
female,some_college,asian,northeast,,,0.39
female,some_college,asian,south,0.5889192136996854,2,0.94
female,some_college,asian,midwest,0.5179090328632608,2,0.52
female,some_college,asian,west,0.4662309597899385,1,0.59
female,some_college,black,northeast,0.8349980176931354,2,1.08
female,some_college,black,south,,,2.65
female,some_college,black,midwest,0.7505023985877858,1,1.45
female,some_college,black,west,0.6756156610819674,1,1.67
female,some_college,white,northeast,,,4.03
female,some_college,white,south,1.3208212996236495,10,9.84
female,some_college,white,midwest,1.1615604754612625,3,5.4
female,some_college,white,west,1.0456574822307532,10,6.22
female,some_college,other,northeast,,,0.49
female,some_college,other,south,1.086987601031741,2,1.2
female,some_college,other,midwest,,,0.66
female,some_college,other,west,0.860537847500461,1,0.76
female,BA_plus,hispanic,northeast,0.7516097876807166,1,2.17
female,BA_plus,hispanic,south,0.7681770092430881,4,5.29
female,BA_plus,hispanic,midwest,0.6755524402499087,3,2.91
female,BA_plus,hispanic,west,,,3.34
female,BA_plus,asian,northeast,0.49808579435611616,3,0.41
female,BA_plus,asian,south,0.5090647595684119,4,1
female,BA_plus,asian,midwest,0.4476831985775394,2,0.55
female,BA_plus,asian,west,,,0.63
female,BA_plus,black,northeast,0.7217765276271261,2,1.15
female,BA_plus,black,south,,,2.81
female,BA_plus,black,midwest,,,1.54
female,BA_plus,black,west,,,1.78
female,BA_plus,white,northeast,1.1171011420948558,4,4.28
female,BA_plus,white,south,1.141724640128021,16,10.46
female,BA_plus,white,midwest,1.0040587748023304,9,5.74
female,BA_plus,white,west,0.9038716387578337,8,6.61
female,BA_plus,other,northeast,,,0.52
female,BA_plus,other,south,0.9395976033739032,1,1.27
female,BA_plus,other,midwest,0.8263036333743511,2,0.7
female,BA_plus,other,west,0.7438532862348263,1,0.8
