raw,K-Fall,K-Spring,1-Fall,1-Spring,2-Fall,2-Spring
-20,62,71,70,62,44,40
-19,62,73,71,64,46,40
-18,62,75,73,65,51,40
-17,62,77,74,67,54,40
-16,62,78,75,68,56,40
-15,72,80,76,69,57,40
-14,76,81,78,70,59,41
-13,79,82,79,71,60,44
-12,82,84,79,72,62,47
-11,84,85,80,73,63,49
-10,86,86,81,74,64,50
-9,88,87,82,75,65,52
-8,89,88,83,76,66,53
-7,91,89,84,77,67,54
-6,92,89,84,77,68,55
-5,94,90,85,78,68,56
-4,95,91,86,79,69,57
-3,96,92,87,80,70,58
-2,97,93,87,80,71,59
-1,99,93,88,81,72,60
0,100,94,89,82,72,61
1,101,95,89,82,73,62
2,102,95,90,83,74,62
3,103,96,90,83,74,63
4,104,97,91,84,75,64
5,104,97,92,85,76,65
6,105,98,92,85,76,65
7,106,99,93,86,77,66
8,107,99,93,86,77,67
9,108,100,94,87,78,67
10,109,100,94,87,79,68
11,109,101,95,88,79,68
12,110,102,95,88,80,69
13,111,102,96,89,80,70
14,112,103,96,89,81,70
15,112,103,97,90,81,71
16,113,104,97,90,82,71
17,114,104,98,91,82,72
18,114,105,98,91,83,73
19,115,105,99,92,83,73
20,116,106,99,92,84,74
21,116,106,100,93,84,74
22,117,107,100,93,85,75
23,118,107,100,94,85,75
24,118,108,101,94,86,76
25,119,108,101,95,86,76
26,119,109,102,95,87,77
27,120,109,102,95,87,77
28,121,109,103,96,88,78
29,121,110,103,96,88,78
30,122,110,103,97,89,79
31,122,111,104,97,89,79
32,123,111,104,98,90,80
33,123,112,105,98,90,80
34,124,112,105,98,90,80
35,124,112,105,99,91,81
36,125,113,106,99,91,81
37,125,113,106,100,92,82
38,126,114,107,100,92,82
39,126,114,107,100,92,83
40,127,114,107,101,93,83
41,127,115,108,101,93,84
42,128,115,108,101,94,84
43,128,116,108,102,94,84
44,129,116,109,102,95,85
45,129,116,109,103,95,85
46,130,117,109,103,95,86
47,130,117,110,103,96,86
48,130,117,110,104,96,87
49,130,118,110,104,96,87
50,130,118,111,104,97,87
51,130,119,111,105,97,88
52,130,119,111,105,98,88
53,130,119,112,105,98,89
54,130,120,112,106,98,89
55,130,120,112,106,99,89
56,130,120,113,106,99,90
57,130,121,113,107,100,90
58,130,121,113,107,100,91
59,130,121,114,107,100,91
60,130,122,114,108,101,91
61,130,122,114,108,101,92
62,130,122,115,108,101,92
63,130,123,115,109,102,93
64,130,123,115,109,102,93
65,130,123,116,109,102,93
66,130,124,116,110,103,94
67,130,124,116,110,103,94
68,130,124,117,110,104,95
69,130,125,117,111,104,95
70,130,125,117,111,104,95
71,130,125,117,111,105,96
72,130,125,118,112,105,96
73,130,126,118,112,105,97
74,130,126,118,112,106,97
75,130,126,119,113,106,97
76,130,127,119,113,106,98
77,130,127,119,113,107,98
78,130,127,120,113,107,98
79,130,128,120,114,107,99
80,130,128,120,114,108,99
81,130,128,120,114,108,100
82,130,128,121,115,108,100
83,130,129,121,115,109,100
84,130,129,121,115,109,101
85,130,129,121,116,109,101
86,130,130,122,116,110,102
87,130,130,122,116,110,102
88,130,130,122,116,110,102
89,130,130,123,117,111,103
90,130,130,123,117,111,103
91,130,130,123,117,111,103
92,130,130,123,118,112,104
93,130,130,124,118,112,104
94,130,130,124,118,112,105
95,130,130,124,118,113,105
96,130,130,124,119,113,105
97,130,130,125,119,113,106
98,130,130,125,119,114,106
99,130,130,125,120,114,107
100,130,130,125,120,114,107
101,130,130,126,120,115,107
102,130,130,126,120,115,108
103,130,130,126,121,115,108
104,130,130,127,121,116,109
105,130,130,127,121,116,109
106,130,130,127,122,116,109
107,130,130,127,122,117,110
108,130,130,128,122,117,110
109,130,130,128,122,117,111
110,130,130,128,123,118,111
111,130,130,128,123,118,111
112,130,130,129,123,118,112
113,130,130,129,123,119,112
114,130,130,129,124,119,113
115,130,130,129,124,119,113
116,130,130,130,124,120,113
117,130,130,130,125,120,114
118,130,130,130,125,120,114
119,130,130,130,125,121,115
120,130,130,130,125,121,115
121,130,130,130,126,121,116
122,130,130,130,126,122,116
123,130,130,130,126,122,117
124,130,130,130,126,122,117
125,130,130,130,127,123,117
126,130,130,130,127,123,118
127,130,130,130,127,123,118
128,130,130,130,127,124,119
129,130,130,130,128,124,119
130,130,130,130,128,124,120
131,130,130,130,128,124,120
132,130,130,130,128,125,121
133,130,130,130,129,125,121
134,130,130,130,129,125,122
135,130,130,130,129,126,122
136,130,130,130,129,126,123
137,130,130,130,130,126,124
138,130,130,130,130,127,124
139,130,130,130,130,127,125
140,130,130,130,130,127,125
141,130,130,130,130,128,126
142,130,130,130,130,128,127
143,130,130,130,130,128,127
144,130,130,130,130,129,128
145,130,130,130,130,129,129
146,130,130,130,130,129,129
147,130,130,130,130,130,130
148,130,130,130,130,130,130
149,130,130,130,130,130,130
150,130,130,130,130,130,130
151,130,130,130,130,130,130
152,130,130,130,130,130,130
153,130,130,130,130,130,130
154,130,130,130,130,130,130
155,130,130,130,130,130,130
156,130,130,130,130,130,130
157,130,130,130,130,130,130
158,130,130,130,130,130,130
159,130,130,130,130,130,130
160,130,130,130,130,130,130
161,130,130,130,130,130,130
162,130,130,130,130,130,130
163,130,130,130,130,130,130
164,130,130,130,130,130,130
165,130,130,130,130,130,130
166,130,130,130,130,130,130
167,130,130,130,130,130,130
168,130,130,130,130,130,130
169,130,130,130,130,130,130
170,130,130,130,130,130,130
171,130,130,130,130,130,130
172,130,130,130,130,130,130
173,130,130,130,130,130,130
174,130,130,130,130,130,130
175,130,130,130,130,130,130
176,130,130,130,130,130,130
177,130,130,130,130,130,130
178,130,130,130,130,130,130
179,130,130,130,130,130,130
180,130,130,130,130,130,130
181,130,130,130,130,130,130
182,130,130,130,130,130,130
183,130,130,130,130,130,130
184,130,130,130,130,130,130
185,130,130,130,130,130,130
186,130,130,130,130,130,130
187,130,130,130,130,130,130
188,130,130,130,130,130,130
189,130,130,130,130,130,130
190,130,130,130,130,130,130
191,130,130,130,130,130,130
192,130,130,130,130,130,130
193,130,130,130,130,130,130
194,130,130,130,130,130,130
195,130,130,130,130,130,130
196,130,130,130,130,130,130
197,130,130,130,130,130,130
198,130,130,130,130,130,130
199,130,130,130,130,130,130
200,130,130,130,130,130,130
201,130,130,130,130,130,130
202,130,130,130,130,130,130
203,130,130,130,130,130,130
204,130,130,130,130,130,130
205,130,130,130,130,130,130
206,130,130,130,130,130,130
207,130,130,130,130,130,130
208,130,130,130,130,130,130
209,130,130,130,130,130,130
210,130,130,130,130,130,130
211,130,130,130,130,130,130
212,130,130,130,130,130,130
213,130,130,130,130,130,130
214,130,130,130,130,130,130
215,130,130,130,130,130,130
216,130,130,130,130,130,130
217,130,130,130,130,130,130
218,130,130,130,130,130,130
219,130,130,130,130,130,130
220,130,130,130,130,130,130
221,130,130,130,130,130,130
222,130,130,130,130,130,130
223,130,130,130,130,130,130
224,130,130,130,130,130,130
225,130,130,130,130,130,130
226,130,130,130,130,130,130
227,130,130,130,130,130,130
228,130,130,130,130,130,130
229,130,130,130,130,130,130
230,130,130,130,130,130,130
231,130,130,130,130,130,130
232,130,130,130,130,130,130
233,130,130,130,130,130,130
234,130,130,130,130,130,130
235,130,130,130,130,130,130
236,130,130,130,130,130,130
237,130,130,130,130,130,130
238,130,130,130,130,130,130
239,130,130,130,130,130,130
240,130,130,130,130,130,130
241,130,130,130,130,130,130
242,130,130,130,130,130,130
243,130,130,130,130,130,130
244,130,130,130,130,130,130
245,130,130,130,130,130,130
246,130,130,130,130,130,130
247,130,130,130,130,130,130
248,130,130,130,130,130,130
249,130,130,130,130,130,130
250,130,130,130,130,130,130
251,130,130,130,130,130,130
252,130,130,130,130,130,130
253,130,130,130,130,130,130
254,130,130,130,130,130,130
255,130,130,130,130,130,130
256,130,130,130,130,130,130
257,130,130,130,130,130,130
258,130,130,130,130,130,130
259,130,130,130,130,130,130
260,130,130,130,130,130,130
261,130,130,130,130,130,130
262,130,130,130,130,130,130
263,130,130,130,130,130,130
