raw,5.0-5.3,5.4-5.7,5.8-5.11,6.0-6.5,6.6-6.11,7.0-7.5,7.6-7.11,8.0-8.5,8.6-9.3
0,112,104,98,91,84,78,72,67,62
1,112,105,99,92,85,78,73,68,62
2,113,106,99,92,85,79,74,69,63
3,113,106,100,93,86,80,74,69,64
4,114,107,101,94,86,80,75,70,64
5,115,107,101,94,87,81,75,71,65
6,115,108,102,95,88,81,76,71,66
7,116,109,102,95,88,82,77,72,66
8,116,109,103,96,89,83,77,72,67
9,117,110,103,97,89,83,78,73,67
10,117,110,104,97,90,84,78,74,68
11,118,111,105,98,90,84,79,74,69
12,119,111,105,98,91,85,79,75,69
13,119,112,106,99,91,85,80,75,70
14,120,112,106,99,92,86,80,76,70
15,120,113,107,100,93,86,81,76,71
16,121,113,107,100,93,87,81,77,71
17,121,114,108,101,94,87,82,77,72
18,122,115,108,101,94,88,82,78,72
19,122,115,109,102,95,88,83,78,73
20,123,115,109,102,95,89,83,79,73
21,123,116,110,103,95,89,84,79,74
22,124,116,110,103,96,90,84,80,74
23,124,117,111,104,96,90,85,80,74
24,125,117,111,104,97,91,85,80,75
25,125,118,112,105,97,91,86,81,75
26,126,118,112,105,98,92,86,81,76
27,126,119,112,105,98,92,87,82,76
28,126,119,113,106,99,92,87,82,77
29,127,120,113,106,99,93,87,83,77
30,127,120,114,107,100,93,88,83,77
31,128,121,114,107,100,94,88,83,78
32,128,121,115,108,100,94,89,84,78
33,129,122,115,108,101,95,89,84,79
34,129,122,116,109,101,95,89,85,79
35,130,122,116,109,102,95,90,85,79
36,130,123,116,109,102,96,90,85,80
37,130,123,117,110,103,96,91,86,80
38,130,124,117,110,103,97,91,86,81
39,130,124,118,111,103,97,92,87,81
40,130,125,118,111,104,97,92,87,81
41,130,125,119,111,104,98,92,87,82
42,130,125,119,112,105,98,93,88,82
43,130,126,119,112,105,99,93,88,83
44,130,126,120,113,105,99,93,89,83
45,130,127,120,113,106,99,94,89,83
46,130,127,121,114,106,100,94,89,84
47,130,127,121,114,107,100,95,90,84
48,130,128,121,114,107,101,95,90,84
49,130,128,122,115,107,101,95,90,85
50,130,129,122,115,108,101,96,91,85
51,130,129,123,115,108,102,96,91,85
52,130,129,123,116,108,102,96,92,86
53,130,130,123,116,109,102,97,92,86
54,130,130,124,117,109,103,97,92,87
55,130,130,124,117,110,103,98,93,87
56,130,130,125,117,110,104,98,93,87
57,130,130,125,118,110,104,98,93,88
58,130,130,125,118,111,104,99,94,88
59,130,130,126,119,111,105,99,94,88
60,130,130,126,119,111,105,99,94,89
61,130,130,126,119,112,105,100,95,89
62,130,130,127,120,112,106,100,95,89
63,130,130,127,120,113,106,100,95,90
64,130,130,128,120,113,106,101,96,90
65,130,130,128,121,113,107,101,96,90
66,130,130,128,121,114,107,101,97,91
67,130,130,129,121,114,107,102,97,91
68,130,130,129,122,114,108,102,97,91
69,130,130,129,122,115,108,103,98,92
70,130,130,130,123,115,109,103,98,92
71,130,130,130,123,115,109,103,98,92
72,130,130,130,123,116,109,104,99,93
73,130,130,130,124,116,110,104,99,93
74,130,130,130,124,116,110,104,99,93
75,130,130,130,124,117,110,105,100,94
76,130,130,130,125,117,111,105,100,94
77,130,130,130,125,117,111,105,100,94
78,130,130,130,125,118,111,106,101,95
79,130,130,130,126,118,112,106,101,95
80,130,130,130,126,119,112,106,101,95
81,130,130,130,126,119,112,107,102,96
82,130,130,130,127,119,113,107,102,96
83,130,130,130,127,120,113,107,102,97
84,130,130,130,127,120,113,108,103,97
85,130,130,130,128,120,114,108,103,97
86,130,130,130,128,121,114,108,103,98
87,130,130,130,128,121,114,109,104,98
88,130,130,130,129,121,115,109,104,98
89,130,130,130,129,122,115,109,104,99
90,130,130,130,130,122,115,110,105,99
91,130,130,130,130,122,116,110,105,99
92,130,130,130,130,123,116,110,105,100
93,130,130,130,130,123,116,111,106,100
94,130,130,130,130,123,117,111,106,100
95,130,130,130,130,124,117,111,106,101
96,130,130,130,130,124,117,112,107,101
97,130,130,130,130,124,118,112,107,101
98,130,130,130,130,125,118,112,107,102
99,130,130,130,130,125,118,113,108,102
100,130,130,130,130,125,119,113,108,102
101,130,130,130,130,126,119,113,108,103
102,130,130,130,130,126,119,114,109,103
103,130,130,130,130,126,120,114,109,103
104,130,130,130,130,127,120,114,109,104
105,130,130,130,130,127,120,115,110,104
106,130,130,130,130,127,121,115,110,104
107,130,130,130,130,128,121,115,110,105
108,130,130,130,130,128,121,116,111,105
109,130,130,130,130,128,122,116,111,105
110,130,130,130,130,129,122,116,112,106
