raw,5.0-5.3,5.4-5.7,5.8-5.11,6.0-6.5,6.6-6.11,7.0-7.5,7.6-7.11,8.0-8.5,8.6-9.3
1,66,62,64,61,56,51,48,46,47
2,66,70,68,64,59,54,51,49,49
3,73,73,71,67,62,57,53,51,50
4,76,76,73,69,64,59,55,52,52
5,79,78,75,71,65,60,56,54,53
6,81,80,77,73,67,62,58,55,54
7,84,82,79,75,69,63,59,57,56
8,86,84,81,76,70,65,61,58,57
9,88,86,83,78,72,66,62,59,58
10,90,88,85,80,73,68,63,60,59
11,91,89,86,81,75,69,65,62,61
12,93,91,88,83,76,70,66,63,62
13,95,93,90,84,78,72,67,64,63
14,96,94,91,86,79,73,68,65,64
15,98,96,93,87,81,74,69,66,66
16,100,98,95,89,82,76,71,67,67
17,101,99,96,91,83,77,72,69,69
18,103,101,98,92,85,78,73,70,70
19,105,103,100,94,86,80,74,71,72
20,106,105,101,96,88,81,76,72,74
21,108,106,103,97,90,82,77,74,76
22,109,108,105,99,91,84,78,75,104
23,111,110,107,101,93,85,80,77,104
24,113,112,109,103,95,87,81,78,104
25,115,114,111,105,97,89,83,80,104
26,116,116,114,108,99,90,84,82,104
27,118,118,116,110,101,92,86,84,104
28,120,120,119,113,103,94,88,86,104
29,122,123,122,117,106,97,90,88,104
30,124,125,125,121,110,99,92,92,104
31,126,128,130,128,114,102,95,97,104
32,128,130,130,130,122,106,99,116,104
33,130,130,130,130,130,112,104,121,104
