raw,agestrat
0,7.0-7.5
2,5.4-5.7
2,6.6-6.11
3,6.6-6.11
4,6.6-6.11
5,6.6-6.11
6,6.6-6.11
23,8.6-9.3
24,8.6-9.3
25,8.0-8.5
25,8.6-9.3
26,8.0-8.5
26,8.6-9.3
27,8.0-8.5
28,7.6-7.11
28,8.0-8.5
29,7.6-7.11
