raw,K-Fall,K-Spring,1-Fall,1-Spring,2-Fall,2-Spring
0,54,50,44,40,40,40
1,59,54,48,41,40,40
2,64,58,51,44,40,40
3,68,62,54,47,40,40
4,72,65,57,49,42,40
5,75,68,60,52,44,40
6,79,72,63,54,47,40
7,82,74,65,57,49,41
8,85,77,68,59,51,43
9,88,80,70,61,53,45
10,91,83,72,63,54,46
11,94,85,75,65,56,48
12,97,87,77,67,58,50
13,100,90,79,69,60,51
14,103,92,81,71,62,53
15,105,94,83,73,64,54
16,108,97,85,75,65,56
17,110,99,87,77,67,58
18,113,101,89,79,69,59
19,115,103,91,81,71,61
20,117,105,93,83,73,62
21,119,107,95,85,74,64
22,122,109,97,86,76,65
23,124,111,98,88,78,67
24,126,113,100,90,80,69
25,128,114,102,92,82,71
26,130,116,104,94,84,72
27,130,118,106,96,86,74
28,130,120,107,98,88,76
29,130,121,109,100,90,78
30,130,123,111,102,93,80
31,130,125,113,104,95,82
32,130,127,114,106,98,85
33,130,128,116,108,101,87
34,130,130,118,110,104,90
35,130,130,119,113,108,93
36,130,130,121,115,113,98
37,130,130,123,117,124,104
38,130,130,124,120,124,114
