raw,5.0-5.3,5.4-5.7,5.8-5.11,6.0-6.5,6.6-6.11,7.0-7.5,7.6-7.11,8.0-8.5,8.6-9.3
1,91,86,81,76,71,67,63,59,55
2,93,88,83,78,73,68,64,61,56
3,95,90,85,80,74,69,65,62,58
4,97,91,87,81,76,71,67,63,59
5,99,93,88,83,77,72,68,65,60
6,101,95,90,84,79,74,70,66,62
7,103,97,92,86,80,75,71,67,63
8,105,99,94,88,82,77,73,69,64
9,107,101,95,90,84,78,74,70,66
10,108,102,97,91,85,80,76,72,67
11,110,104,99,93,87,82,77,73,69
12,112,106,101,95,89,83,79,75,70
13,114,108,103,97,90,85,80,76,72
14,116,110,104,98,92,87,82,78,74
15,119,112,106,100,94,88,84,80,75
16,121,114,108,102,96,90,86,82,77
17,123,116,110,104,97,92,87,83,79
18,125,118,112,106,99,94,89,85,81
19,127,120,114,108,101,96,91,87,83
20,129,122,116,110,103,98,93,89,85
21,130,124,118,112,105,100,95,91,88
22,130,127,121,114,107,102,97,94,91
23,130,129,123,116,109,104,100,96,94
24,130,130,125,118,112,106,102,99,98
25,130,130,127,120,114,109,105,102,105
26,130,130,129,123,116,111,107,105,109
27,130,130,130,125,119,114,110,110,109
28,130,130,130,128,121,116,114,116,109
29,130,130,130,130,124,119,118,123,109
30,130,130,130,130,127,123,123,123,109
