raw,K-Fall,K-Spring,1-Fall,1-Spring,2-Fall,2-Spring
0,69,58,48,69,40,40
1,71,60,50,71,40,40
2,73,62,52,73,40,40
3,75,64,54,75,40,40
4,77,66,56,77,40,40
5,79,68,58,79,40,40
6,81,70,60,81,40,40
7,83,72,62,83,41,40
8,84,74,64,84,43,40
9,86,76,66,86,45,40
10,88,78,68,88,47,40
11,90,80,70,90,49,40
12,92,82,72,92,51,40
13,94,84,75,94,54,42
14,96,86,77,96,56,45
15,98,88,79,98,58,47
16,100,90,81,100,61,49
17,102,92,83,102,63,52
18,104,94,85,104,65,54
19,106,96,87,106,68,57
20,108,98,90,108,70,59
21,110,101,92,110,73,62
22,112,103,94,112,75,64
23,114,105,96,114,78,67
24,116,107,98,116,81,70
25,118,109,101,118,84,73
26,120,111,103,120,87,76
27,122,113,105,122,90,80
28,124,115,107,124,93,83
29,126,117,110,126,96,87
30,128,119,112,128,99,91
31,129,121,114,129,103,96
32,130,123,117,130,107,103
33,130,125,119,130,111,112
