raw,K-Fall,K-Spring,1-Fall,1-Spring,2-Fall,2-Spring
0,83,74,68,83,58,54
1,85,76,69,85,59,55
2,87,78,71,87,61,57
3,89,80,73,89,62,58
4,91,82,75,91,64,60
5,93,84,77,93,66,62
6,96,86,78,96,67,63
7,98,88,80,98,69,65
8,100,90,82,100,71,67
9,102,92,84,102,73,68
10,104,94,86,104,74,70
11,106,96,88,106,76,72
12,108,98,90,108,78,74
13,110,100,92,110,80,75
14,113,101,93,113,82,77
15,115,103,95,115,84,79
16,117,105,97,117,86,81
17,119,107,99,119,88,83
18,121,109,101,121,90,86
19,123,111,103,123,92,88
20,125,113,105,125,94,90
21,127,115,107,127,96,92
22,130,117,109,130,98,95
23,130,119,111,130,101,97
24,130,121,113,130,103,100
25,130,123,115,130,105,103
26,130,125,117,130,108,107
27,130,127,119,130,111,110
28,130,130,121,130,113,114
29,130,130,123,130,116,119
30,130,130,126,130,119,127
