raw,agestrat
1,7.6-7.11
1,8.0-8.5
1,8.6-9.3
2,5.8-5.11
2,7.6-7.11
2,8.0-8.5
2,8.6-9.3
3,5.8-5.11
3,7.6-7.11
3,8.0-8.5
3,8.6-9.3
4,5.8-5.11
4,7.6-7.11
4,8.0-8.5
4,8.6-9.3
5,5.4-5.7
5,7.6-7.11
5,8.0-8.5
5,8.6-9.3
6,5.4-5.7
6,7.6-7.11
6,8.0-8.5
6,8.6-9.3
7,5.4-5.7
7,7.6-7.11
7,8.0-8.5
7,8.6-9.3
8,5.4-5.7
8,7.6-7.11
8,8.0-8.5
8,8.6-9.3
9,5.4-5.7
9,8.0-8.5
9,8.6-9.3
10,5.4-5.7
10,8.0-8.5
10,8.6-9.3
11,8.0-8.5
11,8.6-9.3
12,8.0-8.5
12,8.6-9.3
13,8.0-8.5
13,8.6-9.3
14,8.6-9.3
15,8.6-9.3
16,8.6-9.3
17,8.6-9.3
18,8.6-9.3
19,8.6-9.3
20,8.6-9.3
21,8.6-9.3
22,8.6-9.3
23,8.6-9.3
24,8.6-9.3
25,8.6-9.3
26,8.6-9.3
27,8.6-9.3
28,8.6-9.3
29,8.6-9.3
30,8.0-8.5
30,8.6-9.3
31,8.0-8.5
31,8.6-9.3
32,8.0-8.5
32,8.6-9.3
