raw,5.0-5.3,5.4-5.7,5.8-5.11,6.0-6.5,6.6-6.11,7.0-7.5,7.6-7.11,8.0-8.5,8.6-9.3
1,61,60,58,57,55,53,52,51,49
2,63,61,59,58,56,54,53,51,50
3,64,62,61,59,57,55,53,52,50
4,65,63,62,60,58,56,54,53,51
5,66,64,63,61,58,57,55,53,51
6,68,66,64,62,59,57,56,54,52
7,69,67,65,63,60,58,56,55,53
8,70,68,66,63,61,59,57,55,53
9,71,69,67,64,62,60,58,56,54
10,72,70,68,65,63,60,58,56,54
11,74,71,69,66,63,61,59,57,55
12,75,72,70,67,64,62,60,58,55
13,76,73,71,68,65,63,60,58,56
14,77,74,72,69,66,63,61,59,57
15,78,75,73,70,67,64,62,60,57
16,79,76,74,71,67,65,62,60,58
17,80,77,74,71,68,65,63,61,58
18,81,78,75,72,69,66,64,61,59
19,82,79,76,73,70,67,64,62,59
20,83,80,77,74,71,68,65,63,60
21,84,81,78,75,71,68,66,63,60
22,85,82,79,76,72,69,66,64,61
23,87,83,80,76,73,70,67,64,62
24,88,84,81,77,74,70,67,65,62
25,89,85,82,78,74,71,68,66,63
26,90,86,83,79,75,72,69,66,63
27,91,87,83,80,76,72,69,67,64
28,92,88,84,80,76,73,70,67,64
29,93,89,85,81,77,74,71,68,65
30,94,90,86,82,78,74,71,69,65
31,95,90,87,83,79,75,72,69,66
32,96,91,88,84,79,76,73,70,66
33,96,92,89,84,80,76,73,70,67
34,97,93,89,85,81,77,74,71,67
35,98,94,90,86,82,78,74,71,68
36,99,95,91,87,82,78,75,72,69
37,100,96,92,88,83,79,76,73,69
38,101,97,93,88,84,80,76,73,70
39,102,98,94,89,84,80,77,74,70
40,103,99,94,90,85,81,77,74,71
41,104,99,95,91,86,82,78,75,71
42,105,100,96,91,87,82,79,75,72
43,106,101,97,92,87,83,79,76,72
44,107,102,98,93,88,84,80,77,73
45,108,103,99,94,89,84,80,77,73
46,109,104,99,94,89,85,81,78,74
47,110,105,100,95,90,86,82,78,74
48,111,106,101,96,91,86,82,79,75
49,112,106,102,97,91,87,83,79,75
50,113,107,103,97,92,88,84,80,76
51,113,108,103,98,93,88,84,81,77
52,114,109,104,99,94,89,85,81,77
53,115,110,105,100,94,90,85,82,78
54,116,111,106,101,95,90,86,82,78
55,117,112,107,101,96,91,87,83,79
56,118,112,107,102,96,91,87,84,79
57,119,113,108,103,97,92,88,84,80
58,120,114,109,104,98,93,88,85,80
59,121,115,110,104,98,93,89,85,81
60,122,116,111,105,99,94,90,86,81
61,123,117,112,106,100,95,90,86,82
62,124,118,112,107,101,95,91,87,83
63,124,118,113,107,101,96,92,88,83
64,125,119,114,108,102,97,92,88,84
65,126,120,115,109,103,97,93,89,84
66,127,121,116,110,103,98,94,89,85
67,128,122,116,110,104,99,94,90,85
68,129,123,117,111,105,100,95,91,86
69,130,124,118,112,106,100,95,91,87
70,130,125,119,113,106,101,96,92,87
71,130,125,120,114,107,102,97,93,88
72,130,126,121,114,108,102,97,93,88
73,130,127,121,115,109,103,98,94,89
74,130,128,122,116,109,104,99,94,90
75,130,129,123,117,110,104,99,95,90
76,130,130,124,117,111,105,100,96,91
77,130,130,125,118,112,106,101,96,91
78,130,130,126,119,112,106,101,97,92
79,130,130,127,120,113,107,102,98,93
80,130,130,127,121,114,108,103,98,93
81,130,130,128,122,115,109,104,99,94
82,130,130,129,122,115,109,104,100,95
83,130,130,130,123,116,110,105,101,95
84,130,130,130,124,117,111,106,101,96
85,130,130,130,125,118,112,106,102,97
86,130,130,130,126,119,112,107,103,98
87,130,130,130,127,119,113,108,103,98
88,130,130,130,127,120,114,109,104,99
89,130,130,130,128,121,115,110,105,100
90,130,130,130,129,122,116,110,106,101
91,130,130,130,130,123,116,111,107,101
92,130,130,130,130,124,117,112,107,102
93,130,130,130,130,125,118,113,108,103
94,130,130,130,130,125,119,114,109,104
95,130,130,130,130,126,120,115,110,105
96,130,130,130,130,127,121,115,111,106
97,130,130,130,130,128,122,116,112,107
98,130,130,130,130,129,123,117,113,108
99,130,130,130,130,130,124,118,114,109
100,130,130,130,130,130,125,119,115,110
101,130,130,130,130,130,126,120,116,112
102,130,130,130,130,130,127,121,117,114
103,130,130,130,130,130,128,123,119,116
104,130,130,130,130,130,129,124,120,121
105,130,130,130,130,130,130,125,122,121
106,130,130,130,130,130,130,127,124,121
107,130,130,130,130,130,130,128,126,121
108,130,130,130,130,130,130,130,130,121
109,130,130,130,130,130,130,130,130,121
110,130,130,130,130,130,130,130,130,121
111,130,130,130,130,130,130,130,130,121
112,130,130,130,130,130,130,130,130,121
113,130,130,130,130,130,130,130,130,121
114,130,130,130,130,130,130,130,130,121
115,130,130,130,130,130,130,130,130,121
116,130,130,130,130,130,130,130,130,121
117,130,130,130,130,130,130,130,130,121
118,130,130,130,130,130,130,130,130,121
119,130,130,130,130,130,130,130,130,121
120,130,130,130,130,130,130,130,130,121
