raw,agestrat
59,8.6-9.3
60,8.6-9.3
61,8.6-9.3
62,8.6-9.3
63,8.6-9.3
64,8.6-9.3
65,8.6-9.3
66,8.6-9.3
67,8.6-9.3
68,8.6-9.3
69,8.6-9.3
70,8.6-9.3
71,8.6-9.3
72,8.6-9.3
73,8.6-9.3
74,8.6-9.3
75,8.6-9.3
76,8.6-9.3
77,8.6-9.3
78,8.6-9.3
79,8.6-9.3
80,8.6-9.3
81,8.6-9.3
82,8.6-9.3
83,8.6-9.3
84,8.6-9.3
85,8.6-9.3
86,8.6-9.3
87,8.6-9.3
88,8.0-8.5
88,8.6-9.3
89,8.0-8.5
89,8.6-9.3
90,8.0-8.5
90,8.6-9.3
91,8.0-8.5
