ID,TODself_tot,TODparent_tot,TODteacher_tot
234020,75, ,71
234021,77, ,66
234037,52, , 
234038,79, ,75
234040,85, ,83
234041,75, ,70
234042,61, ,82
234043,72, ,65
234047,91, , 
234048,64, , 
234049,100, , 
234050,63,36,59
234051,87, ,69
235001,74,53,60
236001,73,56, 
236003,94,56, 
236005,88,57, 
236006,90,50, 
236008,79,60, 
236010,78,43, 
236013,73,37, 
236015, ,56, 
236019,65,42, 
236024,101,58, 
236025,69,29, 
236026,59, , 
236027,98,54, 
236029,75,52, 
236031,72,45, 
236041,81,52, 
236043,71,33, 
236044,87,49, 
236045,76,54, 
236047,90,62, 
236048, ,55, 
239001,83,56,46
239011,77, , 
239017,63,33, 
239019,73,62, 
239020,72, , 
239021,95, , 
239022,84,41, 
240004,59, , 
240008,93, , 
240009,70,46, 
240011,75, , 
240013, ,47, 
240014,68,45, 
240015,62,45, 
240016,82,55,44
240025,87, ,92
240026,92, ,60
240027,70, ,60
240028,53,55,61
240029,83, ,61
240030,71, ,60
240031,69, , 
240032,66, , 
240034,77, ,61
240035,78, ,61
241001,62,38, 
241003,83,77,81
241008,110,80, 
241009,78,80, 
241014,85, ,55
241016,92,72,63
241017,63,57,67
241020,54,37,46
243005,95,76, 
243007,86,57,80
243011,65, ,59
243012,105, ,77
243013,42, , 
243017,118,83,87
243023,52, , 
243027,91, , 
243028,46, , 
243030,90, ,82
243031,77,66,75
243032,102, , 
243033,112,81,82
244024,93,74,84
244028,89,73,75
244034,106,69,82
244035,100,77,78
244036,86,72,83
244037,90,70,76
244038,97,72,77
244040,103,77,84
244041,97,73,84
244043,97,73,82
246001,105,36, 
246002,49,26, 
246003,77,45,59
246004,95,57, 
246005,61,38, 
246006, ,46, 
246007,58,53, 
246008,70,46, 
246009,60,41, 
246010,83,73, 
246011,106,82, 
246012,91,65, 
246013,85,64, 
246015,81,62, 
246017,88,69, 
246018,76,60, 
246019,96,61, 
246020,58,62, 
246021,86,57, 
248004,93,84,103
248005,87,81,94
248006,98, , 
248012,58,65,85
248013,90,60, 
248014,71,47,80
248016,57, , 
248017,59,64, 
248023,86,48, 
248024,65,51, 
248025,77, , 
248030,81,61, 
248031,52, , 
248033,78,33, 
248035,81,69, 
248036,85,84,89
248037,87,49,58
248039,92,79,80
248040,91,66,76
248041,95,70,40
248042,87,68,93
248043,83,72,83
248045,90,65,86
248046,95,71,86
