ID,admin_date,DOB,TODself_tot,TODparent_tot,TODteacher_tot
201021,4/10/2019,8/5/2010,69,53, 
201024,5/15/2019,7/9/2007,84,60, 
201027,4/10/2019,3/9/2004,86,57, 
201031,4/28/2019,10/14/2003,66,52, 
202002,5/26/2019,4/22/2001,59, , 
202004,6/2/2019,12/14/2000,86,60, 
203006,6/22/2019,2/19/2009,84,76, 
203007,5/24/2019,10/4/2008,46,34,39
203008,6/6/2019,4/17/2008,97,69, 
203009,6/4/2019,8/18/2008,54,50, 
203010,6/25/2019,4/8/2008,49,34, 
203012,6/7/2019,3/8/2008,54,41, 
203013,6/3/2019,7/26/2008,88,45, 
203015,6/25/2019,10/19/2006,54,39, 
203016,5/31/2019,12/13/2005,49,37, 
203017,5/20/2019,12/19/2003,63,44, 
203028,8/4/2019,2/28/2008,100,54, 
205012,5/15/2019,12/30/2008,62,54,68
205016,6/1/2019,2/24/2006,64,41,41
205017,5/27/2019,7/30/2010,54,37, 
205020,5/25/2019,6/28/2006,82,72, 
205023,6/5/2019,5/13/2010,95,74,94
205027,7/9/2019,1/21/2008,107,78, 
205031,6/17/2019,3/22/2005,44,52,54
205032,7/8/2019,11/27/2001,105,79, 
205037,6/19/2019,6/24/2003,61,53,41
205038,7/10/2019,8/12/2002,82,39, 
206004,6/17/2019,6/11/2007,50,52,54
206007,6/30/2019,2/15/2005,107,71, 
206008,6/3/2019,12/3/2006,69,47,68
206009,6/25/2019,6/19/2007,87,41, 
206010,6/25/2019,4/26/2010,86,52, 
207010,6/6/2019,7/2/2010,75,59,67
207011,6/14/2019,3/24/2009,89,62,70
207012,6/19/2019,9/13/2007,72,54,63
207013,6/19/2019,11/1/2007,87,65,74
207014,6/20/2019,6/21/2006,70,54,63
207015,6/20/2019,3/5/2006,73,55,64
207016,7/9/2019,4/30/2006,81,62,73
207017,7/12/2019,3/22/2006,103,73,83
207018,7/12/2019,5/6/2006,75,54,61
207019,7/12/2019,8/30/2006,91,68,81
207020,7/12/2019,10/9/2006,78,54,63
207021,7/13/2019,5/16/2005,77,58,65
208015,6/7/2019,11/6/2003,82,62, 
208019,5/9/2019,11/3/2008,86,67,71
208022,6/18/2019,10/24/2008,91,70, 
208023,6/18/2019,1/9/2010,71,59, 
208024,6/18/2019,10/13/2008,67,57, 
209015,6/16/2019,2/18/2005, ,54, 
210009,6/14/2019,3/2/2011,81,47, 
210010,6/18/2019,10/12/2004,104,26, 
210011,6/15/2019,9/29/2003,55,30, 
210012,6/15/2019,11/12/2001,58,51, 
210019,7/5/2019,5/25/2009,94,57, 
210025,7/25/2019,7/7/2010,85,50, 
210030,7/28/2019,9/14/2001,61,40, 
210031,8/1/2019,4/1/2004,66,55, 
210032,8/1/2019,5/22/2006,80,45, 
210034,8/4/2019,10/3/2002,76,67, 
210035,8/4/2019,10/17/2006,71,41, 
210036,8/10/2019,9/25/2007,76,29, 
210037,8/10/2019,6/29/2012,112,74, 
210040,8/18/2019,6/1/2006,88,55, 
210041,8/18/2019,11/12/2003,78,51, 
210042,8/18/2019,11/10/2002,93,55, 
210043,8/26/2019,3/1/2012,87,56, 
210046,8/29/2019,7/10/2010,87,50, 
210047,8/29/2019,8/15/2004,86,52, 
210048,8/29/2019,8/20/2002,84,89, 
211002,4/22/2019,8/19/2008,72,31, 
211006,6/7/2019,4/11/2005,78,47,35
211007,6/7/2019,7/17/2011,80,45,41
211009,6/11/2019,4/2/2003,74,44,63
