raw,6.0-6.3,6.4-6.7,6.8-6.11,7.0-7.3,7.4-7.7,7.8-7.11,8.0-8.5,8.6-8.11,9.0-9.5,9.6-9.11,10.0-10.5,10.6-10.11,11.0-11.5,11.6-11.11,12.0-12.5,12.6-12.11,13.0-13.11,14.0-14.11,15.0-16.11,17.0-23.4
1,68,67,65,64,63,62,60,59,57,56,55,54,53,52,51,51,50,48,46,42
2,81,79,78,76,75,73,72,70,69,67,66,65,64,63,62,61,60,58,56,52
3,92,90,88,87,85,84,82,80,79,77,76,75,73,72,71,70,69,68,66,61
4,102,100,98,96,95,93,91,89,88,86,85,83,82,81,80,79,78,76,74,69
5,111,109,107,105,103,101,100,98,96,94,93,91,90,89,88,87,86,84,82,77
6,119,117,115,113,111,109,107,105,103,102,100,99,97,96,95,94,93,91,89,84
7,127,124,122,120,118,116,114,112,110,108,107,105,104,103,102,101,99,98,96,91
8,130,130,129,127,125,123,121,119,117,115,113,112,110,109,108,107,105,104,102,97
9,130,130,130,130,130,129,127,125,123,121,119,117,116,115,114,113,111,109,107,102
10,130,130,130,130,130,130,130,130,128,126,124,123,121,120,119,118,116,115,112,107
11,130,130,130,130,130,130,130,130,130,130,129,128,126,125,124,123,121,119,117,112
12,130,130,130,130,130,130,130,130,130,130,130,130,130,130,128,127,126,124,122,116
13,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,128,126,120
14,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,129,123
15,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,126
16,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,129
17,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
18,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
19,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
20,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
