raw,10.0-10.5,10.6-10.11,11.0-11.5,11.6-11.11,12.0-12.5,12.6-12.11,13.0-13.11,14.0-14.11,15.0-16.11,17.0-18.11
1,56,55,54,53,52,52,51,50,48,46
2,60,58,57,56,56,55,54,53,51,49
3,63,62,61,60,59,58,57,56,54,52
4,66,65,64,63,62,61,60,58,57,54
5,69,68,66,65,64,63,62,61,59,57
6,72,70,69,68,67,66,65,63,62,59
7,75,73,72,70,69,68,67,66,64,61
8,77,76,74,73,72,71,69,68,66,63
9,80,78,77,75,74,73,72,70,68,65
10,82,81,79,77,76,75,74,72,70,67
11,85,83,81,80,78,77,76,74,72,69
12,87,85,83,82,81,79,78,76,74,71
13,89,87,86,84,83,81,80,78,76,72
14,92,90,88,86,85,83,82,80,77,74
15,94,92,90,88,87,85,84,82,79,76
16,96,94,92,90,88,87,85,83,81,77
17,99,96,94,92,90,89,87,85,83,79
18,101,98,96,94,92,91,89,87,84,81
19,103,100,98,96,94,93,91,89,86,82
20,105,102,100,98,96,94,93,90,88,84
21,107,104,102,100,98,96,94,92,89,85
22,110,106,104,102,100,98,96,94,91,87
23,112,109,106,103,102,100,98,95,92,88
24,114,111,108,105,103,102,99,97,94,90
25,117,113,110,107,105,103,101,99,96,91
26,119,115,112,109,107,105,103,100,97,93
27,121,117,114,111,109,107,105,102,99,94
28,124,120,116,113,111,109,106,104,100,95
29,127,122,118,115,113,111,108,105,102,97
30,130,124,120,117,115,112,110,107,103,98
31,130,127,123,119,117,114,112,109,105,100
32,130,130,125,121,119,116,113,110,107,101
33,130,130,127,124,121,118,115,112,108,103
34,130,130,130,126,123,120,117,114,110,104
35,130,130,130,128,125,122,119,116,112,106
36,130,130,130,130,127,124,121,118,113,107
37,130,130,130,130,130,127,123,119,115,109
38,130,130,130,130,130,129,125,121,117,110
39,130,130,130,130,130,130,127,123,119,112
40,130,130,130,130,130,130,130,125,120,113
41,130,130,130,130,130,130,130,128,122,115
42,130,130,130,130,130,130,130,130,124,116
43,130,130,130,130,130,130,130,130,127,118
44,130,130,130,130,130,130,130,130,129,120
45,130,130,130,130,130,130,130,130,130,122
46,130,130,130,130,130,130,130,130,130,123
47,130,130,130,130,130,130,130,130,130,125
48,130,130,130,130,130,130,130,130,130,128
49,130,130,130,130,130,130,130,130,130,130
50,130,130,130,130,130,130,130,130,130,130
51,130,130,130,130,130,130,130,130,130,130
