raw,6.0-6.3,6.4-6.7,6.8-6.11,7.0-7.3,7.4-7.7,7.8-7.11,8.0-8.5,8.6-8.11,9.0-9.5,9.6-9.11,10.0-10.5,10.6-10.11,11.0-11.5,11.6-11.11,12.0-12.5,12.6-12.11,13.0-13.11,14.0-14.11,15.0-16.11,17.0-18.11
1,84,82,80,78,77,75,73,71,68,66,64,63,61,59,58,56,54,52,49,45
2,86,84,82,80,79,77,75,72,70,68,66,64,62,61,59,58,56,53,50,46
3,88,86,84,82,80,79,76,74,72,70,68,66,64,62,61,59,57,55,51,48
4,91,88,86,84,82,81,78,76,74,71,69,67,66,64,62,61,59,56,53,49
5,93,90,88,86,84,83,80,78,75,73,71,69,67,66,64,62,60,58,54,51
6,95,93,91,88,87,85,82,80,77,75,73,71,69,67,66,64,62,59,56,52
7,97,95,93,91,89,87,84,82,79,77,75,73,71,69,68,66,64,61,57,54
8,99,97,95,93,91,89,87,84,82,79,77,75,73,71,69,68,65,63,59,55
9,102,100,97,95,93,91,89,86,84,81,79,77,75,73,71,70,67,65,61,57
10,104,102,100,98,96,94,91,89,86,84,81,79,77,75,73,72,69,67,63,59
11,107,105,102,100,98,96,94,91,88,86,84,81,79,77,76,74,72,69,65,61
12,110,107,105,103,101,99,96,94,91,88,86,84,82,80,78,76,74,71,67,63
13,112,110,108,106,104,102,99,96,94,91,89,87,84,82,81,79,76,73,70,66
14,115,113,111,109,106,104,102,99,97,94,92,89,87,85,83,81,79,76,72,69
15,118,116,114,112,110,108,105,102,100,97,95,92,90,88,86,85,82,79,76,72
16,122,119,117,115,113,111,109,106,103,101,98,96,94,92,90,88,85,83,79,77
17,125,123,121,119,117,115,113,110,107,105,102,100,98,96,94,92,90,87,84,83
18,129,127,125,123,121,119,117,114,112,109,107,105,103,101,99,97,95,92,90,93
19,130,130,129,128,126,124,122,120,118,115,113,111,109,107,106,104,102,101,101,104
20,130,130,130,130,130,130,129,128,126,125,124,124,124,126,128,128,123,119,114,110
