raw,agestrat
1,13.0-13.11
1,14.0-14.11
1,15.0-16.11
1,17.0-23.4
2,13.0-13.11
2,14.0-14.11
2,15.0-16.11
2,17.0-23.4
3,13.0-13.11
3,14.0-14.11
3,15.0-16.11
3,17.0-23.4
4,13.0-13.11
4,14.0-14.11
4,15.0-16.11
4,17.0-23.4
5,13.0-13.11
5,14.0-14.11
5,15.0-16.11
5,17.0-23.4
6,13.0-13.11
6,14.0-14.11
6,15.0-16.11
6,17.0-23.4
7,13.0-13.11
7,14.0-14.11
7,15.0-16.11
7,17.0-23.4
8,13.0-13.11
8,14.0-14.11
8,15.0-16.11
8,17.0-23.4
9,13.0-13.11
9,14.0-14.11
9,15.0-16.11
9,17.0-23.4
10,13.0-13.11
10,14.0-14.11
10,15.0-16.11
10,17.0-23.4
11,14.0-14.11
11,15.0-16.11
11,17.0-23.4
12,15.0-16.11
12,17.0-23.4
13,17.0-23.4
14,17.0-23.4
15,17.0-23.4
