raw,6.0-6.3,6.4-6.7,6.8-6.11,7.0-7.3,7.4-7.7,7.8-7.11,8.0-8.5,8.6-8.11,9.0-9.5,9.6-9.11,10.0-10.5,10.6-10.11,11.0-11.5,11.6-11.11,12.0-12.5,12.6-12.11,13.0-13.11,14.0-14.11,15.0-16.11,17.0-18.11
0,74,72,70,68,67,65,63,61,59,58,56,55,53,52,51,51,50,50,51,54
1,75,74,72,70,69,67,65,63,61,59,57,56,55,54,53,52,52,51,52,55
2,77,75,74,72,70,69,67,65,63,61,59,58,56,55,54,54,53,53,53,56
3,79,77,75,74,72,70,69,66,64,62,61,59,58,57,56,55,54,54,55,57
4,81,79,77,75,74,72,70,68,66,64,62,61,59,58,57,56,56,55,56,59
5,82,81,79,77,76,74,72,70,68,66,64,62,61,60,59,58,57,56,57,60
6,84,83,81,79,78,76,74,72,70,68,66,64,63,61,60,59,58,58,58,61
7,86,85,83,81,79,78,76,74,71,69,67,66,64,63,62,61,60,59,60,62
8,88,86,85,83,81,80,78,75,73,71,69,68,66,65,64,63,61,61,61,63
9,90,89,87,85,83,82,80,77,75,73,71,69,68,66,65,64,63,62,62,64
10,92,91,89,87,85,84,82,79,77,75,73,71,70,68,67,66,65,64,64,66
11,94,93,91,89,88,86,84,82,79,77,75,73,72,70,69,68,66,65,65,67
12,97,95,93,91,90,88,86,84,81,79,77,75,74,72,71,70,68,67,67,69
13,99,97,95,94,92,90,88,86,84,82,79,78,76,74,73,72,70,69,68,70
14,101,100,98,96,94,93,91,88,86,84,82,80,78,76,75,74,72,71,70,72
15,104,102,100,99,97,95,93,91,89,86,84,82,80,79,77,76,74,73,72,73
16,106,105,103,101,99,98,96,93,91,89,87,85,83,81,79,78,76,75,74,75
17,109,107,106,104,102,101,99,96,94,92,89,87,85,84,82,81,79,77,76,77
18,112,110,108,107,105,103,101,99,97,94,92,90,88,86,85,83,81,79,78,79
19,115,113,111,110,108,106,104,102,100,98,95,93,91,89,88,86,84,82,81,81
20,118,116,115,113,111,110,108,105,103,101,99,97,95,93,91,89,87,85,83,84
21,122,120,118,116,115,113,111,109,107,105,102,100,98,96,95,93,91,88,86,87
22,126,124,122,120,119,117,115,113,111,109,107,105,103,101,99,97,95,92,90,90
23,130,128,126,124,123,121,119,117,115,113,111,109,108,106,104,102,100,97,95,94
24,130,130,130,129,128,126,124,122,121,119,117,115,114,112,110,109,106,104,101,100
25,130,130,130,130,130,130,130,129,127,125,124,123,121,120,119,118,117,116,114,111
