raw,agestrat
1,12.0-12.5
1,12.6-12.11
1,13.0-13.11
1,14.0-14.11
1,15.0-16.11
1,17.0-23.4
2,11.6-11.11
2,12.0-12.5
2,12.6-12.11
2,13.0-13.11
2,14.0-14.11
2,15.0-16.11
2,17.0-23.4
3,11.6-11.11
3,12.0-12.5
3,12.6-12.11
3,13.0-13.11
3,14.0-14.11
3,15.0-16.11
3,17.0-23.4
4,11.6-11.11
4,12.0-12.5
4,12.6-12.11
4,13.0-13.11
4,14.0-14.11
4,15.0-16.11
4,17.0-23.4
5,11.6-11.11
5,12.0-12.5
5,12.6-12.11
5,13.0-13.11
5,14.0-14.11
5,15.0-16.11
5,17.0-23.4
6,11.6-11.11
6,12.0-12.5
6,12.6-12.11
6,13.0-13.11
6,14.0-14.11
6,15.0-16.11
6,17.0-23.4
7,11.6-11.11
7,12.0-12.5
7,12.6-12.11
7,13.0-13.11
7,14.0-14.11
7,15.0-16.11
7,17.0-23.4
8,11.6-11.11
8,12.0-12.5
8,12.6-12.11
8,13.0-13.11
8,14.0-14.11
8,15.0-16.11
8,17.0-23.4
9,11.6-11.11
9,12.0-12.5
9,12.6-12.11
9,13.0-13.11
9,14.0-14.11
9,15.0-16.11
9,17.0-23.4
10,11.6-11.11
10,12.0-12.5
10,12.6-12.11
10,13.0-13.11
10,14.0-14.11
10,15.0-16.11
10,17.0-23.4
11,11.6-11.11
11,12.0-12.5
11,12.6-12.11
11,13.0-13.11
11,14.0-14.11
11,15.0-16.11
11,17.0-23.4
12,11.6-11.11
12,12.0-12.5
12,12.6-12.11
12,13.0-13.11
12,14.0-14.11
12,15.0-16.11
12,17.0-23.4
13,11.6-11.11
13,12.0-12.5
13,12.6-12.11
13,13.0-13.11
13,14.0-14.11
13,15.0-16.11
13,17.0-23.4
14,11.6-11.11
14,12.0-12.5
14,12.6-12.11
14,13.0-13.11
14,14.0-14.11
14,15.0-16.11
15,11.6-11.11
15,12.0-12.5
15,12.6-12.11
15,13.0-13.11
15,14.0-14.11
15,15.0-16.11
16,11.6-11.11
16,12.0-12.5
16,12.6-12.11
16,13.0-13.11
16,14.0-14.11
16,15.0-16.11
17,11.6-11.11
17,12.0-12.5
17,12.6-12.11
17,13.0-13.11
17,14.0-14.11
17,15.0-16.11
18,11.6-11.11
18,12.0-12.5
18,12.6-12.11
18,13.0-13.11
18,14.0-14.11
18,15.0-16.11
19,11.6-11.11
19,12.0-12.5
19,12.6-12.11
19,13.0-13.11
19,14.0-14.11
19,15.0-16.11
20,11.6-11.11
20,12.0-12.5
20,12.6-12.11
20,13.0-13.11
20,14.0-14.11
20,15.0-16.11
21,11.6-11.11
21,12.0-12.5
21,12.6-12.11
21,13.0-13.11
21,14.0-14.11
21,15.0-16.11
22,11.6-11.11
22,12.0-12.5
22,12.6-12.11
22,13.0-13.11
22,14.0-14.11
22,15.0-16.11
23,12.0-12.5
23,12.6-12.11
23,13.0-13.11
23,14.0-14.11
23,15.0-16.11
24,11.6-11.11
24,12.0-12.5
24,12.6-12.11
24,13.0-13.11
24,14.0-14.11
24,15.0-16.11
25,12.0-12.5
25,12.6-12.11
25,13.0-13.11
25,14.0-14.11
25,15.0-16.11
26,12.0-12.5
26,12.6-12.11
26,13.0-13.11
26,14.0-14.11
26,15.0-16.11
27,12.0-12.5
27,12.6-12.11
27,13.0-13.11
27,14.0-14.11
27,15.0-16.11
28,12.0-12.5
28,12.6-12.11
28,13.0-13.11
28,14.0-14.11
28,15.0-16.11
29,12.0-12.5
29,12.6-12.11
29,13.0-13.11
29,14.0-14.11
29,15.0-16.11
30,12.0-12.5
30,12.6-12.11
30,13.0-13.11
30,14.0-14.11
31,12.6-12.11
31,13.0-13.11
31,14.0-14.11
32,12.6-12.11
32,13.0-13.11
32,14.0-14.11
33,12.6-12.11
33,13.0-13.11
33,14.0-14.11
34,13.0-13.11
35,13.0-13.11
