raw,1-Fall,1-Spring,2-Fall,2-Spring,3-Fall,3-Spring,4-Fall,4-Spring,5-Fall,5-Spring,6-Fall,6-Spring,7-Fall,7-Spring,8-Fall,8-Spring,9-Fall,9-Spring,10-Fall,10-Spring,11-Fall,11-Spring,12-Fall,12-Spring
0,73,69,66,63,60,57,55,53,51,49,48,47,46,46,45,45,45,45,45,45,46,46,47,47
1,74,70,67,64,61,58,56,53,52,50,49,48,47,46,46,46,45,46,46,46,46,47,47,48
2,75,71,68,65,62,59,57,54,53,51,50,49,48,47,47,46,46,46,46,47,47,47,48,49
3,76,73,69,66,63,60,58,55,53,52,50,49,48,48,47,47,47,47,47,47,48,48,49,49
4,77,74,70,67,64,61,59,56,54,53,51,50,49,49,48,48,48,48,48,48,48,49,49,50
5,78,75,71,68,65,62,60,57,55,54,52,51,50,49,49,48,48,48,48,49,49,49,50,50
6,79,76,72,69,66,63,61,58,56,55,53,52,51,50,50,49,49,49,49,49,50,50,50,51
7,80,77,73,70,67,64,62,59,57,56,54,53,52,51,50,50,50,50,50,50,50,51,51,52
8,81,78,75,71,68,65,63,60,58,57,55,54,53,52,51,51,51,50,50,51,51,51,52,52
9,82,79,76,72,69,66,64,61,59,57,56,55,54,53,52,52,51,51,51,51,52,52,52,53
10,84,80,77,74,70,68,65,62,60,58,57,56,54,54,53,52,52,52,52,52,52,53,53,54
11,85,81,78,75,72,69,66,64,61,59,58,56,55,54,54,53,53,53,53,53,53,53,54,54
12,86,82,79,76,73,70,67,65,62,60,59,57,56,55,55,54,54,53,53,54,54,54,55,55
13,87,84,80,77,74,71,68,66,63,62,60,58,57,56,55,55,54,54,54,54,55,55,55,56
14,88,85,81,78,75,72,69,67,65,63,61,59,58,57,56,56,55,55,55,55,55,56,56,57
15,89,86,83,79,76,73,71,68,66,64,62,60,59,58,57,57,56,56,56,56,56,56,57,57
16,90,87,84,80,77,74,72,69,67,65,63,61,60,59,58,58,57,57,57,57,57,57,58,58
17,91,88,85,82,79,76,73,70,68,66,64,62,61,60,59,58,58,58,58,58,58,58,58,59
18,93,89,86,83,80,77,74,71,69,67,65,64,62,61,60,59,59,59,58,58,59,59,59,60
19,94,91,87,84,81,78,75,73,70,68,66,65,63,62,61,60,60,60,59,59,59,60,60,61
20,95,92,89,85,82,79,77,74,72,69,67,66,64,63,62,61,61,60,60,60,60,61,61,62
21,96,93,90,87,84,81,78,75,73,71,69,67,65,64,63,62,62,61,61,61,61,62,62,62
22,98,94,91,88,85,82,79,76,74,72,70,68,67,65,64,63,63,62,62,62,62,62,63,63
23,99,96,92,89,86,83,80,78,75,73,71,69,68,66,65,64,64,63,63,63,63,63,64,64
24,100,97,94,91,88,85,82,79,77,74,72,70,69,68,66,66,65,64,64,64,64,64,65,65
25,101,98,95,92,89,86,83,81,78,76,74,72,70,69,68,67,66,66,65,65,65,65,66,66
26,103,100,96,93,90,87,85,82,79,77,75,73,71,70,69,68,67,67,66,66,66,66,67,67
27,104,101,98,95,92,89,86,83,81,78,76,74,73,71,70,69,68,68,67,67,67,68,68,68
28,105,102,99,96,93,90,88,85,82,80,78,76,74,73,71,70,70,69,69,68,68,69,69,69
29,107,104,101,98,95,92,89,86,84,81,79,77,75,74,73,72,71,70,70,70,70,70,70,71
30,108,105,102,99,96,93,91,88,85,83,81,79,77,75,74,73,72,72,71,71,71,71,71,72
31,110,107,104,101,98,95,92,90,87,85,82,80,78,77,76,74,74,73,73,72,72,72,73,73
32,111,108,105,102,100,97,94,91,89,86,84,82,80,78,77,76,75,74,74,74,74,74,74,74
33,113,110,107,104,101,98,96,93,90,88,86,84,82,80,79,78,77,76,75,75,75,75,75,76
34,115,112,109,106,103,100,97,95,92,90,87,85,83,82,80,79,78,77,77,77,76,77,77,77
35,116,113,110,108,105,102,99,97,94,92,89,87,85,84,82,81,80,79,79,78,78,78,78,79
36,118,115,112,109,107,104,101,99,96,94,91,89,87,86,84,83,82,81,80,80,80,80,80,80
37,120,117,114,111,109,106,103,101,98,96,93,91,89,88,86,85,84,83,82,82,82,82,82,82
38,122,119,116,113,111,108,106,103,100,98,96,94,92,90,88,87,86,85,84,84,84,84,84,84
39,124,121,118,116,113,110,108,105,103,100,98,96,94,92,91,89,88,87,86,86,86,86,86,86
40,126,124,121,118,115,113,110,108,105,103,101,99,97,95,93,92,91,90,89,88,88,88,88,89
41,129,126,123,121,118,116,113,111,108,106,104,102,100,98,96,95,93,93,92,91,91,91,91,91
42,130,129,126,123,121,119,116,114,112,109,107,105,103,101,100,98,97,96,95,95,94,94,94,95
43,130,130,129,127,124,122,120,118,115,113,111,109,107,106,104,102,101,100,99,99,99,98,98,99
44,130,130,130,130,128,126,124,122,120,118,116,115,113,111,110,109,107,106,106,105,105,104,104,104
45,130,130,130,130,130,130,130,129,127,126,126,126,127,125,123,121,120,119,119,119,120,123,115,113
