raw,agestrat
0,11.6-11.11
0,12.0-12.5
0,12.6-12.11
1,11.6-11.11
1,12.0-12.5
1,12.6-12.11
2,11.6-11.11
2,12.0-12.5
2,12.6-12.11
3,11.6-11.11
3,12.0-12.5
3,12.6-12.11
4,11.6-11.11
4,12.0-12.5
4,12.6-12.11
5,11.6-11.11
5,12.0-12.5
5,12.6-12.11
6,11.6-11.11
6,12.0-12.5
6,12.6-12.11
7,11.6-11.11
7,12.0-12.5
7,12.6-12.11
8,11.6-11.11
8,12.0-12.5
8,12.6-12.11
9,11.6-11.11
9,12.0-12.5
9,12.6-12.11
10,11.6-11.11
10,12.0-12.5
10,12.6-12.11
11,11.6-11.11
11,12.0-12.5
11,12.6-12.11
12,11.6-11.11
12,12.0-12.5
12,12.6-12.11
13,11.6-11.11
13,12.0-12.5
13,12.6-12.11
14,11.6-11.11
14,12.0-12.5
14,12.6-12.11
15,11.6-11.11
15,12.0-12.5
15,12.6-12.11
16,11.6-11.11
16,12.0-12.5
16,12.6-12.11
17,11.6-11.11
17,12.0-12.5
17,12.6-12.11
18,11.6-11.11
18,12.0-12.5
18,12.6-12.11
19,11.6-11.11
19,12.0-12.5
19,12.6-12.11
20,11.6-11.11
20,12.0-12.5
20,12.6-12.11
21,11.6-11.11
21,12.0-12.5
21,12.6-12.11
22,11.6-11.11
22,12.0-12.5
22,12.6-12.11
23,11.6-11.11
23,12.0-12.5
23,12.6-12.11
24,11.6-11.11
24,12.0-12.5
24,12.6-12.11
25,11.6-11.11
25,12.0-12.5
25,12.6-12.11
26,11.6-11.11
26,12.0-12.5
26,12.6-12.11
27,11.6-11.11
27,12.0-12.5
27,12.6-12.11
28,11.6-11.11
28,12.0-12.5
28,12.6-12.11
29,11.6-11.11
29,12.0-12.5
29,12.6-12.11
30,11.6-11.11
30,12.0-12.5
30,12.6-12.11
31,11.6-11.11
31,12.0-12.5
32,11.6-11.11
32,12.0-12.5
