raw,agestrat
0,10-Fall
0,11-Spring
0,12-Spring
1,11-Fall
1,12-Spring
2,10-Spring
2,12-Fall
3,9-Spring
3,11-Spring
3,12-Spring
4,11-Fall
4,12-Fall
5,10-Fall
5,11-Spring
6,11-Fall
6,12-Spring
7,10-Spring
7,12-Fall
8,11-Spring
9,11-Fall
9,12-Spring
10,12-Fall
11,11-Fall
11,12-Spring
12,10-Fall
12,12-Fall
13,11-Spring
14,10-Spring
14,12-Spring
15,12-Fall
16,11-Fall
17,12-Spring
18,11-Spring
19,10-Spring
19,12-Spring
20,12-Fall
21,11-Fall
22,12-Spring
23,11-Spring
24,12-Spring
25,12-Fall
26,11-Fall
27,12-Spring
28,11-Spring
30,12-Fall
32,12-Spring
33,11-Spring
35,12-Fall
37,12-Spring
40,12-Fall
42,12-Spring
45,12-Fall
52,12-Spring
57,12-Spring
