raw,agestrat
0,15.0-16.11
0,17.0-18.11
1,17.0-18.11
2,15.0-16.11
2,17.0-18.11
3,17.0-18.11
4,15.0-16.11
4,17.0-18.11
5,17.0-18.11
6,17.0-18.11
7,15.0-16.11
7,17.0-18.11
8,17.0-18.11
9,17.0-18.11
10,17.0-18.11
11,17.0-18.11
12,17.0-18.11
13,17.0-18.11
14,17.0-18.11
15,17.0-18.11
16,17.0-18.11
17,17.0-18.11
18,17.0-18.11
19,17.0-18.11
20,17.0-18.11
21,17.0-18.11
22,17.0-18.11
23,17.0-18.11
24,17.0-18.11
25,17.0-18.11
26,17.0-18.11
27,17.0-18.11
28,17.0-18.11
29,17.0-18.11
30,17.0-18.11
32,17.0-18.11
33,17.0-18.11
34,17.0-18.11
35,17.0-18.11
36,17.0-18.11
37,17.0-18.11
38,17.0-18.11
39,17.0-18.11
40,17.0-18.11
41,17.0-18.11
42,17.0-18.11
43,17.0-18.11
45,12.0-12.5
45,12.6-12.11
45,13.0-13.11
