raw,agestrat
1,10.0-10.5
1,10.6-10.11
1,11.0-11.5
1,11.6-11.11
1,12.0-12.5
1,12.6-12.11
1,13.0-13.11
1,15.0-16.11
2,9.6-9.11
2,10.0-10.5
2,10.6-10.11
2,11.0-11.5
2,11.6-11.11
2,12.0-12.5
2,13.0-13.11
3,9.0-9.5
3,9.6-9.11
3,10.6-10.11
3,11.0-11.5
3,12.0-12.5
3,13.0-13.11
4,10.0-10.5
4,11.6-11.11
4,13.0-13.11
5,10.6-10.11
5,12.6-12.11
6,12.0-12.5
38,17.0-23.4
39,17.0-23.4
40,17.0-23.4
41,17.0-23.4
42,17.0-23.4
43,17.0-23.4
46,11.0-11.5
46,11.6-11.11
46,12.0-12.5
46,12.6-12.11
47,10.6-10.11
47,11.0-11.5
