raw,6.0-6.3,6.4-6.7,6.8-6.11,7.0-7.3,7.4-7.7,7.8-7.11,8.0-8.5,8.6-8.11,9.0-9.5,9.6-9.11,10.0-10.5,10.6-10.11,11.0-11.5,11.6-11.11,12.0-12.5,12.6-12.11,13.0-13.11,14.0-14.11,15.0-16.11,17.0-23.4
1,85,83,81,79,77,75,73,70,68,66,64,62,60,59,57,56,55,53,50,48
2,87,85,83,81,79,77,75,72,70,67,65,64,62,60,59,58,56,54,52,49
3,89,87,85,83,81,79,76,74,71,69,67,65,64,62,60,59,57,55,53,50
4,91,89,87,85,83,81,78,76,73,71,69,67,65,64,62,61,59,57,54,51
5,94,91,89,87,85,83,80,78,75,73,71,69,67,65,64,62,60,58,56,52
6,96,93,91,89,87,85,82,80,77,75,73,71,69,67,65,64,62,60,57,54
7,98,95,93,91,89,87,85,82,79,77,75,72,71,69,67,66,64,61,59,55
8,100,98,96,93,91,89,87,84,81,79,77,74,73,71,69,67,65,63,60,57
9,102,100,98,96,94,92,89,86,84,81,79,77,75,73,71,69,67,65,62,59
10,105,102,100,98,96,94,91,89,86,83,81,79,77,75,73,71,69,67,64,60
11,107,105,103,100,98,96,94,91,88,86,83,81,79,77,75,74,71,69,66,63
12,109,107,105,103,101,99,97,94,91,88,86,84,81,79,78,76,73,71,68,65
13,112,110,108,106,104,102,99,97,94,91,89,86,84,82,80,78,76,73,70,68
14,114,112,110,108,106,105,102,100,97,94,92,89,87,85,83,81,79,76,73,72
15,117,115,113,111,109,108,105,103,100,97,95,93,90,88,86,84,82,79,75,77
16,119,118,116,114,113,111,109,106,104,101,99,96,94,92,90,88,85,82,79,90
17,122,121,119,117,116,114,112,110,108,105,103,101,98,96,94,92,89,86,83,101
18,125,124,122,121,119,118,116,114,112,110,108,106,104,101,99,97,95,92,89,105
19,128,127,126,124,123,122,121,119,118,116,114,113,111,109,107,106,103,101,100,108
20,130,130,129,128,128,127,126,125,125,124,124,124,124,124,123,121,119,116,113,111
