raw,agestrat
0,11-Fall
0,12-Fall
1,9-Spring
1,11-Spring
1,12-Spring
2,10-Spring
2,12-Fall
2,12-Spring
3,11-Fall
3,12-Fall
4,11-Spring
4,12-Spring
5,10-Spring
5,12-Fall
6,11-Fall
6,12-Spring
7,11-Spring
7,12-Spring
8,10-Spring
8,12-Fall
9,11-Fall
9,12-Spring
10,11-Spring
10,12-Spring
11,12-Fall
12,10-Spring
12,12-Fall
13,11-Fall
13,12-Spring
14,11-Spring
14,12-Spring
15,12-Fall
16,12-Fall
17,12-Spring
18,11-Fall
18,12-Spring
19,11-Spring
19,12-Spring
20,11-Spring
20,12-Spring
21,11-Spring
22,12-Fall
23,12-Fall
24,12-Fall
25,12-Fall
26,12-Fall
27,11-Spring
28,11-Spring
29,12-Spring
30,12-Spring
31,12-Fall
33,12-Spring
34,11-Spring
35,12-Spring
40,12-Spring
42,12-Spring
43,12-Spring
45,7-Fall
45,11-Fall
45,11-Spring
