ID,age,group,raw
201030,18.723287671232878,20.19292086870705,40
201033,61.57808219178082,69.40470533877458,43
201035,68.23013698630137,69.40470533877458,36
201039,89.47397260273972,69.40470533877458,34
201040,66.65205479452055,69.40470533877458,42
201041,30.843835616438355,29.281782597569446,41
201042,28.835616438356166,29.281782597569446,41
201049,18.756164383561643,20.19292086870705,44
203019,20.133879781420767,20.19292086870705,38
203020,20.854794520547944,20.19292086870705,43
203021,20.368852459016395,20.19292086870705,45
203022,22.202185792349727,29.281782597569446,45
203023,40.608219178082194,49.1244753848841,44
203024,45.487671232876714,49.1244753848841,41
203025,67.92602739726027,69.40470533877458,45
203026,70.05737704918033,69.40470533877458,44
203027,70.71780821917808,69.40470533877458,34
204002,35.75342465753425,29.281782597569446,44
204003,19.512328767123286,20.19292086870705,44
204008,37.66027397260274,29.281782597569446,45
204009,66.82739726027397,69.40470533877458,45
204016,39.122950819672134,49.1244753848841,42
205011,44.19945355191257,49.1244753848841,45
205015,54.56164383561644,49.1244753848841,44
205024,31.673972602739727,29.281782597569446,41
205025,46.74520547945205,49.1244753848841,45
205026,21.838356164383562,29.281782597569446,44
205034,44.150273224043715,49.1244753848841,41
206006,33.8027397260274,29.281782597569446,45
206012,25.482191780821918,29.281782597569446,45
206013,29.378082191780823,29.281782597569446,45
206014,29.887671232876713,29.281782597569446,41
206015,30.389041095890413,29.281782597569446,44
206016,62.87397260273973,69.40470533877458,38
206017,35.608219178082194,29.281782597569446,44
206018,37.02459016393443,29.281782597569446,45
206019,43.8027397260274,49.1244753848841,43
206021,59.12841530054645,69.40470533877458,40
208003,20.665753424657535,20.19292086870705,45
208005,20.904109589041095,20.19292086870705,40
208006,20.624657534246577,20.19292086870705,45
208007,21.194520547945206,20.19292086870705,37
208008,21.693150684931506,29.281782597569446,32
208009,21.660273972602738,20.19292086870705,45
208025,20.334246575342465,20.19292086870705,43
208028,25.049180327868854,29.281782597569446,42
209003,22.092896174863387,29.281782597569446,44
209004,23.386301369863013,29.281782597569446,45
209005,23.19945355191257,29.281782597569446,45
209009,70.82465753424657,69.40470533877458,41
209010,71.02185792349727,69.40470533877458,36
209013,64.34794520547945,69.40470533877458,45
209014,69.93424657534247,69.40470533877458,41
209016,56.221311475409834,49.1244753848841,40
209017,67.37808219178082,69.40470533877458,45
209018,28.54794520547945,29.281782597569446,45
209020,74.23224043715847,69.40470533877458,41
209021,70.87945205479453,69.40470533877458,44
210002,26.273972602739725,29.281782597569446,44
210003,26.334246575342465,29.281782597569446,45
210004,27.846575342465755,29.281782597569446,42
210005,61.30684931506849,69.40470533877458,39
210006,59.3041095890411,69.40470533877458,38
210013,44.19398907103825,49.1244753848841,43
210014,21.367123287671234,20.19292086870705,42
210015,24.062841530054644,29.281782597569446,44
210022,28.704109589041096,29.281782597569446,45
210028,21.060109289617486,20.19292086870705,45
210033,39.73424657534247,49.1244753848841,37
210045,43.81917808219178,49.1244753848841,40
211005,32.43287671232877,29.281782597569446,45
211012,35.85753424657534,29.281782597569446,45
211013,62.605479452054794,69.40470533877458,45
211015,47.278688524590166,49.1244753848841,45
211019,50.54794520547945,49.1244753848841,45
211022,47.22950819672131,49.1244753848841,45
211023,71.86301369863014,69.40470533877458,44
211025,60.75068493150685,69.40470533877458,45
211026,49.095628415300546,49.1244753848841,43
211031,41.515068493150686,49.1244753848841,45
211037,42.12021857923497,49.1244753848841,41
211045,47.08469945355191,49.1244753848841,44
211046,20.863013698630137,20.19292086870705,44
211048,38.26229508196721,29.281782597569446,41
211053,37.843835616438355,29.281782597569446,44
211054,45.484931506849314,49.1244753848841,42
211058,31.753424657534246,29.281782597569446,44
211059,20.166666666666668,20.19292086870705,44
211061,18.745205479452054,20.19292086870705,45
211070,40.9972602739726,49.1244753848841,45
212030,27.794520547945204,29.281782597569446,39
212034,29.887671232876713,29.281782597569446,40
212036,42.512328767123286,49.1244753848841,45
212037,45.8986301369863,49.1244753848841,26
212039,48.15573770491803,49.1244753848841,45
212040,47.62191780821918,49.1244753848841,32
212043,56.97260273972603,49.1244753848841,26
212045,62.10382513661202,69.40470533877458,23
212047,65.47397260273972,69.40470533877458,37
212048,66.23561643835616,69.40470533877458,34
212049,70.33150684931506,69.40470533877458,11
212050,73.47671232876712,69.40470533877458,28
213007,37.99178082191781,29.281782597569446,45
214010,41.69041095890411,49.1244753848841,45
214011,39.19672131147541,49.1244753848841,43
214019,21.153005464480874,20.19292086870705,41
214020,37.21857923497268,29.281782597569446,44
