raw,RFW_combo_ss,RFQ_combo_ss
80,62,61
81,62,61
82,62,61
83,62,61
84,62,61
85,62,61
86,62,61
87,62,61
88,62,61
89,62,61
90,62,61
91,62,61
92,62,61
93,62,61
94,62,61
95,62,61
96,62,61
97,62,61
98,62,61
99,62,61
100,62,61
101,62,61
102,62,61
103,62,61
104,62,61
105,62,62
106,62,62
107,62,62
108,62,63
109,62,63
110,62,64
111,62,64
112,62,64
113,62,64
114,62,65
115,62,65
116,62,65
117,62,66
118,62,66
119,62,66
120,62,66
121,62,66
122,62,67
123,62,67
124,62,68
125,62,68
126,69,68
127,69,69
128,69,69
129,72,69
130,72,70
131,72,70
132,74,70
133,74,71
134,74,71
135,74,71
136,74,72
137,74,72
138,74,72
139,76,73
140,76,73
141,76,74
142,76,74
143,76,74
144,76,74
145,79,75
146,79,75
147,79,76
148,79,76
149,79,77
150,79,77
151,79,77
152,79,78
153,81,78
154,82,79
155,82,79
156,82,79
157,83,80
158,84,80
159,85,81
160,85,81
161,87,82
162,89,82
163,90,82
164,91,83
165,91,83
166,91,84
167,92,84
168,93,85
169,93,85
170,93,85
171,93,86
172,93,86
173,93,87
174,93,87
175,94,88
176,95,88
177,95,89
178,96,89
179,97,90
180,97,90
181,98,91
182,98,91
183,98,92
184,98,92
185,99,93
186,99,93
187,100,94
188,100,94
189,100,95
190,100,95
191,101,96
192,101,96
193,101,97
194,101,97
195,101,98
196,101,98
197,101,99
198,101,99
199,101,100
200,101,100
201,102,101
202,102,102
203,103,102
204,103,103
205,103,103
206,103,104
207,104,104
208,104,105
209,105,105
210,106,106
211,107,107
212,107,107
213,107,108
214,107,108
215,107,109
216,108,110
217,108,110
218,109,111
219,109,111
220,109,112
221,110,113
222,110,113
223,111,114
224,112,114
225,113,115
226,114,116
227,115,116
228,115,117
229,115,118
230,116,118
231,117,119
232,119,119
233,119,120
234,119,121
235,120,121
236,121,122
237,121,123
238,123,123
239,124,124
240,124,125
241,124,125
242,124,126
243,124,127
244,124,127
245,124,128
246,126,129
247,126,129
248,128,130
249,128,130
250,130,130
251,130,130
252,130,130
253,130,130
254,130,130
255,130,130
256,130,130
257,130,130
258,130,130
259,130,130
260,130,130
