ID,RFW_combo,RFW_combo_ss,RFQ_combo,RFQ_combo_ss
201017,,,227,116
201019,,,198,99
201020,,,210,106
201021,,,212,107
201022,,,237,123
201023,,,236,122
201024,,,204,103
201025,,,191,96
201026,,,225,115
201027,,,221,113
201028,,,228,117
201031,,,190,95
201032,,,239,124
202001,,,224,114
202002,,,213,108
202003,,,191,96
202004,,,215,109
203006,,,178,89
203007,,,226,116
203008,,,163,82
203009,,,210,106
203010,,,229,118
203011,,,182,91
203012,,,212,107
203013,,,212,107
203015,,,194,97
203016,,,204,103
203017,,,200,100
203018,,,221,113
203028,,,176,88
204004,,,234,121
204005,,,232,119
204007,,,226,116
204010,,,220,112
204011,,,215,109
204012,,,198,99
204013,,,212,107
204014,,,259,130
204017,,,201,101
205002,,,205,103
205007,,,200,100
205010,,,232,119
205012,,,228,117
205016,,,230,118
205017,,,257,130
205018,,,130,70
205019,,,190,95
205020,,,194,97
205021,,,232,119
205023,,,148,76
205027,,,146,75
205030,,,226,116
205031,,,228,117
205032,,,212,107
205035,,,241,125
205037,,,188,94
205038,,,207,104
205039,,,194,97
205040,,,207,104
206004,,,252,130
206007,,,205,103
206008,,,203,102
206009,,,204,103
206010,,,210,106
207009,,,182,91
207010,,,207,104
207011,,,218,111
207012,,,214,108
207013,,,177,89
207014,,,216,110
207015,,,221,113
207016,,,201,101
207017,,,172,86
207018,,,212,107
207019,,,212,107
207020,,,221,113
207021,,,210,106
208013,,,209,105
208015,,,192,96
208016,,,203,102
208017,,,236,122
208019,,,221,113
208021,,,215,109
208022,,,158,80
208023,,,146,75
208024,,,146,75
209007,,,227,116
209008,,,201,101
209015,,,173,87
210007,,,200,100
210008,,,226,116
210009,,,217,110
210010,,,210,106
210011,,,232,119
210012,,,219,111
210019,,,190,95
210025,,,252,130
210030,,,202,102
210031,,,209,105
210032,,,209,105
210034,,,205,103
210035,,,241,125
210036,,,218,111
210037,,,193,97
210040,,,242,126
210041,,,229,118
210042,,,204,103
210043,,,213,108
210046,,,194,97
210047,,,184,92
210048,,,177,89
211002,,,246,129
211004,,,236,122
211006,,,246,129
211007,,,231,119
211009,,,195,98
211010,,,173,87
211014,,,188,94
211016,,,240,125
211017,,,204,103
211018,,,187,94
211020,,,215,109
211021,,,201,101
211024,,,217,110
211027,,,199,100
211028,,,242,126
211029,,,178,89
211030,,,224,114
211032,,,237,123
211033,,,224,114
211034,,,183,92
211035,,,147,76
211036,,,175,88
211038,,,190,95
211039,,,198,99
211041,,,202,102
211042,,,225,115
211044,,,190,95
211049,,,189,95
211050,,,184,92
211051,,,177,89
211052,,,173,87
211062,,,191,96
211063,,,206,104
211064,,,213,108
211065,,,199,100
211066,,,182,91
211067,,,176,88
211068,,,178,89
211069,,,234,121
211071,,,203,102
211074,,,181,91
211075,,,183,92
212003,,,223,114
212004,,,165,83
212005,,,192,96
212006,,,202,102
212007,,,174,87
212008,,,186,93
212009,,,181,91
212010,,,167,84
212011,,,189,95
212012,,,179,90
212013,,,199,100
212014,,,205,103
212015,,,220,112
212016,,,199,100
212017,,,225,115
212018,,,186,93
212019,,,187,94
212020,,,196,98
212021,,,170,85
212022,,,126,68
212023,,,162,82
212024,,,207,104
212025,,,197,99
212026,,,218,111
212027,,,209,105
212028,,,180,90
212029,,,185,93
213002,,,169,85
213005,,,211,107
213008,,,210,106
213017,,,227,116
213018,,,222,113
214009,,,189,95
214012,,,193,97
214013,,,232,119
214014,,,196,98
214015,,,249,130
214017,,,213,108
214018,,,185,93
214021,,,254,130
214024,,,240,125
214028,,,213,108
214029,,,213,108
214031,,,222,113
214032,,,242,126
214034,,,224,114
214035,,,176,88
214040,,,212,107
214041,,,193,97
214044,,,209,105
214051,,,213,108
214052,,,213,108
214053,,,206,104
214056,,,186,93
214058,,,212,107
214060,,,234,121
214067,,,216,110
214068,,,212,107
214069,,,214,108
214072,,,224,114
214074,,,174,87
214075,,,169,85
216004,,,226,116
216005,,,223,114
216007,,,242,126
217015,,,221,113
217016,,,207,104
217017,,,223,114
217019,,,185,93
217020,,,171,86
217021,,,186,93
217022,,,232,119
218003,,,208,105
218004,,,199,100
218005,,,258,130
218006,,,227,116
218007,,,228,117
218008,,,223,114
218009,,,235,121
218010,,,217,110
218011,,,235,121
218012,,,215,109
218013,,,205,103
218014,,,188,94
219006,,,204,103
219007,,,178,89
219008,,,219,111
220016,,,194,97
220017,,,191,96
220018,,,190,95
220019,,,169,85
220020,,,160,81
220021,,,179,90
221001,,,181,91
221002,,,175,88
221003,,,197,99
221004,,,205,103
221005,,,168,85
221006,,,207,104
221007,,,174,87
221008,,,151,77
221009,,,211,107
221011,,,180,90
221012,,,201,101
221013,,,178,89
221014,,,179,90
221015,,,178,89
221016,,,160,81
221017,,,167,84
221018,,,165,83
221019,,,196,98
222023,,,253,130
222026,,,218,111
222028,,,224,114
223002,,,170,85
223005,,,201,101
223006,,,192,96
223007,,,216,110
223008,,,145,75
223009,,,159,81
223010,,,201,101
223011,,,217,110
223012,,,167,84
223013,,,233,120
223014,,,230,118
223015,,,201,101
223016,,,178,89
223017,,,172,86
223018,,,161,82
223019,,,203,102
223020,,,145,75
223021,,,194,97
223022,,,138,72
223023,,,201,101
223024,,,187,94
223027,,,223,114
223028,,,228,117
223029,,,220,112
223030,,,208,105
223031,,,182,91
223032,,,183,92
223033,,,222,113
223034,,,175,88
223036,,,176,88
223037,,,201,101
223042,,,205,103
223047,,,194,97
223048,,,198,99
223049,,,171,86
223051,,,204,103
223052,,,165,83
223053,,,197,99
223054,,,178,89
223055,,,208,105
223056,,,203,102
223057,,,133,71
223058,,,171,86
223061,,,173,87
223062,,,199,100
223063,,,216,110
223064,,,217,110
223065,,,192,96
223066,,,181,91
223067,,,187,94
223068,,,168,85
223069,,,177,89
223070,,,171,86
223071,,,141,74
223072,,,142,74
223073,,,173,87
223074,,,205,103
223075,,,167,84
225005,,,234,121
225006,,,225,115
225009,,,192,96
225010,,,231,119
226012,,,220,112
226013,,,214,108
226014,,,196,98
226015,,,221,113
226016,,,211,107
226017,,,200,100
226018,,,217,110
226019,,,205,103
226020,,,176,88
226021,,,212,107
226022,,,204,103
226023,,,197,99
226024,,,159,81
226025,,,177,89
226026,,,180,90
226027,,,199,100
226028,,,174,87
226029,,,229,118
226030,,,240,125
226031,,,182,91
226032,,,256,130
226033,,,189,95
226034,,,183,92
226036,,,214,108
226037,,,238,123
226038,,,193,97
226039,,,180,90
226040,,,217,110
226041,,,252,130
226042,,,226,116
226043,,,244,127
226044,,,242,126
226045,,,200,100
226046,,,192,96
226047,,,217,110
226048,,,188,94
226049,,,215,109
226050,,,233,120
226051,,,239,124
227004,,,120,66
227005,,,226,116
227006,,,231,119
227007,,,217,110
227008,,,218,111
227009,,,210,106
227010,,,218,111
227011,,,208,105
227012,,,170,85
227013,,,191,96
227014,,,228,117
227015,,,179,90
227016,,,192,96
227017,,,212,107
227020,,,155,79
227021,,,239,124
227026,,,210,106
228004,,,203,102
228006,,,231,119
228007,,,186,93
228009,,,195,98
228010,,,187,94
231022,,,175,88
231023,,,201,101
231024,,,178,89
231025,,,207,104
231026,,,260,130
231027,,,237,123
231028,,,119,66
231029,,,207,104
231030,,,190,95
231031,,,201,101
231032,,,221,113
231033,,,231,119
231034,,,158,80
231035,,,206,104
231036,,,214,108
231037,,,196,98
231038,,,176,88
231039,,,226,116
231040,,,247,129
231041,,,220,112
231042,,,193,97
231043,,,164,83
231044,,,250,130
231045,,,186,93
231046,,,199,100
