group,var,cat,n
matchpool,age,5,8
,,6,24
,,7,33
,,8,40
,,9,18
,,10,23
,,11,31
,,12,34
,,13,30
,,14,26
,,15,29
,,16,24
,,17,18
,,18,19
,,19,7
,,20,15
,,21,12
,,22,1
,,24,4
,,25,1
,,27,1
,,28,1
,,30,1
,,31,2
,,35,1
,,36,1
,,37,3
,,40,1
,,41,2
,,43,2
,,44,1
,,45,1
,,46,1
,,47,2
,,48,1
,,49,3
,,50,2
,,51,2
,,52,2
,,53,1
,,54,2
,,55,1
,,56,2
,,58,1
,,59,2
,,61,1
,,62,1
,,63,3
,,65,2
,,66,1
,,67,1
,,68,3
,,70,1
,,71,1
,,73,1
,,74,2
,,76,1
,,77,1
,,82,1
,,85,1
,,86,1
,,89,1
,gender,1,209
,,2,250
,SES,1,23
,,2,94
,,3,107
,,4,235
,ethnicity,1,13
,,2,87
,,3,271
,,4,1
,,6,18
,,7,69
target,age,4,1
,,5,9
,,6,23
,,7,33
,,8,38
,,9,15
,,10,25
,,11,29
,,12,31
,,13,31
,,14,24
,,15,28
,,16,27
,,17,20
,,18,17
,,19,4
,,20,14
,,21,9
,,22,1
,,24,2
,,25,2
,,27,2
,,28,3
,,29,3
,,30,2
,,31,1
,,35,2
,,36,3
,,37,7
,,39,3
,,40,2
,,41,1
,,42,1
,,43,1
,,44,4
,,45,3
,,46,1
,,47,2
,,48,1
,,49,2
,,50,3
,,51,1
,,52,1
,,53,1
,,54,1
,,55,1
,,58,1
,,59,2
,,61,1
,,62,2
,,63,2
,,65,2
,,66,3
,,67,4
,,68,1
,,70,2
,,74,2
,,76,1
,,77,1
,gender,1,197
,,2,262
,SES,1,24
,,2,99
,,3,92
,,4,244
,ethnicity,1,2
,,2,101
,,3,264
,,4,2
,,6,19
,,7,71
