group,var,cat,n
matched_sample,age,6,3
,,7,12
,,8,17
,,9,19
,,10,14
,,11,7
,,12,6
,,13,10
,,14,3
,,15,8
,,16,5
,,17,5
,,18,2
,,19,2
,gender,1,59
,,2,54
,SES,1,1
,,2,18
,,3,37
,,4,57
,ethnicity,1,2
,,2,9
,,3,59
,,4,2
,,5,1
,,6,1
,,7,39
,clinical,0,51
,,1,62
orig_smallfile_sample,age,6,5
,,7,15
,,8,19
,,9,20
,,10,11
,,11,6
,,12,4
,,13,6
,,14,3
,,15,6
,,16,3
,,17,8
,,18,1
,,23,3
,,24,3
,gender,1,58
,,2,55
,SES,1,1
,,2,22
,,3,31
,,4,59
,ethnicity,2,3
,,3,60
,,4,3
,,5,6
,,6,1
,,7,40
,clinical,0,55
,,1,58
