T_score,parent_raw,self_raw,teacher_raw
80,100--104,125--140,106--120
79,97--99,-,-
78,-,-,-
77,95--96,123--124,105
76,-,122,-
75,92--94,120--121,104
74,90--91,118--119,-
73,89,115--117,103
72,88,113--114,102
71,87,112,98--101
70,85--86,110--111,-
69,84,108--109,95--97
68,83,106--107,94
67,81--82,104--105,93
66,79--80,102--103,92
65,78,101,89--91
64,76--77,100,87--88
63,75,99,86
62,74,97--98,84--85
61,73,96,83
60,71--72,94--95,-
59,70,93,81--82
58,68--69,92,78--80
57,66--67,90--91,77
56,65,89,75--76
55,63--64,88,73--74
54,61--62,86--87,70--72
53,59--60,85,69
52,58,83--84,67--68
51,57,81--82,65--66
50,55--56,80,64
49,54,78--79,63
48,52--53,76--77,61--62
47,51,74--75,58--60
46,49--50,72--73,56--57
45,47--48,71,54--55
44,45--46,69--70,50--53
43,43--44,67--68,48--49
42,41--42,65--66,46--47
41,38--40,63--64,43--45
40,26--37,25--62,30--42
