raw,parent_t,teacher_t,self_t
25,,,40
26,40,,40
27,40,,40
28,40,,40
29,40,,40
30,40,40,40
31,40,40,40
32,40,40,40
33,40,40,40
34,40,40,40
35,40,40,40
36,40,40,40
37,40,40,40
38,41,40,40
39,42,40,40
40,42,40,40
41,43,40,40
42,43,41,40
43,44,41,40
44,44,42,40
45,45,42,40
46,46,43,40
47,46,43,40
48,47,43,40
49,47,44,40
50,48,44,40
51,48,45,40
52,49,45,40
53,50,45,40
54,50,46,40
55,51,46,40
56,52,47,40
57,53,47,40
58,53,48,40
59,54,48,40
60,55,48,40
61,55,49,41
62,56,50,41
63,57,50,42
64,57,51,42
65,58,52,42
66,58,53,43
67,59,53,44
68,60,54,44
69,60,55,45
70,61,55,45
71,62,56,46
72,63,56,47
73,63,57,47
74,64,57,48
75,65,58,48
76,65,58,49
77,66,59,49
78,67,60,50
79,67,60,51
80,68,60,51
81,68,61,52
82,69,61,52
83,69,62,53
84,70,63,54
85,71,64,54
86,71,64,55
87,72,65,56
88,73,65,57
89,74,66,57
90,74,66,58
91,75,66,59
92,76,67,60
93,76,69,60
94,76,70,61
95,77,71,62
96,77,71,62
97,79,71,63
98,79,72,64
99,79,72,64
100,80,72,65
101,80,73,66
102,80,73,66
103,80,74,67
104,80,74,68
105,,77,68
106,,80,69
107,,80,70
108,,80,70
109,,80,70
110,,80,70
111,,80,71
112,,80,72
113,,80,72
114,,80,72
115,,80,73
116,,80,73
117,,80,74
118,,80,74
119,,80,74
120,,80,76
121,,,76
122,,,77
123,,,78
124,,,78
125,,,79
126,,,79
127,,,79
128,,,79
129,,,79
130,,,80
131,,,80
132,,,80
133,,,80
134,,,80
135,,,80
136,,,80
137,,,80
138,,,80
139,,,80
140,,,80
