raw,6.0-8.11,9.0-18.11
25,40,40
26,40,40
27,40,40
28,40,40
29,40,40
30,40,40
31,40,40
32,40,40
33,40,40
34,40,40
35,40,40
36,40,40
37,40,40
38,40,40
39,40,40
40,40,40
41,40,40
42,40,40
43,40,40
44,40,40
45,40,40
46,40,40
47,40,40
48,40,40
49,40,40
50,40,40
51,40,40
52,40,40
53,40,40
54,40,40
55,40,40
56,40,40
57,40,40
58,40,40
59,40,40
60,40,40
61,40,40
62,40,40
63,40,40
64,40,41
65,40,41
66,40,42
67,41,43
68,42,43
69,42,44
70,43,44
71,43,45
72,44,46
73,45,46
74,45,47
75,46,47
76,46,48
77,47,49
78,48,49
79,48,50
80,49,50
81,49,51
82,50,52
83,51,52
84,51,53
85,52,54
86,53,54
87,53,55
88,54,56
89,54,56
90,55,57
91,56,57
92,56,58
93,57,59
94,58,59
95,58,60
96,59,61
97,60,61
98,60,62
99,61,63
100,62,64
101,62,64
102,63,65
103,64,66
104,64,66
105,65,67
106,66,68
107,67,69
108,67,69
109,68,70
110,69,71
111,70,72
112,70,73
113,71,73
114,72,74
115,73,75
116,74,76
117,74,77
118,75,78
119,76,78
120,77,79
121,78,80
122,79,80
123,80,80
124,80,80
125,80,80
126,80,80
127,80,80
128,80,80
129,80,80
130,80,80
131,80,80
132,80,80
133,80,80
134,80,80
135,80,80
136,80,80
137,80,80
138,80,80
139,80,80
140,80,80
