raw,agestrat
64,9.0-18.11
65,9.0-18.11
66,9.0-18.11
67,9.0-18.11
68,9.0-18.11
69,9.0-18.11
70,9.0-18.11
71,9.0-18.11
72,9.0-18.11
73,9.0-18.11
74,9.0-18.11
75,9.0-18.11
76,9.0-18.11
77,9.0-18.11
78,9.0-18.11
79,9.0-18.11
80,9.0-18.11
81,9.0-18.11
82,9.0-18.11
83,9.0-18.11
84,9.0-18.11
85,9.0-18.11
86,9.0-18.11
87,9.0-18.11
88,9.0-18.11
89,9.0-18.11
90,9.0-18.11
91,9.0-18.11
92,9.0-18.11
93,9.0-18.11
94,9.0-18.11
95,9.0-18.11
96,9.0-18.11
97,9.0-18.11
98,9.0-18.11
99,9.0-18.11
100,9.0-18.11
101,9.0-18.11
102,9.0-18.11
103,9.0-18.11
104,9.0-18.11
105,9.0-18.11
106,9.0-18.11
107,9.0-18.11
108,9.0-18.11
109,9.0-18.11
110,9.0-18.11
111,9.0-18.11
112,9.0-18.11
113,9.0-18.11
114,9.0-18.11
115,9.0-18.11
116,9.0-18.11
117,9.0-18.11
118,9.0-18.11
119,9.0-18.11
120,9.0-18.11
121,9.0-18.11
122,9.0-18.11
