raw,6.0-8.11,9.0-18.11
26,40,40
27,40,40
28,40,40
29,40,40
30,40,40
31,40,40
32,40,40
33,40,40
34,40,40
35,40,40
36,40,40
37,40,40
38,40,40
39,40,40
40,40,41
41,40,42
42,40,42
43,40,43
44,41,44
45,42,44
46,42,45
47,43,46
48,44,46
49,44,47
50,45,48
51,46,48
52,46,49
53,47,50
54,47,50
55,48,51
56,49,51
57,49,52
58,50,53
59,51,53
60,51,54
61,52,54
62,52,55
63,53,56
64,54,56
65,54,57
66,55,57
67,55,58
68,56,59
69,57,59
70,57,60
71,58,61
72,58,61
73,59,62
74,60,62
75,60,63
76,61,64
77,62,64
78,62,65
79,63,66
80,64,67
81,64,67
82,65,68
83,66,69
84,66,70
85,67,71
86,68,72
87,69,73
88,70,74
89,71,75
90,72,77
91,73,80
92,74,80
93,75,80
94,77,80
95,80,80
96,80,80
97,80,80
98,80,80
99,80,80
100,80,80
101,80,80
102,80,80
103,80,80
104,80,80
