ID,TODparent_tot,TODteacher_tot,TODself_tot,TODparent_tot_nt,TODteacher_tot_nt,TODself_tot_nt
201016,57,,77,53,,49
201017,63,,84,57,,54
201021,53,,69,50,,45
201022,52,,81,49,,52
201023,,,80,,,51
201024,60,,84,55,,54
201027,57,,86,53,,55
201028,53,,62,50,,41
201032,27,,41,40,,40
202001,49,,65,47,,42
202002,,,59,,,40
202004,60,,86,55,,55
203006,76,,84,65,,54
203007,34,39,46,40,40,40
203008,69,,97,60,,63
203009,50,,54,48,,40
203010,34,,49,40,,40
203011,78,,,67,,
203012,41,,54,43,,40
203013,45,,88,45,,57
203015,39,,54,42,,40
203016,37,,49,40,,40
203017,44,,63,44,,42
203028,54,,100,50,,65
204004,38,,,41,,
204010,46,,,46,,
204011,34,,,40,,
204012,64,,,57,,
205010,33,,49,40,,40
205012,54,68,62,50,54,41
205016,41,41,64,43,40,42
205017,37,,54,40,,40
205019,64,,85,57,,54
205021,54,51,53,50,45,40
205030,42,57,60,43,47,40
205031,52,54,44,49,46,40
205032,79,,105,67,,68
205035,40,69,69,42,55,45
205037,53,41,61,50,40,41
205039,29,,74,40,,48
205040,50,,81,48,,52
206004,52,54,50,49,46,40
206007,71,,107,62,,70
206008,47,68,69,46,54,45
206009,41,,87,43,,56
206010,52,,86,49,,55
207010,59,67,75,54,53,48
207011,62,70,89,56,55,57
207012,54,63,72,50,50,47
207013,65,74,87,58,57,56
207014,54,63,70,50,50,45
207015,55,64,73,51,51,47
207016,62,73,81,56,57,52
207017,73,83,103,63,62,67
207018,54,61,75,50,49,48
207019,68,81,91,60,61,59
207020,54,63,78,50,50,50
207021,58,65,77,53,52,49
208015,62,,82,56,,52
208017,28,,53,40,,40
208019,67,71,86,59,56,55
208023,59,,71,54,,46
208024,57,,67,53,,44
209015,54,,,50,,
210007,60,,71,55,,46
210008,28,,67,40,,44
210009,47,,81,46,,52
210010,26,,104,40,,68
210011,30,,55,40,,40
210012,51,,58,48,,40
210019,57,,94,53,,61
210025,50,,85,48,,54
210030,40,,61,42,,41
210031,55,,66,51,,43
210032,45,,80,45,,51
210034,67,,76,59,,49
210035,41,,71,43,,46
210036,29,,76,40,,49
210037,74,,112,64,,72
210040,55,,88,51,,57
210041,51,,78,48,,50
210042,55,,93,51,,60
210043,56,,87,52,,56
210046,50,,87,48,,56
210047,52,,86,49,,55
210048,89,,84,74,,54
211002,31,,72,40,,47
211006,47,35,78,46,40,50
211007,45,41,80,45,40,51
211009,44,63,74,44,50,48
211010,72,,105,63,,68
211014,60,68,,55,54,
211016,35,34,51,40,40,40
211017,43,,52,44,,40
211018,61,63,74,55,50,48
211020,46,40,68,46,40,44
211021,47,,60,46,,40
211024,58,,73,53,,47
211027,59,53,51,54,45,40
211028,32,,58,40,,40
211029,36,,91,40,,59
211030,33,,68,40,,44
211032,40,38,71,42,40,46
211034,62,44,86,56,42,55
211036,70,,101,61,,66
211038,61,,94,55,,61
211039,60,,90,55,,58
211041,50,56,63,48,47,42
211042,32,41,61,40,40,41
211049,37,,66,40,,43
211050,56,,78,52,,50
211051,60,,79,55,,51
211052,57,,81,53,,52
211062,56,,79,52,,51
211063,55,66,71,51,53,46
211064,38,46,53,41,43,40
211065,37,,83,40,,53
211066,65,,84,58,,54
211067,66,,90,58,,58
211068,66,,110,58,,70
211069,41,48,68,43,43,44
211071,,,65,,,42
211075,43,43,,44,41,
212003,55,49,80,51,44,51
