raw,parent_t,teacher_t,self_t
25,,,40
26,40,,40
27,40,,40
28,40,,40
29,40,,40
30,40,40,40
31,40,40,40
32,40,40,40
33,40,40,40
34,40,40,40
35,40,40,40
36,40,40,40
37,40,40,40
38,41,40,40
39,41,40,40
40,41,40,40
41,42,40,40
42,42,40,40
43,43,41,40
44,43,41,40
45,44,41,40
46,44,42,40
47,45,42,40
48,45,43,40
49,46,43,40
50,46,44,40
51,47,44,40
52,48,44,40
53,48,44,40
54,49,45,40
55,50,45,40
56,50,46,40
57,51,46,40
58,52,47,40
59,53,47,40
60,53,47,40
61,54,48,40
62,54,48,40
63,55,49,41
64,55,50,41
65,56,51,42
66,57,51,42
67,57,52,43
68,58,52,43
69,58,53,44
70,59,54,44
71,60,54,45
72,60,54,46
73,61,55,46
74,62,55,47
75,63,56,47
76,64,56,48
77,64,57,48
78,65,58,49
79,66,58,49
80,66,58,50
81,67,59,51
82,67,59,51
83,68,61,52
84,69,62,52
85,70,62,53
86,70,63,54
87,71,64,54
88,72,64,55
89,73,65,56
90,74,65,57
91,74,65,57
92,75,66,58
93,75,67,59
94,75,68,60
95,77,69,60
96,77,69,61
97,79,69,62
98,79,71,62
99,79,71,63
100,80,71,64
101,80,71,65
102,80,72,66
103,80,73,66
104,80,75,67
105,,77,67
106,,80,68
107,,80,68
108,,80,69
109,,80,69
110,,80,70
111,,80,70
112,,80,71
113,,80,72
114,,80,72
115,,80,73
116,,80,73
117,,80,73
118,,80,74
119,,80,74
120,,80,75
121,,,75
122,,,76
123,,,77
124,,,77
125,,,80
126,,,80
127,,,80
128,,,80
129,,,80
130,,,80
131,,,80
132,,,80
133,,,80
134,,,80
135,,,80
136,,,80
137,,,80
138,,,80
139,,,80
140,,,80
