T_score,parent_raw,teacher_raw
80,-,-
79,-,-
78,-,-
77,-,87--104
76,-,-
75,-,-
74,-,-
73,82--108,80--86
72,-,-
71,-,79
70,77--81,77--78
69,75--76,-
68,73--74,75--76
67,-,74
66,70--72,72--73
65,69,-
64,68,67--71
63,66--67,66
62,64--65,65
61,63,63--64
60,61--62,61--62
59,60,59--60
58,58--59,58
57,57,57
56,56,56
55,54--55,55
54,53,54
53,51--52,-
52,50,52--53
51,49,50--51
50,48,49
49,46--47,45--48
48,-,43--44
47,44--45,41--42
46,43,40
45,41--42,38--39
44,40,35--37
43,39,34
42,38,33
41,37,32
40,27--36,26--31
