ID,age,group,raw
221019,18.136612021857925,17.97197012771691,27
222026,16.304109589041097,16.688862781251355,23
223010,12.245901639344263,12.409892048232685,25
223011,12.413698630136986,12.409892048232685,17
223015,11.90958904109589,11.689430024621958,24
223017,14.019125683060109,13.851552941438793,21
223018,14.441095890410958,14.82702781017509,10
223019,15.21311475409836,14.82702781017509,29
223020,14.95068493150685,14.82702781017509,16
223021,14.654794520547945,14.82702781017509,25
223024,15.402739726027397,15.693530276797809,26
223027,17.03551912568306,16.688862781251355,36
223028,12.967123287671233,13.102321966384922,23
223031,16.81095890410959,16.688862781251355,23
223032,18.378082191780823,17.97197012771691,23
223034,14.128415300546449,13.851552941438793,20
223036,11.204918032786885,11.024619867393564,18
223042,15.482191780821918,15.693530276797809,25
223047,14.12295081967213,13.851552941438793,23
223048,11.726027397260275,11.689430024621958,26
223052,17.706849315068492,17.97197012771691,22
223053,15.42896174863388,15.693530276797809,30
223054,13.526027397260274,13.851552941438793,20
223055,12.21311475409836,12.409892048232685,22
223058,11.654794520547945,11.689430024621958,11
223061,18.49041095890411,17.97197012771691,21
223062,14.40983606557377,14.82702781017509,24
223063,12.898630136986302,13.102321966384922,27
223064,16.715068493150685,16.688862781251355,28
223065,15.262295081967213,14.82702781017509,31
223066,11.158469945355192,11.024619867393564,17
223068,14.506849315068493,14.82702781017509,15
223069,11.736986301369862,11.689430024621958,14
223070,11.841095890410958,11.689430024621958,22
223075,13.259562841530055,13.102321966384922,14
225010,13.238356164383562,13.102321966384922,24
226020,14.191780821917808,13.851552941438793,22
226021,14.142465753424657,13.851552941438793,33
226022,13.789041095890411,13.851552941438793,30
226023,12.224657534246575,12.409892048232685,28
226024,12.797260273972602,13.102321966384922,5
226025,13.758904109589041,13.851552941438793,21
226048,12.416438356164383,12.409892048232685,24
226049,12.416438356164383,12.409892048232685,22
226050,15.621917808219179,15.693530276797809,42
226051,15.254098360655737,14.82702781017509,40
227007,12.251366120218579,12.409892048232685,22
227016,16.188524590163933,16.688862781251355,28
227017,17.72876712328767,17.97197012771691,37
227020,13.427397260273972,13.102321966384922,15
227021,13.495890410958904,13.851552941438793,29
227026,14.687671232876712,14.82702781017509,26
228004,17.736986301369864,17.97197012771691,43
228006,18.671232876712327,17.97197012771691,43
228007,12.295890410958904,12.409892048232685,21
228009,18.136612021857925,17.97197012771691,43
228010,18.87123287671233,17.97197012771691,39
231038,13.180821917808219,13.102321966384922,28
231039,13.449315068493151,13.851552941438793,27
231043,14.616438356164384,14.82702781017509,16
231045,16.49041095890411,16.688862781251355,10
231046,16.284931506849315,16.688862781251355,19
231047,17.027322404371585,16.688862781251355,28
231049,20.081967213114755,17.97197012771691,34
231050,18.15573770491803,17.97197012771691,25
232001,12.002732240437158,11.689430024621958,17
232010,17.958904109589042,17.97197012771691,27
232011,17.794520547945204,17.97197012771691,45
232012,15.405479452054795,15.693530276797809,41
232013,16.92054794520548,16.688862781251355,41
232014,12.860273972602739,13.102321966384922,21
232017,11.051912568306012,11.024619867393564,30
232018,17.66849315068493,17.97197012771691,38
232022,12.084699453551913,12.409892048232685,24
232024,12.64109589041096,12.409892048232685,22
232032,18.202185792349727,17.97197012771691,29
232050,17.953424657534246,17.97197012771691,40
232051,12.297814207650273,12.409892048232685,31
232053,11.229508196721312,11.024619867393564,18
232058,17.079234972677597,16.688862781251355,32
232059,15.352459016393443,15.693530276797809,19
232060,17.802739726027397,17.97197012771691,39
232063,14.69041095890411,14.82702781017509,31
232064,13.494535519125684,13.851552941438793,20
232066,15.726027397260275,15.693530276797809,26
232067,14.084699453551913,13.851552941438793,19
232069,12.712328767123287,12.409892048232685,22
232071,17.92054794520548,17.97197012771691,29
232072,15.717808219178082,15.693530276797809,44
232073,15.605479452054794,15.693530276797809,38
232074,13.23224043715847,13.102321966384922,35
234043,11.452054794520548,11.689430024621958,28
234044,11.526027397260274,11.689430024621958,27
234047,12.542465753424658,12.409892048232685,22
234051,11.490410958904109,11.689430024621958,22
235009,13.564383561643835,13.851552941438793,38
235022,15.838356164383562,15.693530276797809,15
236019,11.745205479452055,11.689430024621958,34
236022,12.986301369863014,13.102321966384922,23
236023,13.986301369863014,13.851552941438793,47
236026,15.536986301369863,15.693530276797809,33
236027,14.827397260273973,14.82702781017509,26
236029,13.002732240437158,13.102321966384922,37
236031,17.90958904109589,17.97197012771691,42
236043,15.158469945355192,14.82702781017509,36
239001,18.52054794520548,17.97197012771691,27
239005,17.443835616438356,17.97197012771691,43
239007,15.073770491803279,14.82702781017509,36
239011,18.5972602739726,17.97197012771691,32
239012,17.375342465753423,17.97197012771691,38
239013,17.375342465753423,17.97197012771691,28
239016,13.495890410958904,13.851552941438793,36
239017,18.383561643835616,17.97197012771691,46
239020,16.53150684931507,16.688862781251355,31
240005,12.715068493150685,13.102321966384922,24
240013,14.772602739726027,14.82702781017509,26
240015,12.684931506849315,12.409892048232685,27
240016,18.23224043715847,17.97197012771691,36
241015,13.008196721311476,13.102321966384922,28
243004,14.26027397260274,13.851552941438793,22
243007,12.953424657534246,13.102321966384922,23
243009,18.684931506849313,17.97197012771691,47
243011,16.038251366120218,15.693530276797809,40
243012,14.893150684931507,14.82702781017509,16
243013,15.416438356164383,15.693530276797809,40
243017,18.926027397260274,17.97197012771691,21
243019,16.953424657534246,16.688862781251355,32
243023,11.300546448087431,11.024619867393564,32
243025,16.44109589041096,16.688862781251355,31
243027,15.468493150684932,15.693530276797809,44
243028,15.934246575342465,15.693530276797809,30
243031,17.565573770491802,17.97197012771691,40
243033,13.824657534246576,13.851552941438793,18
244034,13.131147540983607,13.102321966384922,10
244035,13.166666666666666,13.102321966384922,7
244036,13.495890410958904,13.851552941438793,3
244037,13.58904109589041,13.851552941438793,8
244038,12.63013698630137,12.409892048232685,5
244040,12.575342465753424,12.409892048232685,6
244041,13.295890410958904,13.102321966384922,7
244042,13.616438356164384,13.851552941438793,8
244043,13.558904109589042,13.851552941438793,5
244045,13.468493150684932,13.851552941438793,5
244046,13.128415300546449,13.102321966384922,6
246002,12.627397260273973,12.409892048232685,35
246003,12.583561643835617,12.409892048232685,30
246004,14.791780821917808,14.82702781017509,24
246005,16.323287671232876,16.688862781251355,43
246006,12.12295081967213,12.409892048232685,33
246010,15.657534246575342,15.693530276797809,23
246011,13.262295081967213,13.102321966384922,11
