ID,EDDIW_age,EDDIQ_age,ELP_age,ERSW_age,ERSQ_age,ESWA_age,EPHK_age,EBRS_age,EPHA_age
201001,892, ,341,551, ,205,232,226,228
201008,805, ,305,500, ,197,197,196,183
201010, ,746,254, ,492,199,210,202,177
203001,836, ,300,536, ,220,205,201,196
203002,752, ,283,469, ,189,181,188,169
203003, ,921,340, ,581,235,227,215,215
203004, ,906,333, ,573,217,233,221,232
204001, ,848,326, ,522,205,216,212,230
204006, ,788,296, ,492,195,196,197,180
205001, ,768,270, ,498,204,191,200,183
205004,887, ,338,549, ,207,229,221,224
205008, ,755,304, ,451,179,177,182,211
205009,752, ,275,477, ,193,180,197,173
205013,775, ,307,468, ,180,193,195,207
205014,611, ,245,366, ,153,144,141,164
205028,913, ,310,603, ,253,239,245,218
205029,995, ,357,638, ,254,254,260,227
205036, ,750,272, ,478,199,203,209,187
206001,847, ,336,511, ,203,208,200,229
206002, ,893,344, ,549,225,206,221,222
206005,950, ,333,617, ,247,240,227,214
206011, ,906,332, ,574,229,229,217,223
207001,759, ,274,485, ,197,192,185,184
207002,788, ,260,528, ,216,197,200,182
207004,713, ,245,468, ,192,177,172,173
207006,797, ,266,531, ,224,192,187,190
207007,797, ,283,514, ,203,207,195,202
207022,846, ,282,564, ,218,218,210,196
207023,935, ,321,614, ,251,233,228,216
207024,939, ,321,618, ,255,233,235,211
207025,858, ,301,557, ,222,231,233,201
207026,928, ,340,588, ,245,217,229,217
207027,867, ,305,562, ,239,211,212,199
207028,627, ,248,379, ,160,159,162,159
207029,926, ,325,601, ,244,247,239,214
207030,705, ,262,443, ,203,156,187,177
207031,866, ,304,562, ,240,207,221,204
207032,827, ,284,543, ,230,197,208,186
208001,718, ,237,481, ,200,181,170,166
208011,767, ,250,517, ,221,194,189,172
209019,749, ,284,465, ,165,198,190,193
210001,941, ,327,614, ,246,243,232,220
210016,874, ,327,547, ,211,225,229,206
210018,929, ,346,583, ,227,241,245,223
210039,774, ,292,482, ,208,179,190,178
210044,833, ,310,523, ,199,231,220,196
211008,840, ,287,553, ,223,217,221,189
211043,822, ,331,491, ,201,199,207,227
211056,849, ,307,542, ,222,213,224,216
211057, ,851,326, ,525,214,222,214,229
211072,658, ,277,381, ,150,163,154,196
211073,952, ,352,600, ,236,245,235,254
212001,661, ,245,416, ,158,172,174,173
213003,734, ,285,449, ,183,181,183,184
213009,857, ,330,527, ,194,220,217,215
213010,875, ,353,522, ,207,217,220,237
213013, ,800,322, ,478,203,196,216,215
213016,732, ,272,460, ,181,182,182,197
213019,819, ,291,528, ,211,210,210,187
214001, ,840,287, ,553,226,213,212,185
214002,916, ,319,597, ,226,241,242,207
214003,838, ,302,536, ,219,200,210,194
214004, ,744,277, ,467,191,169,180,174
214005, ,769,265, ,504,194,199,208,168
214006, ,886,336, ,550,222,216,212,213
214016,844, ,300,544, ,217,217,221,194
214025,894, ,311,583, ,240,227,227,212
214027, ,872,326, ,546,222,220,208,230
214033,769, ,307,462, ,180,187,189,205
214039, ,748,263, ,485,207,178,202,177
214046, ,811,286, ,525,212,207,200,190
214054,837, ,310,527, ,203,219,214,223
214055,848, ,305,543, ,211,217,214,201
214057,643, ,254,389, ,150,152,152,170
214059,967, ,350,617, ,246,247,244,223
214062,804, ,306,498, ,191,211,211,201
214064,931, ,348,583, ,222,251,240,256
214065,772, ,294,478, ,181,213,200,198
214066,723, ,283,440, ,163,188,178,187
214071,751, ,284,467, ,185,188,190,187
214073,667, ,259,408, ,149,175,171,163
215002,916, ,354,562, ,224,221,234,224
217001,687, ,235,452, ,170,173,167,158
217003,685, ,267,418, ,169,167,161,179
217005,675, ,235,440, ,162,160,162,163
217006, , ,240, , ,168,172,165,166
217007,794, ,294,500, ,200,198,205,199
217008, ,877,286, ,591,221,240,226,196
217011, ,710,248, ,462,192,172,189,162
217012, ,639,238, ,401,158,155,155,168
217013, ,636,233, ,403,155,163,140,169
218001,895, ,347,548, ,206,234,227,236
220003,747, ,260,487, ,200,187,186,175
220004,763, ,278,485, ,196,195,198,192
220007,745, ,266,479, ,200,179,194,175
220008,675, ,256,419, ,162,163,156,169
220010,803, ,295,508, ,194,230,220,199
220011, ,773,269, ,504,211,191,208,185
220015, ,830,302, ,528,222,185,205,205
222029, ,870,312, ,558,237,220,212,211
223003, ,823,289, ,534,208,196,212,193
225001,861, ,320,541, ,221,212,225,199
225002,913, ,349,564, ,212,233,237,225
225003,864, ,315,549, ,217,220,225,200
225004,863, ,326,537, ,207,217,219,211
225008,725, ,260,465, ,204,171,196,168
226001,779, ,264,515, ,208,205,203,165
226002,795, ,270,525, ,207,212,205,163
226003,707, ,273,434, ,162,180,175,180
226004,774, ,268,506, ,197,211,210,178
226005,806, ,321,485, ,182,207,190,230
226006,879, ,337,542, ,201,231,225,233
226007,819, ,309,510, ,198,214,213,206
226008,709, ,264,445, ,184,177,182,167
226010,881, ,319,562, ,215,237,244,217
226011,692, ,292,400, ,170,159,161,187
226053,725, ,290,435, ,175,176,174,205
226054,825, ,321,504, ,198,205,204,228
226055, ,682,285, ,397,169,159,160,194
226056,1003, ,360,643, ,260,256,256,237
226057,962, ,362,600, ,243,242,254,252
226058,823, ,324,499, ,196,207,189,216
226059, ,867,297, ,570,230,229,221,209
226060,756, ,324,432, ,176,176,175,227
231014, , ,241, , ,168, , ,170
232003,716, ,280,436, ,170,176,173,187
232004, ,844,311, ,533,204,220,212,205
232005,730, ,277,453, ,194,179,178,182
232006,743, ,287,456, ,187,189,183,197
232025,794, ,290,504, ,201,199,196,200
232026,832, ,324,508, ,217,195,204,215
232030,857, ,319,538, ,225,207,214,212
232054,792, ,319,473, ,185,198,196,215
232055,891, ,351,540, ,217,221,217,230
232056,715, ,287,428, ,170,172,170,208
