ID,EDDIW_grd,EDDIQ_grd,ELP_grd,ERSW_grd,ERSQ_grd,ESWA_grd,EPHK_grd,EBRS_grd,EPHA_grd
201001,848, ,322,526, ,200,213,206,217
201008,815, ,307,508, ,199,202,201,185
201010, ,785,269, ,516,211,216,212,185
203001,981, ,352,629, ,257,242,241,234
203002,768, ,286,482, ,194,184,190,171
203003, ,914,336, ,578,236,223,215,211
203004, ,871,319, ,552,213,220,212,221
204001, ,849,324, ,525,209,213,212,226
204006, ,790,295, ,495,197,195,198,177
205001, ,770,269, ,501,206,190,201,180
205004,890, ,336,554, ,212,222,214,225
205008, ,755,304, ,451,178,176,181,209
205009,808, ,297,511, ,205,197,214,188
205013,887, ,341,546, ,214,213,220,233
205014,655, ,260,395, ,168,153,153,174
205028,877, ,296,581, ,245,227,233,209
205029,998, ,358,640, ,259,251,260,228
205036, ,708,262, ,446,183,194,198,181
206001,897, ,351,546, ,220,213,208,242
206002, ,854,331, ,523,218,193,212,213
206005,982, ,352,630, ,253,247,240,227
206011, ,866,313, ,553,223,216,207,208
207001,818, ,287,531, ,218,198,193,196
207002,788, ,256,532, ,220,190,193,181
207004,671, ,231,440, ,181,163,154,164
207006,807, ,269,538, ,224,197,190,193
207007,762, ,271,491, ,192,198,182,195
207022,935, ,312,623, ,251,242,241,218
207023,894, ,304,590, ,243,219,216,202
207024,903, ,303,600, ,251,219,224,196
207025,860, ,299,561, ,229,229,236,198
207026,893, ,327,566, ,236,207,216,210
207027,864, ,303,561, ,242,208,213,196
207028,633, ,251,382, ,160,162,164,161
207029,879, ,307,572, ,236,233,227,200
207030,680, ,253,427, ,197,150,180,171
207031,823, ,292,531, ,227,197,208,197
207032,837, ,291,546, ,230,203,211,192
208001,818, ,265,553, ,229,200,193,189
208011,641, ,201,440, ,200,157,148,135
209019,836, ,311,525, ,190,220,217,211
210001,942, ,326,616, ,245,245,233,218
210016,983, ,361,622, ,244,248,255,233
210018,895, ,333,562, ,220,230,233,216
210039,742, ,280,462, ,202,171,181,169
210044,883, ,322,561, ,215,245,238,203
211008,938, ,319,619, ,250,239,245,214
211043,738, ,304,434, ,178,178,181,209
211056,864, ,310,554, ,226,219,227,218
211057, ,855,329, ,526,216,224,221,230
211072,670, ,282,388, ,152,165,154,201
211073,960, ,355,605, ,238,247,235,256
212001,665, ,248,417, ,157,174,176,177
213003,824, ,314,510, ,210,201,209,203
213009,812, ,313,499, ,187,207,204,201
213010,832, ,339,493, ,195,208,208,229
213013, ,757,307, ,450,191,184,202,205
213016,749, ,277,472, ,186,187,187,202
213019,777, ,277,500, ,200,201,197,178
214001, ,841,288, ,553,228,210,212,183
214002,884, ,307,577, ,217,230,228,200
214003,851, ,308,543, ,221,204,214,199
214004, ,747,279, ,468,191,168,178,174
214005, ,768,263, ,505,197,196,207,165
214006, ,887,335, ,552,225,213,212,211
214016,865, ,306,559, ,222,222,225,199
214025,982, ,346,636, ,260,246,246,239
214027, ,869,324, ,545,223,216,207,226
214033,881, ,341,540, ,214,207,214,232
214039, ,788,279, ,509,218,185,212,184
214046, ,848,303, ,545,220,213,207,197
214054,798, ,297,501, ,193,211,203,215
214055,808, ,293,515, ,200,208,203,194
214057,721, ,279,442, ,170,171,172,187
214059,979, ,354,625, ,247,253,244,227
214062,906, ,338,568, ,220,239,245,223
