test,grade,raw,ss,CI90,CI95,percentile,grade_equiv,desc_range
spwe,K-Fall,0,70,64 - 76,63 - 77,2,< start grade,Well Below Average
spwe,K-Fall,1,73,67 - 79,66 - 80,4,< start grade,Well Below Average
spwe,K-Fall,2,76,70 - 82,69 - 83,5,< start grade,Well Below Average
spwe,K-Fall,3,78,72 - 84,71 - 85,7,< start grade,Well Below Average
spwe,K-Fall,4,81,75 - 87,74 - 88,10,< start grade,Below Average
spwe,K-Fall,5,84,78 - 90,77 - 91,14,< start grade,Below Average
spwe,K-Fall,6,87,81 - 93,80 - 94,19,< start grade,Below Average
spwe,K-Fall,7,89,83 - 95,82 - 96,23,< start grade,Below Average
spwe,K-Fall,8,92,86 - 98,85 - 99,30,< start grade,Average
spwe,K-Fall,9,95,89 - 101,88 - 102,37,K-Fall,Average
spwe,K-Fall,10,97,91 - 103,90 - 104,42,K-Fall,Average
spwe,K-Fall,11,100,94 - 106,93 - 107,50,K-Fall,Average
spwe,K-Fall,12,103,97 - 109,96 - 110,58,K-Fall,Average
spwe,K-Fall,13,105,99 - 111,98 - 112,63,K-Spring,Average
spwe,K-Fall,14,108,102 - 114,101 - 115,70,K-Spring,Average
spwe,K-Fall,15,111,105 - 117,104 - 118,77,1-Fall,Above Average
spwe,K-Fall,16,114,108 - 120,107 - 121,82,1-Fall,Above Average
spwe,K-Fall,17,117,111 - 123,110 - 124,87,1-Fall,Above Average
spwe,K-Fall,18,120,114 - 126,113 - 127,91,1-Spring,Well Above Average
spwe,K-Fall,19,123,117 - 129,116 - 130,94,1-Spring,Well Above Average
spwe,K-Fall,20,127,121 - 130,120 - 130,96,1-Spring,Well Above Average
spwe,K-Fall,21,130,124 - 130,123 - 130,98,2-Fall,Well Above Average
spwe,K-Fall,22,130,124 - 130,123 - 130,98,2-Fall,Well Above Average
spwe,K-Fall,23,130,124 - 130,123 - 130,98,2-Spring,Well Above Average
spwe,K-Fall,24,130,124 - 130,123 - 130,98,2-Spring,Well Above Average
spwe,K-Fall,25,130,124 - 130,123 - 130,98,2-Spring,Well Above Average
spwe,K-Fall,26,130,124 - 130,123 - 130,98,> stop grade,Well Above Average
spwe,K-Fall,27,130,124 - 130,123 - 130,98,> stop grade,Well Above Average
spwe,K-Fall,28,130,124 - 130,123 - 130,98,> stop grade,Well Above Average
spwe,K-Fall,29,130,124 - 130,123 - 130,98,> stop grade,Well Above Average
spwe,K-Fall,30,130,124 - 130,123 - 130,98,> stop grade,Well Above Average
spwe,K-Fall,31,130,124 - 130,123 - 130,98,> stop grade,Well Above Average
spwe,K-Fall,32,130,124 - 130,123 - 130,98,> stop grade,Well Above Average
spwe,K-Spring,0,62,56 - 68,55 - 69,1,< start grade,Significantly Below Average
spwe,K-Spring,1,65,59 - 71,58 - 72,1,< start grade,Significantly Below Average
spwe,K-Spring,2,68,62 - 74,61 - 75,2,< start grade,Significantly Below Average
spwe,K-Spring,3,71,65 - 77,64 - 78,3,< start grade,Well Below Average
spwe,K-Spring,4,74,68 - 80,67 - 81,4,< start grade,Well Below Average
spwe,K-Spring,5,77,71 - 83,70 - 84,6,< start grade,Well Below Average
spwe,K-Spring,6,79,73 - 85,72 - 86,8,< start grade,Well Below Average
spwe,K-Spring,7,82,76 - 88,75 - 89,12,< start grade,Below Average
