test,CI90,CI95
DDIQ,6,7
LPI,4,5
RSIQ,4,5
SWA,6,7
PK,5,6
BRS,6,7
DE,4,5
SP,6,7
RFQ,5,6
RCQ2,4,5
PA,5,6
RAN,2,3
AWM,9,11
OP,7,8
VO,7,8
RE,7,8
VR2,6,7
VR4,6,7
