raw,18.0-23.11,24.0-39.11,40.0-49.11,50.0-59.11,60.0-69.11,70.0-89.11
0,51,51,51,51,53,55
1,57,57,57,57,59,61
2,62,63,63,63,65,67
3,69,69,69,69,71,73
4,75,76,76,76,78,80
5,81,81,81,81,83,85
6,86,86,86,86,89,91
7,92,93,93,93,96,98
8,98,99,99,99,101,103
9,104,105,105,105,105,107
10,109,111,111,111,111,113
11,114,116,116,116,116,118
12,119,121,122,122,121,122
13,123,126,127,127,127,127
14,127,130,130,130,130,130
15,130,130,130,130,130,130
16,130,130,130,130,130,130
17,130,130,130,130,130,130
18,130,130,130,130,130,130
19,130,130,130,130,130,130
20,130,130,130,130,130,130
