grade_equiv,phmc_raw_min,phmc_raw_max,iwsc_raw_min,iwsc_raw_max,rlnc_raw_min,rlnc_raw_max,pwrc_raw_min,pwrc_raw_max,wpcc_raw_min,wpcc_raw_max,wmc_raw_min,wmc_raw_max,panc_raw_min,panc_raw_max,iwrc_raw_min,iwrc_raw_max,blnc_raw_min,blnc_raw_max,segc_raw_min,segc_raw_max,rwsc_raw_min,rwsc_raw_max,sre1c_raw_min,sre1c_raw_max,sre2c_raw_min,sre2c_raw_max,rnlc_raw_min,rnlc_raw_max,lmc_raw_min,lmc_raw_max,rpwc_raw_min,rpwc_raw_max,riwc_raw_min,riwc_raw_max,sslc_raw_min,sslc_raw_max,lvc_raw_min,lvc_raw_max,ganc_raw_min,ganc_raw_max
< Start age,0,17,0,4,0,31,0,17,0,8,0,3,0,14,0,18,0,14,0,14,0,4,0,5,0,17,0,47,0,2,0,10,0,19,0,9,0,7,0,6
6.0 – 6.3,18,22,5,6,32,38,18,22,9,10,4,4,15,17,19,21,15,15,15,16,5,6,6,7,,,48,55,3,3,11,14,20,28,10,12,8,9,7,8
6.4 – 6.7,23,24,7,7,39,42,23,24,11,11,,, ,,22,22,16,16, ,,7,8,8,8,,,56,59,4,4,15,15,29,33,,,10,10,9,9
6.8 – 6.11,25,25,,,43,45,25,25,12,12,,,18,18,23,23, ,,17,17,9,9,9,10,,,60,62,,,16,16,34,38,,,11,11,10,10
7.0 – 7.3,26,27,8,9,46,48,26,26,13,13,,, ,,24,25, ,, ,,10,10,11,12,,,63,65,,,17,17,39,43,13,13,,,11,11
7.4 – 7.7,28,28,10,11,49,51,27,28, ,,,,19,19,26,26, ,, ,,11,12,13,13,,,66,68,,,18,19,44,47,,,12,12,12,12
7.8 – 7.11,29,30,12,13,52,55,29,30,14,15,,, ,,27,28,17,17,18,18,13,14,14,15,,,69,72,5,5,20,21,48,52,,,13,13,13,13
8.0 – 8.5,31,32,14,15,56,59,31,31,16,17,5,5,20,20, ,, ,, ,,15,16,16,16,,,73,76,,,22,23,53,57,14,14,14,15,14,14
8.6 – 8.11,33,33,16,17,60,63,32,33,18,19,,, ,,29,30, ,,19,19,17,18,17,18,,,77,80,,,24,25,58,62,,,16,16,15,16
9.0 – 9.5,34,35,18,20,64,67,34,34,20,20,,,21,21,31,31,18,18, ,,19,20,19,19,,,81,84,,,26,27,63,66,,,17,17,17,17
9.6 – 9.11,36,36,21,22,68,71,35,36,21,22,,,22,22,32,32, ,, ,,21,22,20,20,,,85,89,6,6,28,29,67,70,15,15,18,18,18,18
10.0 – 10.5,37,37,23,23,72,75,37,37,23,24,6,6, ,,33,33, ,,20,20,23,23,21,21,18,20,90,93,,,30,30,71,73,,,19,19,19,19
10.6 – 10.11,38,38,24,25,76,79,38,38,25,26,,,23,23,34,34, ,, ,,24,25,22,22, ,,94,96,,,31,31,74,76,,,,,20,20
11.0 – 11.5,39,39,26,26,80,83,39,39,27,27,,, ,,35,35,19,19, ,,26,27,,,21,21,97,99,,,32,32,77,79,16,16,20,20,21,21
11.6 – 11.11,40,40,27,28,84,86,,,28,29,,, ,,36,36, ,,21,21,28,28,23,23,22,22,100,102,,,33,33,80,81,,,21,21,,
12.0 – 12.5,,,29,29,87,89,40,40,30,30,,,24,24, ,, ,, ,,29,29,24,24,23,23,103,106,7,7,34,35,82,83,,,22,22,22,23
12.6 – 12.11,,,30,30,90,92,41,41,31,31,7,7, ,, ,,20,20, ,,30,31,25,26, ,,107,110,,,36,36,84,84,,,23,23,,
13.0 – 13.11,41,41,,,93,97,42,42,32,33,,,25,25,37,37, ,, ,,32,32,,,24,25,111,115,,,37,37,85,85,,,24,24,24,24
14.0 – 14.11,,,31,31,98,103,43,43,34,36,,, ,,38,38,21,21, ,,33,34,, ,26,27,116,122,,,38,38,86,87,17,17,25,25,25,25
15.0 – 16.11,42,42,32,32,104,109,,,37,39,,, ,,39,39,22,22,22,22,35,36,,,28,30,123,128,,,39,39,88,89,,,26,27,26,26
17.0 – 18.11,43,43,33,34,110,120,44,44,40,46,8,8,26,27,40,41,23,23,23,23,37,39,,,31,35,129,141,8,8,40,42,90,94,18,20,28,30,27,27
> Stop age,44,45,35,44,121,200,45,47,47,59,9,20,28,40,42,55,24,29,24,29,40,44,27,63,36,51,142,200,9,20,43,60,95,100,21,42,31,38,28,40
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note.  Based on the standardization samples, the upper limit for SRE1-C age equivalents is 12:6-12:11, and the lower limit for SRE2-C age equivalents is 10:0-10:5.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
