test,grade,raw,ss,CI90,CI95,percentile,grade_equiv,desc_range
PHMC,,,,,,,,
IWSC,,,,,,,,
RLNC,,,,,,,,
PWRC,,,,,,,,
WPCC,,,,,,,,
WMC,,,,,,,,
PANC,,,,,,,,
IWRC,,,,,,,,
OREC,,,,,,,,
BLNC,,,,,,,,
SEGC,,,,,,,,
RWSC,,,,,,,,
SRE1C,,,,,,,,
SRE2C,,,,,,,,
RNLC,,,,,,,,
LMC,,,,,,,,
RPWC,,,,,,,,
RIWC,,,,,,,,
SSLC,,,,,,,,
LVC,,,,,,,,
GANC,,,,,,,,
