Grade,SPWEraw_min,SPWEraw_max,RHYEraw_min,RHYEraw_maz,ERLNEraw_min,ERLNEraw_max,LSWEraw_min,LSWEraw_max,ESEGEraw_min,ESEGEraw_max,LSKEraw_min,LSKEraw_max
< Start grade,0,8,0,5,0,35,0,11,0,8,0,13
K-Fall,9,12,6,10,36,46,12,15,9,12,14,18
K-Spring,13,14,11,14,47,55,16,20,13,16,19,23
1-Fall,15,17,15,18,56,64,21,26,17,18,24,27
1-Spring,18,20,19,21,65,71,27,31,19,20,28,29
2-Fall,21,22,22,24,72,78,32,33,21,21,30,31
2-Spring,23,25,25,26,79,88,34,36,22,22,32,33
> Stop grade,26,32,27,30,89,120,37,38,23,25,,
